"1","Carpenter","Write-in","Blank"
"08-035 Bear Creek","469","20","147"
"08-040 Cooper Landing","93","8","40"
"08-045 Funny River No. 1","328","6","62"
"08-050 Funny River No. 2","316","5","64"
"08-055 Hope","39","5","20"
"08-060 Mackey Lake","537","11","122"
"08-065 Moose Pass","93","7","38"
"08-070 Nikiski","745","17","88"
"08-075 Salamatof","790","32","78"
"08-080 Sterling No. 1","641","18","112"
"08-085 Sterling No. 2","749","13","116"
"District 8 - Absentee","1428","80","458"
"District 8 - Early Voting","707","23","172"
"District 8  - Question","29","0","67"
"Total","6964","245","1584"
