"1","Schaff","Shaw","Blank","Overvote"
"09-105 Girdwood","488","197","29","0"
"09-110 Indian","61","57","5","0"
"09-115 South Anchorage No. 1","401","662","40","0"
"09-120 South Anchorage No. 2","376","772","45","0"
"09-125 South Anchorage No. 3","396","648","31","0"
"09-130 South Anchorage No. 4","413","690","33","0"
"09-135 South Anchorage No. 5","180","290","13","0"
"09-140 Stuckagain Heights","72","79","1","0"
"09-145 Whittier","32","56","6","0"
"District 9 - Absentee","1342","1125","103","1"
"District 9 - Early Voting","693","725","26","1"
"District 9  - Question","31","30","134","0"
"Total","4485","5331","466","2"
