"1","Overvote","Schaff","Schaff","Schaff","Schaff","Shaw","Shaw","Shaw","Write-in","Write-in","Write-in","Blank"
"2","","","Overvote","Shaw","Write-in","","Schaff","Write-in","","Schaff","Shaw",""
"09-105 Girdwood","0","357","0","121","10","156","39","2","0","0","0","29"
"09-110 Indian","0","48","0","13","0","46","11","0","0","0","0","5"
"09-115 South Anchorage No. 1","0","297","0","101","3","524","128","10","1","0","0","39"
"09-120 South Anchorage No. 2","0","270","1","103","2","664","98","8","2","0","2","43"
"09-125 South Anchorage No. 3","0","313","0","79","4","538","84","25","1","0","1","30"
"09-130 South Anchorage No. 4","0","309","0","102","2","569","111","10","0","0","0","33"
"09-135 South Anchorage No. 5","0","136","0","43","1","245","44","1","0","0","0","13"
"09-140 Stuckagain Heights","0","58","0","14","0","66","13","0","0","0","0","1"
"09-145 Whittier","0","24","0","8","0","41","15","0","0","0","0","6"
"District 9 - Absentee","1","1055","0","265","20","944","164","17","8","2","0","95"
"District 9 - Early Voting","1","528","0","153","12","605","102","17","2","0","1","24"
"District 9  - Question","0","20","0","9","2","24","6","0","0","0","0","134"
"Total","2","3415","1","1011","56","4422","815","90","14","2","4","452"
