"1","Overvote","Sheldon","Sheldon","Sheldon","Stedman","Stedman","Stedman","Stedman","Write-in","Write-in","Write-in","Blank"
"2","","","Stedman","Write-in","","Overvote","Sheldon","Write-in","","Sheldon","Stedman",""
"01-600 Ketchikan No. 1","0","72","79","0","193","0","97","1","1","0","0","56"
"01-610 Ketchikan No. 2","0","136","76","1","280","0","157","2","5","0","2","80"
"01-620 Ketchikan No. 3","0","86","60","1","232","0","111","2","3","0","0","47"
"01-640 North Tongass No. 1","0","77","47","1","153","0","73","1","0","0","0","26"
"01-650 North Tongass No. 2","0","149","79","1","320","0","142","0","1","1","1","48"
"01-660 Saxman","0","24","13","0","49","0","16","0","0","0","0","12"
"01-670 South Tongass","0","108","82","1","281","0","131","0","0","1","0","45"
"01-675 Coffman Cove","0","25","11","0","25","0","10","0","0","0","0","16"
"01-680 Metlakatla","0","91","71","0","90","0","78","0","2","0","0","75"
"01-690 Wrangell","0","132","94","3","282","0","129","2","0","0","0","43"
"02-700 Angoon","0","28","13","0","60","0","19","0","0","0","0","12"
"02-705 Craig","0","77","55","1","97","0","62","0","0","0","0","41"
"02-720 Hoonah","0","86","30","1","87","0","29","0","0","0","0","20"
"02-725 Hydaburg","0","18","7","0","18","0","12","0","2","1","0","11"
"02-730 Kake","1","34","12","0","44","0","16","0","0","0","0","17"
"02-735 Kasaan","0","11","3","0","7","0","2","0","1","1","0","3"
"02-740 Klawock","1","68","63","2","72","0","54","1","0","0","0","20"
"02-750 Pelican-Elfin Cove","0","6","3","0","16","0","7","0","0","0","0","6"
"02-755 Petersburg-Kupreanof","0","130","64","1","452","0","150","0","0","0","0","64"
"02-760 Port Alexander","0","1","0","0","11","0","2","0","0","0","0","1"
"02-765 Sitka No. 1","0","140","100","5","504","0","229","3","5","1","1","88"
"02-770 Sitka No. 2","0","143","74","2","569","0","171","4","6","1","0","102"
"02-775 Tenakee Springs","0","4","3","0","24","0","5","0","0","0","0","8"
"02-780 Thorne Bay","0","45","28","0","45","0","34","0","0","0","0","9"
"02-785 Yakutat","0","25","30","0","45","0","40","0","1","0","1","38"
"District 1 - Absentee","0","277","182","1","805","0","283","2","20","2","6","170"
"District 1 - Early Voting","0","3","1","0","4","0","5","0","0","0","0","1"
"District 1  - Question","0","38","47","0","73","0","67","0","4","0","0","55"
"District 2 - Absentee","2","375","172","8","1411","2","450","12","23","2","2","251"
"District 2 - Early Voting","0","9","6","0","15","0","15","0","0","0","0","6"
"District 2  - Question","1","11","2","0","16","0","15","0","1","0","0","93"
"Total","5","2429","1507","29","6280","2","2611","30","75","10","13","1464"
