"1","Jones","Smith","Blank","Exhausted","Overvote"
"05-800 Chiniak","1","6","3","28","0"
"05-810 Flats","92","127","54","155","0"
"05-815 Kodiak Island South","3","2","2","10","0"
"05-820 Kodiak No. 1","89","167","34","220","0"
"05-825 Kodiak No. 2","81","144","51","219","0"
"05-830 Mission Road","212","409","72","468","0"
"05-835 Old Harbor","8","5","2","12","0"
"05-840 Ouzinkie","8","7","5","29","0"
"05-845 Port Lions","12","12","3","26","0"
"05-860 Cordova","87","185","52","191","0"
"05-865 Seward-Lowell Point","112","183","118","146","0"
"05-870 Tatitlek","3","2","2","10","0"
"06-200 Anchor Point","181","517","70","129","0"
"06-210 Diamond Ridge","54","247","52","133","0"
"06-220 Fox River","30","181","21","54","0"
"06-230 Homer No. 1","66","381","76","213","0"
"06-240 Homer No. 2","79","352","73","153","1"
"06-250 Kachemak-Fritz Creek","71","393","71","255","0"
"06-260 Kasilof","230","503","173","266","1"
"06-270 Ninilchik","131","288","69","92","0"
"06-280 Seldovia-Kachemak Bay","19","56","25","70","0"
"District 5 - Absentee","306","545","236","826","4"
"District 5 - Early Voting","7","9","6","15","0"
"District 5  - Question","20","24","94","28","0"
"District 6 - Absentee","299","801","254","651","2"
"District 6 - Early Voting","177","811","182","706","0"
"District 6  - Question","14","63","77","34","0"
"Total","2392","6420","1877","5139","8"
