"1","Jones","Jones","Jones","Jones","Smith","Smith","Smith","Smith","Stevens","Stevens","Stevens","Stevens","Blank","Overvote"
"2","","Overvote","Smith","Stevens","","Jones","Overvote","Stevens","","Jones","Overvote","Smith","",""
"05-800 Chiniak","1","0","0","0","1","1","0","0","28","0","0","4","3","0"
"05-810 Flats","24","0","39","5","38","21","0","14","155","24","0","54","54","0"
"05-815 Kodiak Island South","1","0","0","0","0","1","0","0","10","2","0","1","2","0"
"05-820 Kodiak No. 1","24","0","24","8","32","23","0","20","220","33","0","92","34","0"
"05-825 Kodiak No. 2","23","2","21","6","41","30","1","17","219","29","0","55","51","0"
"05-830 Mission Road","54","0","64","17","99","80","0","47","468","77","0","183","72","0"
"05-835 Old Harbor","0","0","2","1","1","1","0","0","12","5","0","3","2","0"
"05-840 Ouzinkie","3","0","1","1","2","0","0","1","29","3","0","4","5","0"
"05-845 Port Lions","5","0","3","1","3","2","0","0","26","3","0","7","3","0"
"05-860 Cordova","19","0","29","9","53","18","0","25","191","30","0","89","52","0"
"05-865 Seward-Lowell Point","30","0","52","6","41","31","0","32","146","24","0","79","118","0"
"05-870 Tatitlek","1","0","2","0","1","0","0","0","10","0","0","1","2","0"
"06-200 Anchor Point","60","0","58","33","192","148","0","92","129","30","0","85","70","0"
"06-210 Diamond Ridge","12","0","17","6","85","61","0","44","133","19","0","57","52","0"
"06-220 Fox River","8","0","10","6","85","54","0","19","54","6","0","23","21","0"
"06-230 Homer No. 1","10","0","20","10","164","87","0","55","213","26","0","75","76","0"
"06-240 Homer No. 2","19","0","15","11","104","105","0","76","153","34","0","67","73","1"
"06-250 Kachemak-Fritz Creek","13","0","17","9","140","83","1","77","255","32","0","92","71","0"
"06-260 Kasilof","71","0","75","28","166","96","1","101","266","56","1","139","173","0"
"06-270 Ninilchik","50","1","22","32","112","65","0","52","92","26","0","59","69","0"
"06-280 Seldovia-Kachemak Bay","7","0","3","3","14","9","0","9","70","6","0","24","25","0"
"District 5 - Absentee","77","0","114","21","111","96","1","63","826","94","0","274","236","4"
"District 5 - Early Voting","1","0","1","1","4","2","0","1","15","4","0","2","6","0"
"District 5  - Question","4","0","6","3","6","5","0","2","28","7","0","11","94","0"
"District 6 - Absentee","102","0","77","29","248","123","0","166","651","91","0","264","254","2"
"District 6 - Early Voting","39","0","42","21","241","141","0","147","706","75","0","282","182","0"
"District 6  - Question","3","0","4","4","26","15","0","13","34","3","0","9","77","0"
"Total","661","3","718","271","2010","1298","4","1073","5139","739","1","2035","1877","7"
