"1","Babcock","Cizek","Blank","Exhausted","Overvote"
"07-005 Central","503","109","41","154","2"
"07-010 K Beach","635","141","39","233","1"
"07-015 Kenai No. 1","467","165","36","203","2"
"07-020 Kenai No. 2","264","91","19","127","0"
"07-025 Kenai No. 3","232","65","19","112","0"
"07-030 Soldotna","516","170","44","217","1"
"08-035 Bear Creek","287","158","72","119","0"
"08-040 Cooper Landing","45","42","15","39","0"
"08-045 Funny River No. 1","217","62","26","91","0"
"08-050 Funny River No. 2","206","69","20","90","0"
"08-055 Hope","21","31","7","5","0"
"08-060 Mackey Lake","371","121","24","154","0"
"08-065 Moose Pass","56","33","9","40","0"
"08-070 Nikiski","465","122","26","235","2"
"08-075 Salamatof","512","150","22","216","0"
"08-080 Sterling No. 1","449","123","39","159","1"
"08-085 Sterling No. 2","543","119","50","165","1"
"District 7 - Absentee","961","327","150","397","2"
"District 7 - Early Voting","453","140","46","228","3"
"District 7  - Question","44","24","49","11","0"
"District 8 - Absentee","995","411","163","391","6"
"District 8 - Early Voting","463","174","72","193","0"
"District 8  - Question","30","10","45","9","2"
"Total","8735","2857","1033","3588","23"
