"1","Bjorkman","Cizek","Blank","Exhausted","Overvote"
"07-005 Central","491","89","41","186","2"
"07-010 K Beach","663","106","39","241","0"
"07-015 Kenai No. 1","602","103","36","131","1"
"07-020 Kenai No. 2","340","61","19","81","0"
"07-025 Kenai No. 3","285","45","19","79","0"
"07-030 Soldotna","599","106","44","198","1"
"08-035 Bear Creek","344","131","72","89","0"
"08-040 Cooper Landing","87","22","15","17","0"
"08-045 Funny River No. 1","243","52","26","75","0"
"08-050 Funny River No. 2","230","68","20","67","0"
"08-055 Hope","22","27","7","8","0"
"08-060 Mackey Lake","414","87","24","145","0"
"08-065 Moose Pass","92","21","9","16","0"
"08-070 Nikiski","577","100","26","146","1"
"08-075 Salamatof","627","101","22","150","0"
"08-080 Sterling No. 1","478","90","39","163","1"
"08-085 Sterling No. 2","532","104","50","191","1"
"District 7 - Absentee","1051","257","150","378","1"
"District 7 - Early Voting","572","94","46","157","1"
"District 7  - Question","42","19","49","18","0"
"District 8 - Absentee","1089","339","163","370","5"
"District 8 - Early Voting","519","154","72","157","0"
"District 8  - Question","30","10","45","9","2"
"Total","9929","2186","1033","3072","16"
