"1","Babcock","Bjorkman","Blank","Exhausted","Overvote"
"07-005 Central","403","327","41","36","2"
"07-010 K Beach","475","487","39","48","0"
"07-015 Kenai No. 1","328","457","36","50","2"
"07-020 Kenai No. 2","187","270","19","25","0"
"07-025 Kenai No. 3","176","211","19","22","0"
"07-030 Soldotna","385","467","44","51","1"
"08-035 Bear Creek","223","275","72","66","0"
"08-040 Cooper Landing","28","91","15","7","0"
"08-045 Funny River No. 1","163","185","26","22","0"
"08-050 Funny River No. 2","168","176","20","21","0"
"08-055 Hope","19","23","7","15","0"
"08-060 Mackey Lake","276","330","24","40","0"
"08-065 Moose Pass","32","80","9","17","0"
"08-070 Nikiski","310","477","26","36","1"
"08-075 Salamatof","313","532","22","33","0"
"08-080 Sterling No. 1","336","356","39","39","1"
"08-085 Sterling No. 2","435","355","50","37","1"
"District 7 - Absentee","782","783","150","120","2"
"District 7 - Early Voting","349","433","46","41","1"
"District 7  - Question","36","30","49","13","0"
"District 8 - Absentee","778","849","163","172","4"
"District 8 - Early Voting","370","386","72","74","0"
"District 8  - Question","21","23","45","5","2"
"Total","6593","7603","1033","990","17"
