"1","Babcock","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Cizek","Blank","Overvote"
"2","","Bjorkman","Cizek","Overvote","","Babcock","Cizek","Overvote","","Babcock","Bjorkman","Overvote","",""
"07-005 Central","186","184","15","0","154","118","35","0","36","18","20","0","41","2"
"07-010 K Beach","241","200","23","0","233","171","58","1","48","11","24","0","39","0"
"07-015 Kenai No. 1","131","169","15","0","203","152","77","1","50","13","24","1","36","1"
"07-020 Kenai No. 2","81","87","9","0","127","87","39","0","25","10","17","0","19","0"
"07-025 Kenai No. 3","79","82","6","0","112","65","26","0","22","9","8","0","19","0"
"07-030 Soldotna","198","163","10","0","217","145","74","0","51","14","31","0","44","1"
"08-035 Bear Creek","89","105","11","0","119","82","38","0","66","18","36","0","72","0"
"08-040 Cooper Landing","17","9","0","0","39","19","20","0","7","2","13","0","15","0"
"08-045 Funny River No. 1","75","68","11","0","91","63","21","0","22","9","10","0","26","0"
"08-050 Funny River No. 2","67","67","23","0","90","49","24","0","21","11","13","0","20","0"
"08-055 Hope","8","9","0","0","5","4","4","0","15","2","10","0","7","0"
"08-060 Mackey Lake","145","105","16","0","154","105","50","0","40","10","21","0","24","0"
"08-065 Moose Pass","16","14","1","0","40","25","13","0","17","1","2","0","9","0"
"08-070 Nikiski","146","115","38","0","235","166","60","1","36","11","15","0","26","1"
"08-075 Salamatof","150","125","24","0","216","213","73","0","33","14","30","0","22","0"
"08-080 Sterling No. 1","163","146","14","0","159","126","47","0","39","13","24","0","39","1"
"08-085 Sterling No. 2","191","199","31","0","165","122","46","0","37","14","22","0","50","1"
"District 7 - Absentee","378","336","40","0","397","207","110","1","120","28","68","1","150","1"
"District 7 - Early Voting","157","161","24","0","228","111","70","2","41","7","22","0","46","1"
"District 7  - Question","18","17","0","0","11","9","5","0","13","1","5","0","49","0"
"District 8 - Absentee","370","324","51","1","391","249","123","2","172","32","84","0","163","4"
"District 8 - Early Voting","157","165","37","0","193","104","57","0","74","11","32","0","72","0"
"District 8  - Question","9","8","1","0","9","12","1","0","5","3","1","0","45","2"
"Total","3072","2858","400","1","3588","2404","1071","8","990","262","532","2","1033","15"
