"1","Cacy","Giessel","Blank","Exhausted","Overvote"
"09-105 Girdwood","379","263","17","55","0"
"09-110 Indian","47","45","5","26","0"
"09-115 South Anchorage No. 1","272","603","35","193","0"
"09-120 South Anchorage No. 2","263","662","22","246","0"
"09-125 South Anchorage No. 3","290","516","25","244","0"
"09-130 South Anchorage No. 4","292","572","30","242","0"
"09-135 South Anchorage No. 5","152","218","13","100","0"
"09-140 Stuckagain Heights","58","70","0","24","0"
"09-145 Whittier","18","43","7","26","0"
"10-150 Dimond","242","277","31","87","0"
"10-155 Oceanview No. 1","298","474","37","118","0"
"10-160 Oceanview No. 2","211","382","25","85","0"
"10-165 Oceanview No. 3","287","439","35","144","2"
"10-170 Oceanview No. 4","252","402","10","137","0"
"10-175 Oceanview No. 5","206","290","25","99","0"
"District 10 - Absentee","667","672","75","198","0"
"District 10 - Early Voting","326","375","14","107","0"
"District 10  - Question","20","21","81","2","0"
"District 9 - Absentee","965","1199","97","309","1"
"District 9 - Early Voting","481","703","27","233","1"
"District 9  - Question","32","29","121","13","0"
"Total","5758","8255","732","2688","4"
