"1","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Cacy","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Giessel","Holland","Holland","Holland","Holland","Holland","Holland","Holland","Holland","Holland","Holland","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Giessel","Giessel","Giessel","Holland","Holland","Holland","Overvote","Write-in","Write-in","Write-in","","Cacy","Cacy","Cacy","Holland","Holland","Holland","Overvote","Write-in","Write-in","Write-in","","Cacy","Cacy","Cacy","Giessel","Giessel","Giessel","Write-in","Write-in","Write-in","","","Cacy","Cacy","Giessel","Giessel","Giessel","Holland","Holland","Holland",""
"3","","","Holland","Write-in","","Giessel","Write-in","","","Giessel","Holland","","","Holland","Write-in","","Cacy","Write-in","","","Cacy","Holland","","","Giessel","Write-in","","Cacy","Write-in","","Cacy","Giessel","","","","Giessel","","Cacy","Holland","","Cacy","Giessel",""
"09-105 Girdwood","194","88","56","3","9","18","0","0","0","3","0","76","43","44","0","37","17","0","0","0","0","0","53","2","6","0","30","15","1","2","0","0","0","0","0","0","0","0","0","0","0","0","17"
"09-110 Indian","26","10","6","0","2","2","0","0","0","0","0","10","5","4","0","6","4","0","0","0","0","0","26","0","1","0","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"09-115 South Anchorage No. 1","141","43","46","0","15","14","0","0","0","0","0","124","54","32","1","112","71","1","0","0","0","0","189","3","9","0","141","64","2","4","1","1","0","1","0","0","0","0","0","0","0","0","34"
"09-120 South Anchorage No. 2","117","49","41","0","14","15","0","0","2","1","0","147","44","38","0","115","53","1","0","0","0","0","237","12","12","0","217","46","1","9","0","0","0","2","0","0","0","0","0","0","0","0","20"
"09-125 South Anchorage No. 3","150","66","37","0","4","21","0","0","0","0","1","112","44","27","0","81","45","2","0","1","0","0","244","8","3","0","159","36","5","0","0","4","0","0","0","0","0","0","0","0","0","0","25"
"09-130 South Anchorage No. 4","139","51","57","1","2","11","0","0","0","0","0","135","44","33","1","80","57","0","0","1","0","0","234","16","11","0","174","46","1","7","2","0","0","0","1","1","0","0","0","1","0","0","30"
"09-135 South Anchorage No. 5","68","41","18","0","7","4","0","0","0","0","0","51","23","9","1","34","17","0","0","0","0","0","99","4","9","0","71","12","0","1","1","0","0","0","0","0","0","0","0","0","0","0","13"
"09-140 Stuckagain Heights","25","22","7","0","1","2","0","0","0","0","0","10","8","8","0","17","5","0","0","0","0","0","24","0","1","0","18","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09-145 Whittier","9","2","1","0","0","2","0","1","0","0","0","20","1","2","0","4","6","0","0","0","0","0","26","0","3","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"10-150 Dimond","128","27","55","0","4","14","0","0","1","1","0","82","8","24","0","52","33","1","0","0","0","0","87","5","7","0","50","27","0","0","0","0","0","2","0","0","0","0","0","0","0","0","29"
"10-155 Oceanview No. 1","155","46","58","0","11","20","0","0","3","0","0","141","21","38","0","100","48","0","1","0","0","0","114","3","2","0","94","29","1","4","0","0","0","0","0","0","0","0","1","0","0","0","37"
"10-160 Oceanview No. 2","122","35","26","0","2","14","0","0","1","0","0","102","24","25","1","80","34","0","0","0","0","1","85","0","10","0","91","23","1","0","0","0","0","0","0","0","0","0","0","0","1","0","25"
"10-165 Oceanview No. 3","163","30","60","0","5","17","0","0","2","1","0","112","19","30","0","103","57","2","0","0","0","0","140","3","6","0","85","23","4","4","0","3","2","0","0","0","0","0","0","0","0","1","35"
"10-170 Oceanview No. 4","139","43","41","0","6","7","1","0","1","0","1","86","30","20","0","89","43","0","0","0","0","1","136","7","5","1","108","23","2","1","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10-175 Oceanview No. 5","112","32","33","0","3","16","0","0","1","1","0","87","18","14","0","50","21","0","1","0","0","0","98","4","4","0","80","18","0","1","0","1","0","0","0","0","0","0","0","0","0","0","25"
"District 10 - Absentee","366","148","98","2","11","20","1","0","3","6","0","166","82","42","0","123","63","1","0","7","2","0","193","4","8","0","151","26","1","5","0","2","0","9","0","0","3","2","0","0","0","1","66"
"District 10 - Early Voting","167","69","47","2","5","19","0","0","2","0","0","100","45","24","0","82","27","1","0","1","0","1","104","5","9","1","73","19","1","2","0","1","0","2","0","0","0","0","0","1","0","0","12"
"District 10  - Question","6","1","6","0","0","2","0","0","0","0","0","4","0","3","0","4","4","0","0","1","0","0","2","1","4","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81"
"District 9 - Absentee","396","335","126","1","27","35","0","0","1","8","3","270","237","88","4","180","82","1","0","2","0","0","301","11","14","0","273","52","7","8","2","0","1","13","3","3","1","1","1","0","0","0","84"
"District 9 - Early Voting","209","156","61","2","8","20","0","0","1","2","2","142","114","54","1","104","39","2","0","2","0","3","228","5","11","1","201","34","4","5","1","1","1","2","1","1","0","1","0","0","0","1","25"
"District 9  - Question","15","6","8","0","0","0","0","0","1","0","0","6","1","0","0","6","4","0","0","0","0","0","13","0","1","0","8","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","121"
"Total","2847","1300","888","11","136","273","2","1","19","23","7","1983","865","559","9","1459","730","12","2","15","2","6","2633","93","136","3","2043","513","31","53","7","13","4","31","5","6","4","4","2","2","1","3","701"
