"1","Claman","Costello","Blank","Overvote"
"15-405 Southwest Anchorage No. 1","231","355","10","0"
"15-410 Southwest Anchorage No. 2","266","441","19","0"
"15-415 Southwest Anchorage No. 3","352","544","15","0"
"15-420 Southwest Anchorage No. 4","300","338","17","0"
"15-425 Southwest Anchorage No. 5","344","407","19","0"
"15-430 Southwest Anchorage No. 6","465","657","23","0"
"16-450 West Anchorage No. 1","426","221","9","0"
"16-455 West Anchorage No. 2","375","307","4","1"
"16-460 West Anchorage No. 3","507","440","23","1"
"16-465 West Anchorage No. 4","219","257","9","0"
"16-470 West Anchorage No. 5","348","502","11","3"
"16-475 West Anchorage No. 6","331","392","8","0"
"16-480 West Anchorage No. 7","267","257","12","1"
"District 15 - Absentee","998","693","62","1"
"District 15 - Early Voting","460","483","13","0"
"District 15  - Question","27","38","131","0"
"District 16 - Absentee","1190","541","79","0"
"District 16 - Early Voting","748","381","24","0"
"District 16  - Question","27","41","106","0"
"Total","7881","7295","594","7"
