"1","Dunbar","Satterfield","Blank","Exhausted","Overvote"
"19-605 Airport Heights No. 1","481","185","12","55","0"
"19-610 Airport Heights No. 2","318","248","15","33","2"
"19-615 Mountainview No. 1","170","104","4","25","1"
"19-620 Mountainview No. 2","117","100","11","19","0"
"19-625 South Mountainview","171","174","6","17","1"
"20-650 University No. 1","129","75","8","3","0"
"20-655 University No. 2","365","287","26","24","0"
"20-660 University No. 3","465","303","21","15","0"
"20-665 University No. 4","220","127","10","8","0"
"20-670 University No. 5","622","548","38","25","0"
"District 19 - Absentee","576","165","46","49","4"
"District 19 - Early Voting","311","89","11","34","0"
"District 19  - Question","43","31","87","11","2"
"District 20 - Absentee","851","293","79","26","3"
"District 20 - Early Voting","440","210","15","19","2"
"District 20  - Question","34","11","165","2","0"
"Total","5313","2950","554","365","15"
