"1","Dunbar","Tarr","Blank","Exhausted","Overvote"
"19-605 Airport Heights No. 1","346","247","12","128","0"
"19-610 Airport Heights No. 2","277","165","15","158","1"
"19-615 Mountainview No. 1","147","88","4","64","1"
"19-620 Mountainview No. 2","106","62","11","67","1"
"19-625 South Mountainview","141","107","6","114","1"
"20-650 University No. 1","125","24","8","58","0"
"20-655 University No. 2","346","119","26","210","1"
"20-660 University No. 3","434","124","21","225","0"
"20-665 University No. 4","210","62","10","83","0"
"20-670 University No. 5","594","193","38","408","0"
"District 19 - Absentee","428","261","46","101","4"
"District 19 - Early Voting","235","139","11","60","0"
"District 19  - Question","39","27","87","19","2"
"District 20 - Absentee","785","167","79","217","4"
"District 20 - Early Voting","396","112","15","161","2"
"District 20  - Question","31","9","165","7","0"
"Total","4640","1906","554","2080","17"
