"1","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","","","Dunbar","Dunbar","Dunbar","Overvote","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","Write-in","","Dunbar","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Write-in","","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr",""
"3","","","Tarr","Write-in","","Overvote","Satterfield","Write-in","","Satterfield","Tarr","","","","Tarr","Write-in","","","Dunbar","Write-in","","Dunbar","Overvote","Tarr","","","Satterfield","Write-in","","","Dunbar","Write-in","","","","Tarr","","","Dunbar","Tarr","","Dunbar","Satterfield",""
"19-605 Airport Heights No. 1","78","4","13","0","183","0","46","2","1","0","0","0","128","5","12","0","0","8","18","0","0","0","0","0","55","110","41","1","0","6","8","0","0","1","1","1","0","0","0","0","0","0","0","11"
"19-610 Airport Heights No. 2","66","4","16","0","82","0","86","0","0","0","0","1","157","6","16","1","0","13","41","0","1","0","0","0","33","41","22","1","1","5","8","0","0","2","0","0","0","0","0","0","0","0","0","13"
"19-615 Mountainview No. 1","50","2","9","0","48","0","22","0","0","0","0","1","61","4","12","0","0","3","14","0","3","0","0","0","25","28","11","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","4"
"19-620 Mountainview No. 2","33","1","8","0","24","0","25","1","0","0","0","0","65","2","11","0","0","3","7","0","2","1","1","0","19","14","11","0","0","2","6","0","0","1","0","0","0","0","0","0","0","0","0","10"
"19-625 South Mountainview","37","0","8","0","40","0","38","2","0","0","0","1","112","2","13","0","0","11","24","0","2","0","0","2","17","26","19","0","0","3","4","0","0","0","0","1","0","0","0","1","0","0","0","6"
"20-650 University No. 1","47","1","8","0","30","0","32","0","0","0","0","0","57","2","5","0","0","4","6","0","1","0","0","0","3","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"20-655 University No. 2","85","6","23","0","110","0","88","0","0","0","0","0","209","5","29","0","1","11","20","0","1","0","0","0","24","32","21","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","26"
"20-660 University No. 3","114","6","24","1","167","2","95","0","0","1","0","0","223","3","20","0","0","21","24","0","2","1","0","1","15","26","27","2","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","21"
"20-665 University No. 4","51","8","9","0","77","0","50","1","0","0","0","0","80","5","9","0","0","7","18","1","3","0","0","1","8","12","11","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","10"
"20-670 University No. 5","160","15","26","0","201","1","136","4","0","0","1","0","398","16","34","0","0","31","43","2","8","0","0","2","25","44","33","1","0","6","6","0","0","2","0","0","0","2","0","0","0","0","0","36"
"District 19 - Absentee","80","0","16","0","211","0","92","2","1","0","1","3","97","7","17","0","0","11","14","1","4","0","0","1","48","128","43","1","0","3","9","0","0","0","1","0","1","0","0","0","1","0","1","46"
"District 19 - Early Voting","50","3","5","0","107","0","56","3","1","1","0","0","59","1","6","0","0","4","8","0","1","0","0","2","33","56","27","0","0","0","8","0","1","2","1","1","0","0","0","0","0","0","0","9"
"District 19  - Question","14","0","1","0","8","0","12","0","0","0","0","2","19","0","3","0","0","3","4","0","0","0","0","0","11","4","3","0","0","2","0","0","0","2","1","0","0","0","0","0","0","0","0","85"
"District 20 - Absentee","206","10","22","0","377","0","123","7","0","0","0","2","212","13","26","0","2","12","19","0","5","0","0","0","26","81","24","0","1","2","1","0","0","12","0","0","0","0","1","0","0","1","0","67"
"District 20 - Early Voting","85","5","12","0","199","0","74","1","0","0","0","2","159","7","12","1","0","9","13","0","2","0","0","1","19","45","19","0","0","3","2","1","0","6","0","0","0","0","0","0","0","0","0","9"
"District 20  - Question","6","2","1","0","7","0","15","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","2","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","165"
"Total","1162","67","201","1","1871","3","990","23","3","2","2","12","2043","78","225","2","3","151","275","4","35","2","1","10","363","655","318","7","2","42","72","1","1","28","4","3","1","2","1","1","1","1","2","526"
