"1","McCarty","Merrick","Blank","Overvote"
"23-805 Chugach Park No. 1","459","681","107","0"
"23-810 Eagle River No. 1","311","391","74","0"
"23-815 Eagle River No. 2","269","397","66","0"
"23-820 Hiland","264","380","54","0"
"23-825 Meadow Creek No. 1","325","471","73","0"
"23-830 Meadow Creek No. 2","211","265","41","1"
"24-850 Chugach Park No. 2","300","445","71","0"
"24-855 Chugiak","178","160","31","1"
"24-860 Eagle River No. 3","227","329","55","0"
"24-865 Eklutna","283","415","73","0"
"24-870 Fire Lake","341","442","53","0"
"24-875 Peters Creek No. 1","434","572","81","0"
"24-880 Peters Creek No. 2","229","305","59","0"
"District 23 - Absentee","614","1074","281","0"
"District 23 - Early Voting","559","704","119","0"
"District 23  - Question","35","38","70","2"
"District 24 - Absentee","482","758","195","1"
"District 24 - Early Voting","491","646","125","0"
"District 24  - Question","42","65","107","0"
"Total","6054","8538","1735","5"
