"1","McCarty","McCarty","McCarty","McCarty","Merrick","Merrick","Merrick","Merrick","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Merrick","Overvote","Write-in","","McCarty","Overvote","Write-in","","McCarty","Merrick","",""
"23-805 Chugach Park No. 1","307","139","0","13","399","277","0","5","10","0","0","97","0"
"23-810 Eagle River No. 1","196","108","0","6","214","175","0","2","1","1","0","73","0"
"23-815 Eagle River No. 2","172","95","0","2","209","184","0","2","3","0","2","63","0"
"23-820 Hiland","160","96","0","8","203","171","0","5","1","0","1","53","0"
"23-825 Meadow Creek No. 1","206","109","0","9","282","187","0","1","6","1","1","67","0"
"23-830 Meadow Creek No. 2","139","71","0","1","161","102","1","1","6","0","0","35","1"
"24-850 Chugach Park No. 2","204","87","0","8","231","211","1","1","7","1","1","64","0"
"24-855 Chugiak","115","62","0","1","83","74","0","1","3","0","2","28","1"
"24-860 Eagle River No. 3","142","80","0","5","158","170","0","1","4","0","0","51","0"
"24-865 Eklutna","189","88","1","5","202","207","0","5","7","0","1","66","0"
"24-870 Fire Lake","220","118","0","3","218","220","0","2","2","0","2","51","0"
"24-875 Peters Creek No. 1","295","130","0","8","299","267","0","5","4","1","1","77","0"
"24-880 Peters Creek No. 2","145","80","0","3","157","147","0","1","4","1","0","55","0"
"District 23 - Absentee","377","222","1","13","722","338","0","11","20","1","3","261","0"
"District 23 - Early Voting","378","174","0","5","433","260","0","7","10","2","4","109","0"
"District 23  - Question","19","15","0","1","14","22","0","1","0","0","1","70","2"
"District 24 - Absentee","285","190","0","6","446","300","0","8","19","1","4","176","1"
"District 24 - Early Voting","327","152","0","12","379","258","1","5","13","0","3","112","0"
"District 24  - Question","17","25","0","0","36","29","0","0","1","0","0","106","0"
"Total","3893","2041","2","109","4846","3599","3","64","121","9","26","1614","5"
