"1","Cooper","Hughes","Blank","Overvote"
"25-305 Butte","221","979","18","0"
"25-310 Greater Palmer","126","450","7","0"
"25-315 Lazy Mountain","187","575","15","0"
"25-320 Palmer City No. 1","194","421","7","0"
"25-325 Palmer City No. 2","143","353","10","0"
"25-330 Springer Loop","177","557","17","0"
"25-335 Walby","120","587","17","0"
"26-350 Fairview No. 1","63","436","17","0"
"26-355 Fairview No. 2","72","285","9","0"
"26-360 Knik Goose Bay No. 1","168","832","40","0"
"26-365 Knik Goose Bay No. 2","108","556","17","0"
"26-370 Knik Goose Bay No. 3","55","347","11","0"
"26-375 Mat-Su Campus","139","488","16","0"
"26-380 Snowshoe","140","818","28","1"
"District 25 - Absentee","436","642","70","1"
"District 25 - Early Voting","621","1121","37","0"
"District 25  - Question","19","88","162","0"
"District 26 - Absentee","259","603","52","1"
"District 26 - Early Voting","317","1065","35","1"
"District 26  - Question","10","66","158","0"
"Total","3575","11269","743","4"
