"1","Cooper","Cooper","Cooper","Hughes","Hughes","Hughes","Hughes","Overvote","Write-in","Write-in","Write-in","Blank"
"2","","Hughes","Write-in","","Cooper","Overvote","Write-in","","","Cooper","Hughes",""
"25-305 Butte","147","72","2","823","147","0","8","0","0","0","1","18"
"25-310 Greater Palmer","87","37","2","368","74","0","8","0","1","0","0","6"
"25-315 Lazy Mountain","135","51","1","490","77","0","8","0","0","0","0","15"
"25-320 Palmer City No. 1","132","58","4","320","95","0","6","0","0","0","0","7"
"25-325 Palmer City No. 2","98","42","3","286","60","0","7","0","0","0","0","10"
"25-330 Springer Loop","123","52","2","470","81","0","6","0","1","0","0","16"
"25-335 Walby","75","41","4","465","103","1","17","0","2","0","1","15"
"26-350 Fairview No. 1","38","25","0","382","48","0","6","0","0","0","0","17"
"26-355 Fairview No. 2","54","13","4","222","58","0","5","0","0","1","0","9"
"26-360 Knik Goose Bay No. 1","112","55","1","679","135","0","18","0","0","0","0","40"
"26-365 Knik Goose Bay No. 2","70","38","0","469","73","0","12","0","0","0","2","17"
"26-370 Knik Goose Bay No. 3","36","19","0","283","53","0","11","0","0","0","0","11"
"26-375 Mat-Su Campus","106","32","1","418","67","0","3","0","1","0","0","15"
"26-380 Snowshoe","92","46","1","709","100","0","7","1","1","1","2","27"
"District 25 - Absentee","310","116","10","541","96","0","5","1","2","0","0","68"
"District 25 - Early Voting","458","151","11","949","158","1","11","0","3","1","2","34"
"District 25  - Question","9","10","0","69","16","0","3","0","0","0","0","162"
"District 26 - Absentee","197","60","1","517","71","0","14","1","1","1","1","51"
"District 26 - Early Voting","240","72","5","912","131","0","20","1","5","0","2","30"
"District 26  - Question","4","6","0","53","13","0","0","0","0","0","0","158"
"Total","2523","996","52","9425","1656","2","175","4","17","4","11","726"
