"1","Clayton","Wright","Blank","Exhausted","Overvote"
"27-405 Foothills","233","215","81","112","0"
"27-410 Meadow Lakes No. 1","356","318","127","171","2"
"27-415 Meadow Lakes No. 2","267","282","89","117","0"
"27-420 Wasilla No. 1","240","231","117","130","0"
"27-425 Wasilla No. 2","394","296","131","162","2"
"28-450 Lakes No. 1","129","246","79","100","1"
"28-455 Lakes No. 2","115","198","56","68","1"
"28-460 Seldon No. 1","240","310","85","133","2"
"28-465 Seldon No. 2","256","445","150","174","3"
"28-470 Seward Meridian","113","187","60","64","0"
"28-475 Trunk","185","354","119","96","2"
"28-480 Wasilla Lake","83","165","52","84","0"
"District 27 - Absentee","235","243","189","189","1"
"District 27 - Early Voting","539","471","197","306","1"
"District 27  - Question","46","34","137","14","3"
"District 28 - Absentee","178","314","172","261","2"
"District 28 - Early Voting","382","623","228","335","3"
"District 28  - Question","33","43","158","11","0"
"Total","4024","4975","2227","2527","23"
