"1","Wilson","Wright","Blank","Exhausted","Overvote"
"27-405 Foothills","305","190","81","64","1"
"27-410 Meadow Lakes No. 1","437","315","127","94","1"
"27-415 Meadow Lakes No. 2","299","290","89","77","0"
"27-420 Wasilla No. 1","340","194","117","67","0"
"27-425 Wasilla No. 2","459","292","131","99","4"
"28-450 Lakes No. 1","255","181","79","40","0"
"28-455 Lakes No. 2","181","163","56","38","0"
"28-460 Seldon No. 1","320","296","85","67","2"
"28-465 Seldon No. 2","423","386","150","67","2"
"28-470 Seward Meridian","157","181","60","26","0"
"28-475 Trunk","290","300","119","45","2"
"28-480 Wasilla Lake","187","119","52","26","0"
"District 27 - Absentee","434","172","189","61","1"
"District 27 - Early Voting","748","426","197","142","1"
"District 27  - Question","51","28","137","15","3"
"District 28 - Absentee","463","236","172","54","2"
"District 28 - Early Voting","736","503","228","102","2"
"District 28  - Question","39","39","158","9","0"
"Total","6124","4311","2227","1093","21"
