"1","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","","","Clayton","Clayton","Clayton","Clayton","Overvote","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wilson","Write-in","Write-in","Write-in","","Clayton","Clayton","Clayton","Overvote","Wilson","Wilson","Wright","Wright","Wright",""
"3","","","","Overvote","Wright","Write-in","","Overvote","Wilson","Write-in","","Wilson","Wright","","","","Overvote","Wright","Write-in","","","Clayton","Overvote","Write-in","","Clayton","Wright","","","Wilson","Write-in","","","Clayton","Write-in","","Clayton","Wilson","","","Wilson","Wright","","","Wright","","Clayton","Wilson",""
"27-405 Foothills","64","1","9","0","67","0","4","0","31","1","0","0","0","0","111","18","0","38","0","0","14","46","0","1","1","0","0","53","12","18","0","0","15","54","0","0","0","0","7","0","0","0","0","0","0","1","0","1","74"
"27-410 Meadow Lakes No. 1","94","0","16","0","94","0","26","0","37","0","0","0","0","1","171","22","0","67","0","1","19","47","0","0","0","0","0","122","21","33","0","0","14","62","0","0","0","0","2","0","0","0","0","0","0","0","0","0","125"
"27-415 Meadow Lakes No. 2","77","0","15","0","57","0","16","1","41","0","0","0","0","0","117","17","0","42","0","0","9","41","0","0","0","0","0","82","25","40","0","1","18","66","0","0","0","0","1","0","1","0","0","0","0","0","0","0","88"
"27-420 Wasilla No. 1","65","0","14","0","68","1","7","0","20","0","2","0","0","0","129","14","0","49","0","0","19","45","0","0","1","0","0","67","8","17","1","0","14","60","0","0","0","0","5","0","0","0","0","0","0","0","0","0","112"
"27-425 Wasilla No. 2","99","2","14","0","99","0","25","0","40","0","0","0","0","2","162","43","0","71","0","0","17","52","0","0","0","1","0","89","18","47","0","0","19","51","0","0","0","0","3","0","0","0","0","0","0","0","1","2","128"
"28-450 Lakes No. 1","40","0","5","0","16","0","7","0","32","0","0","0","0","0","99","8","0","21","0","1","12","92","0","0","0","0","0","56","7","16","0","0","17","45","0","1","0","0","1","0","0","0","0","1","0","0","0","0","78"
"28-455 Lakes No. 2","38","0","5","0","10","0","8","0","24","0","0","0","0","0","68","10","0","20","0","1","16","51","0","0","0","0","0","60","10","17","0","0","7","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"28-460 Seldon No. 1","67","0","11","0","18","0","24","0","66","1","0","0","1","2","133","23","1","28","0","0","20","84","0","0","0","0","0","69","23","31","1","2","16","62","0","0","0","0","7","0","0","0","0","0","2","0","0","0","78"
"28-465 Seldon No. 2","66","0","11","0","28","0","34","0","67","0","0","1","0","1","174","13","0","33","1","1","33","127","1","0","0","0","0","110","20","46","1","1","25","79","1","0","1","0","10","1","0","1","1","0","0","0","0","0","140"
"28-470 Seward Meridian","26","0","2","0","8","0","7","0","40","0","0","0","0","0","64","12","0","18","0","0","12","41","0","0","0","0","0","50","10","23","0","0","9","41","0","0","0","0","1","0","0","0","0","0","0","0","0","1","59"
"28-475 Trunk","45","0","13","0","18","1","12","0","52","0","0","0","0","2","96","11","0","32","0","0","28","90","1","0","0","0","0","90","26","36","0","0","16","66","0","1","0","0","4","0","0","1","0","0","0","0","0","0","115"
"28-480 Wasilla Lake","26","0","3","0","14","0","4","0","14","0","0","0","0","0","84","2","0","17","0","0","13","52","0","0","0","0","0","55","6","11","0","0","3","25","0","0","0","0","1","0","2","1","0","0","0","0","0","0","51"
"District 27 - Absentee","61","0","10","1","54","1","9","0","13","0","0","1","1","1","186","16","0","64","2","0","21","71","0","2","2","0","0","71","8","25","0","0","20","23","0","0","0","0","10","0","2","0","0","1","0","0","1","1","179"
"District 27 - Early Voting","142","1","28","0","132","3","37","0","49","0","0","0","1","0","305","36","0","105","1","1","43","90","0","0","1","1","0","133","24","66","0","0","31","79","0","1","0","0","11","0","2","1","0","0","0","2","0","2","186"
"District 27  - Question","15","0","1","0","16","0","0","0","3","0","0","0","0","3","14","3","0","8","0","0","3","6","0","0","0","0","0","11","2","3","0","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","136"
"District 28 - Absentee","53","0","9","0","13","0","5","0","34","0","0","0","0","2","258","12","0","47","0","0","32","86","0","0","3","1","0","81","17","21","0","1","22","51","0","1","0","1","16","1","2","1","0","0","0","0","1","0","156"
"District 28 - Early Voting","100","0","18","0","37","0","20","0","89","0","2","0","0","2","333","42","0","66","1","1","47","185","0","0","2","1","1","137","31","70","1","1","29","115","1","0","3","1","18","0","2","4","0","0","0","0","1","0","210"
"District 28  - Question","9","0","1","0","0","0","2","0","11","0","0","0","0","0","10","4","0","5","0","0","1","17","0","0","1","0","0","13","0","3","0","0","1","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","158"
"Total","1087","4","185","1","749","6","247","1","663","2","4","2","3","16","2514","306","1","731","5","6","359","1223","2","3","11","4","1","1349","268","523","4","6","276","933","2","4","4","2","98","2","11","10","1","2","2","3","4","7","2129"
