"1","Jafre","Jafre","Jafre","Jafre","Jafre","Jafre","Jafre","Jafre","Jafre","Jafre","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Kawasaki","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Matherly","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Kawasaki","Kawasaki","Kawasaki","Matherly","Matherly","Matherly","Overvote","Write-in","Write-in","","Jafre","Jafre","Jafre","Jafre","Matherly","Matherly","Matherly","Matherly","Overvote","Write-in","Write-in","Write-in","","Jafre","Jafre","Jafre","Jafre","Kawasaki","Kawasaki","Kawasaki","Overvote","Write-in","Write-in","","","Jafre","Jafre","Jafre","Kawasaki","Matherly","Matherly",""
"3","","","Matherly","Write-in","","Kawasaki","Write-in","","","Matherly","","","Matherly","Overvote","Write-in","","Jafre","Overvote","Write-in","","","Jafre","Matherly","","","Kawasaki","Overvote","Write-in","","Jafre","Write-in","","","Jafre","","","","Kawasaki","Matherly","Matherly","Jafre","Kawasaki",""
"31-446 Aurora","28","5","8","0","22","17","0","0","0","0","223","17","63","0","0","46","66","0","0","0","1","0","0","130","120","47","0","2","20","25","0","0","0","0","0","2","0","0","0","0","0","0","13"
"31-455 Fairbanks No. 1","27","5","5","0","24","8","0","0","0","1","264","22","70","0","0","47","79","0","0","0","2","2","3","136","126","36","0","2","13","20","0","0","1","0","0","1","0","0","0","0","1","0","17"
"31-480 Fairbanks No. 2","17","3","12","1","15","8","0","0","0","0","240","14","63","0","2","45","71","0","1","0","2","1","0","143","107","49","1","5","16","38","0","1","1","1","0","0","0","0","1","0","0","1","15"
"31-485 Fairbanks No. 3","28","2","8","0","15","12","0","0","0","0","202","5","58","1","1","28","79","0","0","0","2","1","1","94","95","44","0","2","14","29","1","0","1","0","2","0","0","0","0","0","0","0","6"
"32-355 Fairbanks No. 4","8","3","3","0","9","9","0","0","0","0","191","13","41","0","0","29","46","0","0","0","3","0","0","124","98","38","0","2","14","24","0","0","3","0","0","0","0","0","0","0","0","0","10"
"32-365 Fairbanks No. 5","5","3","2","0","11","4","1","0","0","0","141","6","28","0","2","27","45","0","0","0","3","0","0","120","83","25","0","1","23","14","0","0","0","3","0","0","0","0","0","1","0","0","4"
"32-375 Fort Wainwright","3","0","0","0","4","5","1","0","0","0","20","2","9","0","0","1","16","0","0","0","0","0","0","19","21","16","0","3","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32-385 Badger No. 2","22","3","9","0","33","13","1","0","0","1","162","8","32","0","1","29","79","0","0","0","0","0","0","240","205","76","0","6","24","31","0","0","8","0","0","2","0","0","0","0","0","0","16"
"District 31 - Absentee","21","1","4","0","15","5","0","0","0","0","294","16","37","0","1","51","61","0","0","0","0","2","3","91","74","34","0","4","17","13","0","0","0","0","2","3","4","2","1","0","0","0","47"
"District 31 - Early Voting","13","0","6","0","9","6","0","0","1","0","387","22","86","0","4","61","87","1","0","1","4","6","1","127","96","30","1","4","16","21","0","0","1","1","3","5","5","0","1","0","0","0","15"
"District 31  - Question","0","0","0","0","2","0","0","0","0","0","14","1","7","0","1","0","1","0","1","0","0","0","1","9","1","4","0","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","86"
"District 32 - Absentee","9","1","2","0","11","7","1","0","0","0","131","7","23","0","0","27","34","0","1","0","1","2","2","80","85","25","0","2","6","9","0","0","0","0","1","2","1","0","0","0","0","0","18"
"District 32 - Early Voting","7","0","3","0","12","2","0","0","0","0","136","14","13","0","0","33","32","0","0","1","3","1","1","77","68","17","0","5","14","10","0","0","0","0","0","0","0","0","1","0","0","0","3"
"District 32  - Question","2","0","0","0","1","0","0","1","0","0","5","1","3","0","0","0","4","0","0","0","0","0","0","4","5","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","78"
"Total","190","26","62","1","183","96","4","1","1","2","2410","148","533","1","12","424","700","1","3","2","21","15","12","1394","1184","448","2","39","184","242","1","1","16","5","9","15","11","2","4","1","1","1","328"
