"1","Myers","Serkov","Blank","Exhausted","Overvote"
"33-130 Badger No. 1","666","148","68","87","0"
"33-135 Chena Lakes","723","109","60","60","0"
"33-155 Moose Creek","87","17","5","7","0"
"33-165 Newby","839","138","66","96","1"
"33-175 North Pole","389","72","33","40","0"
"33-183 Plack","746","103","53","53","1"
"34-235 Eielson","136","26","11","9","0"
"34-238 Eielson Farm Road","40","8","2","8","0"
"34-240 Farmers Loop","412","128","45","293","1"
"34-260 Salcha","336","39","10","45","0"
"34-263 Steele Creek","687","114","38","166","1"
"34-265 Steese","679","121","56","181","1"
"34-270 Summit","529","111","29","148","0"
"34-280 Two Rivers","318","68","21","67","0"
"District 33 - Absentee","460","96","65","142","1"
"District 33 - Early Voting","401","103","49","110","1"
"District 33  - Question","72","13","68","7","1"
"District 34 - Absentee","587","143","96","374","0"
"District 34 - Early Voting","671","201","65","450","1"
"District 34  - Question","81","17","115","8","0"
"Total","8859","1775","955","2351","9"
