"1","Bennett","Serkov","Blank","Exhausted","Overvote"
"33-130 Badger No. 1","276","168","68","457","0"
"33-135 Chena Lakes","199","154","60","539","0"
"33-155 Moose Creek","27","17","5","67","0"
"33-165 Newby","280","203","66","588","3"
"33-175 North Pole","140","88","33","273","0"
"33-183 Plack","216","169","53","518","0"
"34-235 Eielson","47","48","11","76","0"
"34-238 Eielson Farm Road","17","13","2","26","0"
"34-240 Farmers Loop","504","96","45","234","0"
"34-260 Salcha","126","62","10","232","0"
"34-263 Steele Creek","385","139","38","443","1"
"34-265 Steese","412","150","56","419","1"
"34-270 Summit","332","145","29","311","0"
"34-280 Two Rivers","156","87","21","210","0"
"District 33 - Absentee","314","85","65","299","1"
"District 33 - Early Voting","244","107","49","263","1"
"District 33  - Question","24","23","68","44","2"
"District 34 - Absentee","635","131","96","337","1"
"District 34 - Early Voting","788","144","65","390","1"
"District 34  - Question","30","21","115","54","1"
"Total","5152","2050","955","5780","12"
