"1","Bennett","Myers","Blank","Exhausted","Overvote"
"33-130 Badger No. 1","227","644","68","30","0"
"33-135 Chena Lakes","158","710","60","24","0"
"33-155 Moose Creek","24","84","5","3","0"
"33-165 Newby","221","828","66","24","1"
"33-175 North Pole","111","381","33","9","0"
"33-183 Plack","129","745","53","29","0"
"34-235 Eielson","34","132","11","5","0"
"34-238 Eielson Farm Road","15","40","2","1","0"
"34-240 Farmers Loop","482","344","45","8","0"
"34-260 Salcha","85","331","10","4","0"
"34-263 Steele Creek","315","641","38","11","1"
"34-265 Steese","338","622","56","21","1"
"34-270 Summit","283","490","29","15","0"
"34-280 Two Rivers","131","308","21","14","0"
"District 33 - Absentee","257","428","65","13","1"
"District 33 - Early Voting","212","384","49","18","1"
"District 33  - Question","18","70","68","4","1"
"District 34 - Absentee","573","516","96","15","0"
"District 34 - Early Voting","727","577","65","18","1"
"District 34  - Question","29","75","115","2","0"
"Total","4369","8350","955","268","7"
