"1","Bishop","Verhagen","Blank","Exhausted","Overvote"
"35-580 Airport","169","98","10","15","0"
"35-582 Chena","745","425","65","86","1"
"35-584 Ester","345","154","34","45","0"
"35-586 Geist","326","146","35","30","0"
"35-587 Lakeview","65","39","5","7","0"
"35-592 Shanly","211","98","35","41","0"
"35-595 University Hills","355","129","44","60","0"
"35-596 University West","685","390","53","83","0"
"36-001 Goldstream No. 1","349","184","42","60","0"
"36-002 Goldstream No. 2","403","162","56","77","1"
"36-010 Allakaket","35","1","6","14","0"
"36-014 Anvik","18","4","0","5","0"
"36-018 Arctic Village","14","7","1","10","0"
"36-022 Beaver","17","2","2","3","0"
"36-026 Bettles","7","4","2","3","0"
"36-034 Central","33","4","1","3","0"
"36-038 Chistochina","46","18","3","3","0"
"36-042 Circle","17","1","2","2","0"
"36-046 Copper Center","178","70","9","21","0"
"36-050 Delta Junction","134","145","8","14","0"
"36-054 Deltana","441","512","40","53","3"
"36-058 Dot Lake","11","25","5","0","0"
"36-062 Eagle","28","11","3","3","0"
"36-066 Fort Yukon","67","34","13","14","1"
"36-070 Gakona","49","21","2","7","0"
"36-074 Galena","92","21","9","10","0"
"36-078 Glennallen","75","55","9","9","0"
"36-082 Grayling","19","10","2","19","0"
"36-086 Holy Cross","13","7","5","5","1"
"36-090 Hughes","25","3","2","2","0"
"36-094 Huslia","70","5","2","1","0"
"36-098 Kaltag","37","2","4","4","0"
"36-102 Kenny Lake","96","32","10","15","0"
"36-106 Koyukuk","29","1","1","2","0"
"36-110 Manley","24","21","0","0","0"
"36-114 McGrath","46","17","6","13","0"
"36-118 Mentasta","24","5","2","0","0"
"36-122 Minto","39","5","0","1","0"
"36-126 Nenana","152","101","9","9","0"
"36-130 Nikolai","20","5","4","9","1"
"36-134 Northway","61","7","4","4","0"
"36-138 Nulato","64","0","0","3","0"
"36-142 Ruby","32","1","1","1","0"
"36-146 Shageluk","11","2","2","6","1"
"36-162 Tanana","51","8","2","2","0"
"36-166 Tetlin","17","7","0","0","0"
"36-170 Tok","198","232","16","26","0"
"36-174 Venetie","18","9","4","13","0"
"District 35 - Absentee","690","233","137","87","1"
"District 35 - Early Voting","982","313","104","111","0"
"District 35  - Question","47","28","106","10","0"
"District 36 - Early Voting - 1","32","6","2","10","0"
"District 36 - Early Voting - 2","300","81","28","34","1"
"District 36 - Question - 1","30","9","20","3","0"
"District 36 - Question - 2","61","18","108","10","0"
"House District 36 - Judicial District 3","254","114","43","48","1"
"House District 36 - Judicial District 4","615","379","92","85","4"
"Total","8972","4421","1210","1211","16"
