"1","Bishop","Williams","Blank","Exhausted","Overvote"
"35-580 Airport","190","53","10","39","0"
"35-582 Chena","865","238","65","153","1"
"35-584 Ester","370","117","34","57","0"
"35-586 Geist","357","92","35","53","0"
"35-587 Lakeview","72","15","5","24","0"
"35-592 Shanly","220","98","35","32","0"
"35-595 University Hills","361","139","44","44","0"
"35-596 University West","817","221","53","120","0"
"36-001 Goldstream No. 1","359","169","42","65","0"
"36-002 Goldstream No. 2","416","174","56","52","1"
"36-010 Allakaket","32","17","6","1","0"
"36-014 Anvik","14","12","0","1","0"
"36-018 Arctic Village","12","17","1","2","0"
"36-022 Beaver","18","4","2","0","0"
"36-026 Bettles","7","6","2","1","0"
"36-034 Central","31","8","1","1","0"
"36-038 Chistochina","47","8","3","12","0"
"36-042 Circle","17","2","2","1","0"
"36-046 Copper Center","185","61","9","23","0"
"36-050 Delta Junction","174","48","8","71","0"
"36-054 Deltana","556","180","40","270","3"
"36-058 Dot Lake","19","1","5","16","0"
"36-062 Eagle","31","5","3","6","0"
"36-066 Fort Yukon","67","27","13","21","1"
"36-070 Gakona","54","12","2","11","0"
"36-074 Galena","91","24","9","8","0"
"36-078 Glennallen","88","27","9","24","0"
"36-082 Grayling","16","28","2","4","0"
"36-086 Holy Cross","6","19","5","1","0"
"36-090 Hughes","23","7","2","0","0"
"36-094 Huslia","69","6","2","1","0"
"36-098 Kaltag","37","5","4","1","0"
"36-102 Kenny Lake","104","24","10","15","0"
"36-106 Koyukuk","24","7","1","1","0"
"36-110 Manley","27","7","0","11","0"
"36-114 McGrath","50","19","6","7","0"
"36-118 Mentasta","20","5","2","4","0"
"36-122 Minto","40","4","0","1","0"
"36-126 Nenana","172","48","9","42","0"
"36-130 Nikolai","19","16","4","0","0"
"36-134 Northway","60","8","4","4","0"
"36-138 Nulato","61","6","0","0","0"
"36-142 Ruby","33","1","1","0","0"
"36-146 Shageluk","10","9","2","1","0"
"36-162 Tanana","52","5","2","4","0"
"36-166 Tetlin","11","11","0","2","0"
"36-170 Tok","245","79","16","132","0"
"36-174 Venetie","17","18","4","5","0"
"District 35 - Absentee","728","203","137","79","1"
"District 35 - Early Voting","1036","270","104","100","0"
"District 35  - Question","48","25","106","12","0"
"District 36 - Early Voting - 1","28","18","2","2","0"
"District 36 - Early Voting - 2","293","86","28","36","1"
"District 36 - Question - 1","31","10","20","1","0"
"District 36 - Question - 2","61","19","108","9","0"
"House District 36 - Judicial District 3","284","81","43","51","1"
"House District 36 - Judicial District 4","703","204","92","173","3"
"Total","9778","3023","1210","1807","12"
