"1","Bishop","Bishop","Bishop","Bishop","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Blank","Overvote"
"2","","Overvote","Verhagen","Williams","","Bishop","Williams","","Bishop","Overvote","Verhagen","",""
"35-580 Airport","74","0","59","19","39","38","18","15","17","0","3","10","0"
"35-582 Chena","386","0","236","81","153","162","74","86","42","0","36","65","1"
"35-584 Ester","204","1","71","37","57","57","24","45","32","0","16","34","0"
"35-586 Geist","148","1","100","50","53","58","18","30","27","0","17","35","0"
"35-587 Lakeview","24","0","30","7","24","11","1","7","4","0","3","5","0"
"35-592 Shanly","98","0","58","30","32","34","20","41","25","0","12","35","0"
"35-595 University Hills","189","0","77","49","44","46","22","60","40","0","17","44","0"
"35-596 University West","330","0","205","109","120","173","49","83","41","0","48","53","0"
"36-001 Goldstream No. 1","179","0","76","61","65","43","41","60","33","0","35","42","0"
"36-002 Goldstream No. 2","226","0","69","73","52","48","30","77","35","0","32","56","1"
"36-010 Allakaket","21","0","2","9","1","0","0","14","3","0","0","6","0"
"36-014 Anvik","8","0","1","3","1","2","0","5","6","0","1","0","0"
"36-018 Arctic Village","7","0","2","3","2","0","2","10","2","0","3","1","0"
"36-022 Beaver","6","0","3","8","0","1","0","3","0","0","1","2","0"
"36-026 Bettles","4","0","2","0","1","1","2","3","1","0","0","2","0"
"36-034 Central","19","0","10","2","1","0","3","3","2","0","0","1","0"
"36-038 Chistochina","29","0","13","2","12","3","2","3","2","0","1","3","0"
"36-042 Circle","12","0","1","4","1","0","0","2","0","0","0","2","0"
"36-046 Copper Center","81","0","52","29","23","23","16","21","16","0","8","9","0"
"36-050 Delta Junction","67","0","46","16","71","45","23","14","5","0","6","8","0"
"36-054 Deltana","217","1","154","42","270","142","84","53","27","0","16","40","3"
"36-058 Dot Lake","6","0","4","1","16","8","1","0","0","0","0","5","0"
"36-062 Eagle","22","0","6","0","6","3","2","3","0","0","0","3","0"
"36-066 Fort Yukon","37","0","14","12","21","4","8","14","4","0","1","13","1"
"36-070 Gakona","33","0","10","4","11","7","3","7","2","0","0","2","0"
"36-074 Galena","51","0","18","16","8","6","2","10","7","0","5","9","0"
"36-078 Glennallen","35","0","31","5","24","17","10","9","4","0","4","9","0"
"36-082 Grayling","11","0","0","2","4","3","1","19","6","0","2","2","0"
"36-086 Holy Cross","3","0","1","2","1","0","1","5","7","1","5","5","0"
"36-090 Hughes","11","0","0","12","0","0","1","2","2","0","2","2","0"
"36-094 Huslia","38","0","9","20","1","2","1","1","3","0","1","2","0"
"36-098 Kaltag","29","0","2","6","1","0","1","4","0","0","0","4","0"
"36-102 Kenny Lake","51","0","24","16","15","13","1","15","5","0","3","10","0"
"36-106 Koyukuk","17","0","1","6","1","0","0","2","5","0","0","1","0"
"36-110 Manley","17","0","4","3","11","3","7","0","0","0","0","0","0"
"36-114 McGrath","24","0","15","6","7","5","1","13","1","0","4","6","0"
"36-118 Mentasta","15","0","3","2","4","0","1","0","4","0","0","2","0"
"36-122 Minto","21","0","6","10","1","3","0","1","2","0","1","0","0"
"36-126 Nenana","78","0","25","38","42","31","22","9","11","0","6","9","0"
"36-130 Nikolai","9","0","1","7","0","2","1","9","3","1","2","4","0"
"36-134 Northway","35","1","8","16","4","0","3","4","1","0","0","4","0"
"36-138 Nulato","37","0","7","17","0","0","0","3","3","0","0","0","0"
"36-142 Ruby","22","0","5","5","0","1","0","1","0","0","0","1","0"
"36-146 Shageluk","5","0","1","4","1","0","0","6","1","1","1","2","0"
"36-162 Tanana","34","0","8","9","4","1","3","2","0","0","0","2","0"
"36-166 Tetlin","2","0","2","5","2","2","2","0","8","0","1","0","0"
"36-170 Tok","116","0","51","23","132","55","36","26","8","0","9","16","0"
"36-174 Venetie","15","0","1","0","5","1","3","13","2","0","0","4","0"
"District 35 - Absentee","423","0","134","89","79","82","41","87","44","0","31","137","1"
"District 35 - Early Voting","563","0","200","154","100","119","57","111","65","0","37","104","0"
"District 35  - Question","22","1","13","5","12","7","4","10","6","0","5","106","0"
"District 36 - Early Voting - 1","15","0","7","5","2","1","1","10","5","0","2","2","0"
"District 36 - Early Voting - 2","178","0","48","50","36","17","17","34","24","0","11","28","1"
"District 36 - Question - 1","13","0","7","9","1","2","1","3","1","0","5","20","0"
"District 36 - Question - 2","31","0","12","12","9","6","1","10","6","0","2","108","0"
"House District 36 - Judicial District 3","133","0","77","34","51","40","8","48","10","0","15","43","1"
"House District 36 - Judicial District 4","359","1","142","80","173","121","52","85","33","1","33","92","3"
"Total","4840","6","2164","1319","1807","1449","722","1211","643","4","443","1210","12"
