"1","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","","Bishop","Bishop","Bishop","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams",""
"3","","","","Overvote","Williams","Write-in","","Overvote","Verhagen","Write-in","","Verhagen","Williams","","","","Williams","Write-in","","Bishop","Overvote","Write-in","","Bishop","Williams","","","Verhagen","Write-in","","","Bishop","Overvote","Write-in","","Bishop","Verhagen","","","Verhagen","Williams","","Bishop","Williams","","Bishop","Verhagen",""
"35-580 Airport","73","0","26","0","32","1","12","0","7","0","1","0","0","0","38","27","11","0","10","8","0","0","1","0","0","15","5","12","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","8"
"35-582 Chena","384","0","137","0","97","2","30","1","49","1","2","0","0","1","150","108","54","0","39","33","0","2","3","0","0","85","16","26","0","0","9","27","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","60"
"35-584 Ester","201","1","38","0","33","0","13","1","21","1","3","0","1","0","57","42","15","0","17","6","0","1","0","0","0","43","10","22","0","0","4","11","0","0","2","0","0","3","0","0","0","0","0","0","0","0","1","31"
"35-586 Geist","148","1","55","0","45","0","24","0","26","0","0","0","0","0","52","39","19","0","9","9","0","0","1","0","0","30","9","18","0","0","5","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","35"
"35-587 Lakeview","24","0","13","0","17","0","1","0","6","0","0","0","0","0","24","8","3","0","0","1","0","0","0","0","0","7","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5"
"35-592 Shanly","98","0","30","0","28","0","7","0","22","0","0","0","0","0","32","21","13","0","10","10","0","0","0","0","0","40","4","21","0","0","5","7","0","0","1","0","0","4","0","0","1","0","0","0","0","0","0","31"
"35-595 University Hills","187","0","42","0","33","0","23","0","26","0","2","1","0","0","42","31","15","0","13","9","0","0","2","0","0","59","17","22","0","0","4","12","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","43"
"35-596 University West","329","0","98","0","106","1","43","0","65","0","1","0","1","0","118","102","70","1","27","21","0","1","2","0","0","82","15","25","0","0","18","30","0","0","1","0","0","4","0","0","0","0","0","0","0","1","0","49"
"36-001 Goldstream No. 1","178","0","45","0","30","0","22","0","37","2","1","1","0","0","65","30","13","0","26","15","0","0","0","0","0","60","16","17","0","0","10","23","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","41"
"36-002 Goldstream No. 2","224","0","36","0","33","0","21","0","52","0","1","0","0","1","52","34","13","1","13","17","0","0","0","0","0","76","15","19","0","0","10","22","0","0","1","1","0","4","1","0","0","0","0","0","0","0","0","52"
"36-010 Allakaket","21","0","0","0","2","0","1","0","8","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","14","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"36-014 Anvik","8","0","0","0","1","0","1","0","2","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","5","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-018 Arctic Village","7","0","0","0","2","0","1","0","2","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","10","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-022 Beaver","6","0","0","0","3","0","2","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-026 Bettles","4","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-034 Central","18","0","4","0","6","0","0","0","2","0","1","0","0","0","1","0","0","0","2","1","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
