"1","Begich","Bye","Blank","Exhausted","Overvote"
"House District 1","3678","927","102","2167","14"
"House District 10","3822","1147","33","2138","13"
"House District 11","4833","1213","10","2125","9"
"House District 12","3584","1265","36","1880","9"
"House District 13","2960","1092","63","1660","15"
"House District 14","2650","1285","33","2173","14"
"House District 15","4349","1245","14","2094","7"
"House District 16","4034","1440","40","2544","10"
"House District 17","2652","1315","110","2371","17"
"House District 18","1104","478","14","697","4"
"House District 19","1639","719","14","1343","13"
"House District 2","3086","1207","47","3215","12"
"House District 20","2652","1071","34","1698","14"
"House District 21","3727","1331","85","2151","19"
"House District 22","1943","743","19","1250","9"
"House District 23","5067","1262","17","1982","8"
"House District 24","5172","1087","45","1677","15"
"House District 25","5262","1139","54","1904","19"
"House District 26","4697","841","32","1626","17"
"House District 27","4300","805","20","1533","20"
"House District 28","4652","810","60","1556","20"
"House District 29","5130","1057","77","1937","19"
"House District 3","4206","1507","15","3070","6"
"House District 30","4537","1178","48","2341","31"
"House District 31","2660","1040","17","1600","13"
"House District 32","1887","623","23","866","7"
"House District 33","3886","937","45","1379","9"
"House District 34","4085","1438","24","2126","20"
"House District 35","3980","1518","11","2360","9"
"House District 36","4043","1200","80","2604","25"
"House District 37","1631","596","96","1321","21"
"House District 38","1472","841","25","1393","32"
"House District 39","1684","716","24","1360","33"
"House District 4","3084","1404","44","3163","18"
"House District 40","1007","491","40","930","8"
"House District 5","2909","1000","91","1979","10"
"House District 6","4875","1656","37","3261","18"
"House District 7","4481","860","17","2067","18"
"House District 8","5446","1059","103","2171","14"
"House District 9","5893","1621","80","2682","8"
"House District 99","39","16","0","49","0"
"Total","142798","43180","1779","78443","597"
