"1","Begich","Palin","Blank","Exhausted","Overvote"
"House District 1","3152","1982","102","1639","13"
"House District 10","3318","1880","33","1910","12"
"House District 11","4218","1939","10","2014","9"
"House District 12","3366","1486","36","1879","7"
"House District 13","2722","1426","63","1566","13"
"House District 14","2615","1356","33","2137","14"
"House District 15","3868","1844","14","1974","9"
"House District 16","3945","1489","40","2585","9"
"House District 17","2784","1059","110","2494","18"
"House District 18","957","646","14","676","4"
"House District 19","1543","850","14","1309","12"
"House District 2","2659","2206","47","2644","11"
"House District 20","2629","1084","34","1709","13"
"House District 21","3512","1604","85","2094","18"
"House District 22","1736","1080","19","1121","8"
"House District 23","4156","2428","17","1728","7"
"House District 24","4260","2277","45","1398","16"
"House District 25","4096","2825","54","1386","17"
"House District 26","3042","3253","32","870","16"
"House District 27","2753","3078","20","810","17"
"House District 28","3344","2725","60","949","20"
"House District 29","3843","3023","77","1258","19"
"House District 3","3988","1789","15","3005","7"
"House District 30","3143","3548","48","1373","23"
"House District 31","2242","1619","17","1438","14"
"House District 32","1431","1259","23","685","8"
"House District 33","2424","2999","45","778","10"
"House District 34","3187","2636","24","1832","14"
"House District 35","3436","2096","11","2326","9"
"House District 36","3307","2507","80","2035","23"
"House District 37","1451","968","96","1131","19"
"House District 38","1510","833","25","1359","36"
"House District 39","1607","911","24","1242","33"
"House District 4","3333","1070","44","3246","20"
"House District 40","989","606","40","832","9"
"House District 5","2401","1842","91","1646","9"
"House District 6","4120","2950","37","2728","12"
"House District 7","3040","3133","17","1237","16"
"House District 8","3821","3552","103","1303","14"
"House District 9","5516","1951","80","2729","8"
"House District 99","44","9","0","51","0"
"Total","119508","77818","1779","67126","566"
