"1","Begich","Palin","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","216","133","6","144","0"
"01-610 Ketchikan No. 2","336","193","14","195","1"
"01-620 Ketchikan No. 3","281","121","14","125","1"
"01-640 North Tongass No. 1","190","130","2","56","0"
"01-650 North Tongass No. 2","380","227","12","123","0"
"01-660 Saxman","40","23","3","48","0"
"01-670 South Tongass","320","165","7","154","3"
"01-675 Coffman Cove","24","50","0","13","0"
"01-680 Metlakatla","181","62","11","153","0"
"01-690 Wrangell","278","276","7","122","2"
"02-700 Angoon","41","15","4","72","0"
"02-705 Craig","126","119","3","85","0"
"02-720 Hoonah","76","74","1","102","0"
"02-725 Hydaburg","18","10","1","40","0"
"02-730 Kake","28","26","1","69","0"
"02-735 Kasaan","6","13","1","8","0"
"02-740 Klawock","96","120","2","61","2"
"02-750 Pelican-Elfin Cove","15","12","0","11","0"
"02-755 Petersburg-Kupreanof","318","318","5","220","0"
"02-760 Port Alexander","4","3","0","8","0"
"02-765 Sitka No. 1","396","299","5","375","1"
"02-770 Sitka No. 2","370","259","8","434","1"
"02-775 Tenakee Springs","11","7","0","26","0"
"02-780 Thorne Bay","51","96","0","13","1"
"02-785 Yakutat","84","30","2","64","0"
"03-300 Auke Bay","277","101","1","165","0"
"03-305 Lynn Canal","229","89","0","156","0"
"03-310 Melvin Park","252","142","2","155","0"
"03-315 Mendenhall Glacier","434","247","1","252","0"
"03-320 Thunder Mountain","382","221","0","249","0"
"03-325 Gustavus","52","46","0","91","0"
"03-330 Haines No. 1","250","185","3","230","1"
"03-335 Haines No. 2","36","36","1","42","0"
"03-340 Klukwan","19","6","0","20","0"
"03-345 Skagway","153","44","0","152","1"
"04-100 Douglas","251","57","4","259","0"
"04-105 Juneau Airport Area","136","62","5","89","1"
"04-110 Juneau No. 1","232","85","5","204","1"
"04-115 Juneau No. 2","213","57","3","293","0"
"04-120 Juneau No. 3","139","35","2","121","2"
"04-125 Lemon Creek","238","96","5","147","2"
"04-130 Glacier Valley Area","209","98","2","105","2"
"04-135 North Douglas","224","59","1","206","0"
"05-800 Chiniak","8","14","0","16","0"
"05-810 Flats","171","142","8","106","1"
"05-815 Kodiak Island South","8","6","0","3","0"
"05-820 Kodiak No. 1","182","186","7","135","0"
"05-825 Kodiak No. 2","182","175","14","123","1"
"05-830 Mission Road","463","440","10","248","0"
"05-835 Old Harbor","10","3","1","13","0"
"05-840 Ouzinkie","12","8","0","29","0"
"05-845 Port Lions","22","20","2","9","0"
"05-860 Cordova","194","156","3","162","0"
"05-865 Seward-Lowell Point","230","156","10","162","1"
"05-870 Tatitlek","7","1","1","8","0"
"06-200 Anchor Point","399","382","1","115","0"
"06-210 Diamond Ridge","237","104","3","142","0"
"06-220 Fox River","153","83","1","49","0"
"06-230 Homer No. 1","323","192","5","215","1"
"06-240 Homer No. 2","294","175","1","188","0"
"06-250 Kachemak-Fritz Creek","358","152","4","276","0"
"06-260 Kasilof","430","542","6","193","2"
"06-270 Ninilchik","215","272","5","86","2"
"06-280 Seldovia-Kachemak Bay","60","51","0","59","0"
"07-005 Central","297","409","1","101","1"
"07-010 K Beach","469","441","4","134","1"
"07-015 Kenai No. 1","346","384","1","141","1"
"07-020 Kenai No. 2","198","226","1","76","0"
"07-025 Kenai No. 3","186","181","0","61","0"
"07-030 Soldotna","375","407","4","159","3"
"08-035 Bear Creek","290","192","10","144","0"
"08-040 Cooper Landing","70","34","1","36","0"
"08-045 Funny River No. 1","159","173","6","57","1"
"08-050 Funny River No. 2","165","162","6","52","0"
"08-055 Hope","30","12","0","22","0"
"08-060 Mackey Lake","298","276","6","90","0"
"08-065 Moose Pass","48","45","0","45","0"
"08-070 Nikiski","384","370","17","77","2"
