"1","Bye","Palin","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","140","184","6","169","0"
"01-610 Ketchikan No. 2","199","263","14","262","1"
"01-620 Ketchikan No. 3","87","228","14","212","1"
"01-640 North Tongass No. 1","61","198","2","117","0"
"01-650 North Tongass No. 2","105","373","12","252","0"
"01-660 Saxman","25","26","3","60","0"
"01-670 South Tongass","110","293","7","236","3"
"01-675 Coffman Cove","12","58","0","17","0"
"01-680 Metlakatla","105","85","11","206","0"
"01-690 Wrangell","117","370","7","189","2"
"02-700 Angoon","25","18","4","85","0"
"02-705 Craig","66","156","3","108","0"
"02-720 Hoonah","33","94","1","125","0"
"02-725 Hydaburg","16","11","1","41","0"
"02-730 Kake","16","30","1","77","0"
"02-735 Kasaan","7","12","1","8","0"
"02-740 Klawock","58","139","2","80","2"
"02-750 Pelican-Elfin Cove","13","16","0","9","0"
"02-755 Petersburg-Kupreanof","155","404","5","296","1"
"02-760 Port Alexander","5","4","0","6","0"
"02-765 Sitka No. 1","265","384","5","421","1"
"02-770 Sitka No. 2","231","334","8","498","1"
"02-775 Tenakee Springs","10","6","0","28","0"
"02-780 Thorne Bay","20","118","0","22","1"
"02-785 Yakutat","59","50","2","69","0"
"03-300 Auke Bay","122","177","1","243","1"
"03-305 Lynn Canal","117","147","0","209","1"
"03-310 Melvin Park","152","203","2","194","0"
"03-315 Mendenhall Glacier","254","358","1","321","0"
"03-320 Thunder Mountain","174","348","0","330","0"
"03-325 Gustavus","41","52","0","96","0"
"03-330 Haines No. 1","168","249","3","248","1"
"03-335 Haines No. 2","28","50","1","36","0"
"03-340 Klukwan","20","8","0","17","0"
"03-345 Skagway","120","74","0","156","0"
"04-100 Douglas","175","88","4","304","0"
"04-105 Juneau Airport Area","62","110","5","115","1"
"04-110 Juneau No. 1","150","116","5","255","1"
"04-115 Juneau No. 2","168","68","3","327","0"
"04-120 Juneau No. 3","89","57","2","149","2"
"04-125 Lemon Creek","139","146","5","196","2"
"04-130 Glacier Valley Area","124","157","2","132","1"
"04-135 North Douglas","136","96","1","257","0"
"05-800 Chiniak","8","15","0","15","0"
"05-810 Flats","108","181","8","130","1"
"05-815 Kodiak Island South","2","7","0","8","0"
"05-820 Kodiak No. 1","100","233","7","170","0"
"05-825 Kodiak No. 2","94","232","14","154","1"
"05-830 Mission Road","230","599","10","322","0"
"05-835 Old Harbor","9","5","1","12","0"
"05-840 Ouzinkie","8","9","0","32","0"
"05-845 Port Lions","9","29","2","13","0"
"05-860 Cordova","130","185","3","197","0"
"05-865 Seward-Lowell Point","137","217","10","194","1"
"05-870 Tatitlek","4","2","1","10","0"
"06-200 Anchor Point","136","583","1","176","1"
"06-210 Diamond Ridge","116","199","3","168","0"
"06-220 Fox River","49","167","1","69","0"
"06-230 Homer No. 1","153","315","5","262","1"
"06-240 Homer No. 2","136","310","1","210","1"
"06-250 Kachemak-Fritz Creek","170","298","4","318","0"
"06-260 Kasilof","178","762","6","225","2"
"06-270 Ninilchik","93","368","5","112","2"
"06-280 Seldovia-Kachemak Bay","30","78","0","62","0"
"07-005 Central","106","555","1","145","2"
"07-010 K Beach","139","692","4","212","2"
"07-015 Kenai No. 1","148","537","1","185","2"
"07-020 Kenai No. 2","89","304","1","107","0"
"07-025 Kenai No. 3","57","275","0","96","0"
"07-030 Soldotna","148","579","4","214","3"
"08-035 Bear Creek","155","292","10","179","0"
"08-040 Cooper Landing","36","52","1","52","0"
"08-045 Funny River No. 1","65","240","6","84","1"
"08-050 Funny River No. 2","69","237","6","73","0"
"08-055 Hope","24","19","0","21","0"
"08-060 Mackey Lake","88","438","6","138","0"
"08-065 Moose Pass","35","57","0","46","0"
"08-070 Nikiski","109","567","17","155","2"
"08-075 Salamatof","137","614","14","134","1"
"08-080 Sterling No. 1","90","526","9","145","1"
"08-085 Sterling No. 2","108","608","6","156","0"
"09-105 Girdwood","268","123","5","318","0"
"09-110 Indian","32","41","3","47","0"
"09-115 South Anchorage No. 1","260","504","9","329","1"
"09-120 South Anchorage No. 2","245","621","6","320","1"
"09-125 South Anchorage No. 3","209","497","9","360","0"
"09-130 South Anchorage No. 4","260","509","4","363","0"
"09-135 South Anchorage No. 5","115","212","3","153","0"
"09-140 Stuckagain Heights","41","62","2","47","0"
"09-145 Whittier","13","48","2","31","0"
"10-150 Dimond","168","288","4","176","1"
"10-155 Oceanview No. 1","204","420","4","298","1"
"10-160 Oceanview No. 2","148","316","6","231","2"
"10-165 Oceanview No. 3","207","436","3","259","2"
"10-170 Oceanview No. 4","162","389","2","248","0"
"10-175 Oceanview No. 5","130","283","5","202","0"
"11-205 Hillside No. 1","127","242","1","130","0"
"11-210 Hillside No. 2","265","483","1","281","3"
"11-215 Hillside No. 3","125","327","0","162","1"
"11-220 Hillside No. 4","112","376","1","170","0"
"11-225 Hillside No. 5","128","320","2","243","1"
"11-230 Hillside No. 6","199","407","0","250","0"
"11-235 Hillside No. 7","142","272","0","179","0"
"12-250 Southeast Anchorage No. 1","213","302","7","212","1"
"12-255 Southeast Anchorage No. 2","115","227","1","151","0"
"12-260 Southeast Anchorage No. 3","182","278","7","208","0"
"12-265 Southeast Anchorage No. 4","183","315","2","213","2"
"12-270 Southeast Anchorage No. 5","241","382","6","260","0"
"12-275 Southeast Anchorage No. 6","221","295","1","306","1"
"13-305 South Midtown No. 1","47","94","1","46","0"
"13-310 South Midtown No. 2","224","426","5","281","2"
"13-315 South Midtown No. 3","268","417","7","291","2"
"13-320 South Midtown No. 4","225","334","11","219","2"
"13-325 South Midtown No. 5","229","307","16","286","1"
"14-350 North Midtown No. 1","83","91","2","117","0"
"14-355 North Midtown No. 2","105","125","0","134","1"
"14-360 North Midtown No. 3","73","126","1","92","0"
"14-365 North Midtown No. 4","122","137","1","123","0"
"14-370 North Midtown No. 5","166","304","9","246","3"
"14-375 North Midtown No. 6","135","163","4","157","1"
"14-380 North Midtown No. 7","225","254","0","420","1"
"15-405 Southwest Anchorage No. 1","119","282","0","194","1"
"15-410 Southwest Anchorage No. 2","163","366","0","197","0"
"15-415 Southwest Anchorage No. 3","187","455","2","266","1"
"15-420 Southwest Anchorage No. 4","179","292","4","180","0"
"15-425 Southwest Anchorage No. 5","210","311","0","248","1"
"15-430 Southwest Anchorage No. 6","253","525","1","365","1"
"16-450 West Anchorage No. 1","181","169","1","305","0"
"16-455 West Anchorage No. 2","190","237","5","255","0"
"16-460 West Anchorage No. 3","271","337","4","358","1"
"16-465 West Anchorage No. 4","113","195","4","170","3"
"16-470 West Anchorage No. 5","207","353","7","296","1"
"16-475 West Anchorage No. 6","198","295","2","235","1"
"16-480 West Anchorage No. 7","170","188","4","175","0"
"17-505 Downtown Anchorage No. 1","112","102","11","147","0"
"17-510 Downtown Anchorage No. 2","149","129","3","255","2"
"17-515 Downtown Anchorage No. 3","98","108","2","155","0"
"17-520 Downtown Anchorage No. 4","188","166","9","249","3"
"17-525 Downtown Anchorage No. 5","128","123","5","166","1"
"17-530 Downtown Anchorage No. 6","76","84","6","131","0"
"17-535 Downtown Anchorage No. 7","114","130","10","139","3"
"18-550 Government Hill","100","111","4","128","0"
"18-555 JBER","124","259","1","99","0"
"18-560 North Muldoon","91","110","1","93","1"
"18-565 Ship Creek","24","24","1","38","0"
"19-605 Airport Heights No. 1","184","207","3","336","3"
"19-610 Airport Heights No. 2","168","253","2","193","0"
"19-615 Mountainview No. 1","67","112","3","121","1"
"19-620 Mountainview No. 2","65","106","0","75","1"
"19-625 South Mountainview","90","172","2","104","1"
"20-650 University No. 1","55","75","1","82","2"
"20-655 University No. 2","225","248","4","225","0"
"20-660 University No. 3","258","281","5","259","1"
"20-665 University No. 4","120","115","2","127","1"
"20-670 University No. 5","326","489","9","407","2"
"21-705 East Anchorage No. 1","220","263","7","253","6"
"21-710 East Anchorage No. 2","203","376","7","199","1"
"21-715 East Anchorage No. 3","276","437","12","288","5"
"21-720 East Anchorage No. 4","213","332","11","282","3"
"21-725 East Anchorage No. 5","284","459","13","393","2"
"22-750 Northeast Anchorage No. 1","180","317","5","202","0"
"22-755 Northeast Anchorage No. 2","150","307","3","186","3"
"22-760 Northeast Anchorage No. 3","192","346","4","258","1"
"22-765 Northeast Anchorage No. 4","131","207","1","135","0"
"23-805 Chugach Park No. 1","264","626","1","354","2"
"23-810 Eagle River No. 1","151","436","1","188","0"
"23-815 Eagle River No. 2","167","394","5","166","0"
"23-820 Hiland","135","396","1","166","0"
"23-825 Meadow Creek No. 1","187","456","0","224","2"
"23-830 Meadow Creek No. 2","103","294","1","119","1"
"24-850 Chugach Park No. 2","153","427","6","228","2"
"24-855 Chugiak","68","198","0","103","1"
"24-860 Eagle River No. 3","142","308","5","156","0"
"24-865 Eklutna","160","410","5","195","1"
"24-870 Fire Lake","177","461","4","193","1"
"24-875 Peters Creek No. 1","172","649","3","261","2"
"24-880 Peters Creek No. 2","122","325","2","142","2"
"25-305 Butte","207","779","4","226","2"
"25-310 Greater Palmer","110","345","2","126","0"
"25-315 Lazy Mountain","138","462","5","171","1"
"25-320 Palmer City No. 1","139","313","6","164","0"
"25-325 Palmer City No. 2","118","281","5","99","3"
"25-330 Springer Loop","137","454","1","159","0"
"25-335 Walby","139","482","4","98","1"
"26-350 Fairview No. 1","49","387","1","79","0"
"26-355 Fairview No. 2","45","244","1","75","1"
"26-360 Knik Goose Bay No. 1","134","750","3","150","3"
"26-365 Knik Goose Bay No. 2","83","487","2","109","0"
"26-370 Knik Goose Bay No. 3","43","310","2","58","0"
"26-375 Mat-Su Campus","106","410","1","126","0"
"26-380 Snowshoe","134","693","8","148","4"
"27-405 Foothills","85","459","2","94","1"
"27-410 Meadow Lakes No. 1","102","725","5","141","1"
"27-415 Meadow Lakes No. 2","84","563","2","104","2"
"27-420 Wasilla No. 1","112","478","4","123","1"
"27-425 Wasilla No. 2","119","707","3","154","2"
"28-450 Lakes No. 1","83","359","6","105","2"
"28-455 Lakes No. 2","67","288","2","81","0"
"28-460 Seldon No. 1","118","507","7","135","3"
"28-465 Seldon No. 2","200","622","11","191","4"
"28-470 Seward Meridian","63","278","4","79","0"
"28-475 Trunk","126","471","4","154","1"
"28-480 Wasilla Lake","56","241","7","80","0"
"29-505 Farm Loop","153","672","7","168","6"
"29-510 Fishhook","214","834","11","243","1"
"29-515 Kings Lake","133","621","6","130","0"
"29-520 Lakes No. 3","58","242","2","77","0"
"29-525 Sheep Mountain","12","85","2","29","0"
"29-530 Sutton","75","271","4","118","0"
"29-535 Valdez No. 1","88","196","2","130","1"
"29-540 Valdez No. 2","53","111","2","66","0"
"29-545 Valdez No. 3","72","175","10","96","0"
"30-550 Anderson/Clear","19","85","2","16","0"
"30-555 Big Lake","145","805","5","162","5"
"30-560 Cantwell","18","35","0","34","0"
"30-565 Denali Park","29","11","0","39","0"
"30-570 East Schrock","9","66","1","20","0"
"30-575 Healy","82","164","2","86","0"
"30-580 Houston","82","394","8","80","1"
"30-585 Knik Goose Bay No. 4","117","722","2","129","4"
"30-590 Trapper Creek","16","119","0","26","0"
"30-595 Susitna","86","296","4","88","1"
"30-600 Talkeetna","105","106","2","107","0"
"30-605 Willow","142","622","6","169","2"
"31-446 Aurora","230","407","3","214","1"
"31-455 Fairbanks No. 1","252","401","4","254","1"
"31-480 Fairbanks No. 2","217","391","6","257","3"
"31-485 Fairbanks No. 3","205","339","1","181","5"
"32-355 Fairbanks No. 4","179","289","6","192","2"
"32-365 Fairbanks No. 5","142","250","4","156","0"
"32-375 Fort Wainwright","49","61","0","22","0"
"32-385 Badger No. 2","193","613","7","187","1"
"33-130 Badger No. 1","204","612","5","146","2"
"33-135 Chena Lakes","152","654","6","138","2"
"33-155 Moose Creek","12","86","3","15","0"
"33-165 Newby","187","772","6","173","2"
"33-175 North Pole","100","347","3","83","1"
"33-183 Plack","127","679","5","144","1"
"34-235 Eielson","40","116","2","24","0"
"34-238 Eielson Farm Road","9","31","0","18","0"
"34-240 Farmers Loop","254","318","3","304","0"
"34-260 Salcha","61","303","0","66","0"
"34-263 Steele Creek","240","548","6","210","2"
"34-265 Steese","232","537","1","266","2"
"34-270 Summit","199","412","3","202","1"
"34-280 Two Rivers","102","262","3","106","1"
"35-580 Airport","63","162","1","66","0"
"35-582 Chena","311","591","2","418","0"
"35-584 Ester","159","191","0","227","1"
"35-586 Geist","135","228","2","172","0"
"35-587 Lakeview","21","73","0","22","0"
"35-592 Shanly","99","156","0","129","1"
"35-595 University Hills","179","167","0","242","0"
"35-596 University West","297","538","1","375","0"
"36-001 Goldstream No. 1","185","226","6","218","0"
"36-002 Goldstream No. 2","232","189","2","275","1"
"36-010 Allakaket","14","4","0","38","0"
"36-014 Anvik","4","9","1","13","0"
"36-018 Arctic Village","10","4","0","18","0"
"36-022 Beaver","10","5","0","9","0"
"36-026 Bettles","3","4","0","9","0"
"36-034 Central","5","27","1","8","0"
"36-038 Chistochina","7","42","0","21","0"
"36-042 Circle","3","4","1","13","1"
"36-046 Copper Center","57","155","5","61","0"
"36-050 Delta Junction","50","197","5","49","0"
"36-054 Deltana","141","695","16","193","4"
"36-058 Dot Lake","0","36","0","5","0"
"36-062 Eagle","1","31","0","12","1"
"36-066 Fort Yukon","33","15","2","79","0"
"36-070 Gakona","14","36","0","29","0"
"36-074 Galena","43","23","0","66","0"
"36-078 Glennallen","29","95","2","22","0"
"36-082 Grayling","8","17","1","23","1"
"36-086 Holy Cross","9","8","0","13","1"
"36-090 Hughes","17","3","2","10","0"
"36-094 Huslia","30","10","0","38","0"
"36-098 Kaltag","6","3","0","38","0"
"36-102 Kenny Lake","25","89","2","37","0"
"36-106 Koyukuk","13","3","1","16","0"
"36-110 Manley","6","31","0","8","0"
"36-114 McGrath","13","40","1","28","0"
"36-118 Mentasta","4","12","0","15","0"
"36-122 Minto","15","11","0","18","1"
"36-126 Nenana","56","132","4","79","0"
"36-130 Nikolai","15","6","0","18","0"
"36-134 Northway","23","12","3","38","0"
"36-138 Nulato","21","4","0","41","1"
"36-142 Ruby","9","4","0","22","0"
"36-146 Shageluk","5","3","0","14","0"
"36-162 Tanana","16","4","0","43","0"
"36-166 Tetlin","11","9","0","4","0"
"36-170 Tok","52","304","1","114","1"
"36-174 Venetie","2","8","1","32","1"
"37-700 Akutan","13","16","2","14","3"
"37-702 Aleknagik","13","13","3","22","0"
"37-704 Aleutians No. 1","4","6","0","10","0"
"37-706 Aleutians No. 2","85","195","15","136","2"
"37-707 Aniak","43","25","3","25","0"
"37-708 Chignik","2","2","0","6","0"
"37-709 Chuathbaluk","7","10","1","2","1"
"37-710 Clark's Point","6","5","0","1","0"
"37-712 Cold Bay","4","9","0","1","0"
"37-713 Crooked Creek","2","5","0","5","0"
"37-714 Dillingham","162","157","12","246","0"
"37-716 Egegik","0","2","0","3","0"
"37-718 Ekwok","12","11","1","10","0"
"37-719 Goodnews Bay","20","18","0","11","0"
"37-720 King Cove","17","60","2","32","1"
"37-722 King Salmon","10","56","1","34","0"
"37-724 Koliganek","13","12","3","28","1"
"37-726 Lake Iliamna No. 1","21","39","3","36","1"
"37-728 Lake Iliamna No. 2","23","16","2","19","0"
"37-730 Levelock","1","0","0","8","0"
"37-731 Lower Kalskag","13","21","1","15","1"
"37-732 Manokotak","17","39","2","22","0"
"37-734 Naknek","29","51","4","48","0"
"37-736 New Stuyahok","40","35","6","67","0"
"37-738 Nondalton","13","7","1","18","1"
"37-740 Pedro Bay","2","2","0","4","0"
"37-742 Port Heiden","6","8","0","9","0"
"37-744 Sand Point","10","57","3","26","1"
"37-746 Sleetmute","8","8","2","8","0"
"37-748 South Naknek","3","3","1","11","1"
"37-752 St. Paul Island","20","14","4","59","0"
"37-754 Togiak","33","52","1","41","1"
"37-756 Tyonek","6","2","1","16","0"
"37-758 Upper Kalskag","12","16","6","15","0"
"38-800 Akiachak","38","21","2","70","0"
"38-802 Akiak","23","23","2","71","0"
"38-806 Atmautluak","18","20","0","8","0"
"38-808 Bethel No. 1","162","134","2","209","1"
"38-810 Bethel No. 2","165","149","1","263","0"
"38-812 Chefornak","28","15","2","49","0"
"38-813 Chevak","52","38","3","49","2"
"38-818 Eek","44","31","0","5","0"
"38-822 Kasigluk","39","19","0","14","1"
"38-824 Kipnuk","28","44","2","49","3"
"38-826 Kongiganak","37","45","0","1","3"
"38-828 Kwethluk","58","32","0","67","1"
"38-830 Kwigillingok","17","16","0","23","0"
"38-836 Mekoryuk","24","17","0","22","1"
"38-838 Napakiak","28","37","1","9","2"
"38-840 Napaskiak","35","40","0","23","1"
"38-842 Newtok","5","13","1","10","0"
"38-844 Nightmute","14","9","2","18","0"
"38-846 Nunapitchuk","27","32","1","51","2"
"38-848 Quinhagak","35","41","2","52","0"
"38-852 Toksook Bay","58","41","0","51","3"
