"1","Bye","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","60","293","6","140","0"
"01-610 Ketchikan No. 2","85","404","14","235","1"
"01-620 Ketchikan No. 3","68","236","14","223","1"
"01-640 North Tongass No. 1","52","142","2","182","0"
"01-650 North Tongass No. 2","99","285","12","346","0"
"01-660 Saxman","9","73","3","29","0"
"01-670 South Tongass","81","294","7","264","3"
"01-675 Coffman Cove","12","26","0","49","0"
"01-680 Metlakatla","43","271","11","82","0"
"01-690 Wrangell","99","267","7","310","2"
"02-700 Angoon","4","107","4","17","0"
"02-705 Craig","41","158","3","131","0"
"02-720 Hoonah","23","155","1","74","0"
"02-725 Hydaburg","0","63","1","5","0"
"02-730 Kake","3","94","1","26","0"
"02-735 Kasaan","5","12","1","10","0"
"02-740 Klawock","28","147","2","104","0"
"02-750 Pelican-Elfin Cove","6","19","0","13","0"
"02-755 Petersburg-Kupreanof","92","417","5","347","0"
"02-760 Port Alexander","0","12","0","3","0"
"02-765 Sitka No. 1","90","699","5","280","2"
"02-770 Sitka No. 2","54","744","8","266","0"
"02-775 Tenakee Springs","5","32","0","7","0"
"02-780 Thorne Bay","30","43","0","87","1"
"02-785 Yakutat","11","132","2","35","0"
"03-300 Auke Bay","44","370","1","129","0"
"03-305 Lynn Canal","53","309","0","111","1"
"03-310 Melvin Park","58","341","2","149","1"
"03-315 Mendenhall Glacier","110","558","1","265","0"
"03-320 Thunder Mountain","67","490","0","295","0"
"03-325 Gustavus","17","137","0","35","0"
"03-330 Haines No. 1","57","405","3","203","1"
"03-335 Haines No. 2","13","58","1","43","0"
"03-340 Klukwan","2","40","0","3","0"
"03-345 Skagway","22","279","0","49","0"
"04-100 Douglas","24","476","4","67","0"
"04-105 Juneau Airport Area","32","160","5","94","2"
"04-110 Juneau No. 1","35","403","5","84","0"
"04-115 Juneau No. 2","27","500","3","36","0"
"04-120 Juneau No. 3","21","230","2","44","2"
"04-125 Lemon Creek","43","333","5","105","2"
"04-130 Glacier Valley Area","54","252","2","107","1"
"04-135 North Douglas","29","394","1","66","0"
"05-800 Chiniak","2","22","0","14","0"
"05-810 Flats","83","197","8","139","1"
"05-815 Kodiak Island South","1","8","0","8","0"
"05-820 Kodiak No. 1","61","281","7","161","0"
"05-825 Kodiak No. 2","58","242","14","180","1"
