"1","Palin","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","180","280","6","33","0"
"01-610 Ketchikan No. 2","250","388","14","86","1"
"01-620 Ketchikan No. 3","223","226","14","78","1"
"01-640 North Tongass No. 1","192","140","2","44","0"
"01-650 North Tongass No. 2","365","273","12","92","0"
"01-660 Saxman","22","73","3","16","0"
"01-670 South Tongass","292","278","7","69","3"
"01-675 Coffman Cove","60","20","0","7","0"
"01-680 Metlakatla","73","272","11","51","0"
"01-690 Wrangell","369","244","7","63","2"
"02-700 Angoon","8","107","4","13","0"
"02-705 Craig","145","154","3","31","0"
"02-720 Hoonah","86","146","1","20","0"
"02-725 Hydaburg","6","61","1","1","0"
"02-730 Kake","24","86","1","13","0"
"02-735 Kasaan","12","11","1","4","0"
"02-740 Klawock","127","132","2","20","0"
"02-750 Pelican-Elfin Cove","14","20","0","4","0"
"02-755 Petersburg-Kupreanof","397","398","5","61","0"
"02-760 Port Alexander","3","12","0","0","0"
"02-765 Sitka No. 1","347","676","5","47","1"
"02-770 Sitka No. 2","297","717","8","50","0"
"02-775 Tenakee Springs","6","34","0","4","0"
"02-780 Thorne Bay","117","36","0","7","1"
"02-785 Yakutat","42","128","2","8","0"
"03-300 Auke Bay","160","353","1","30","0"
"03-305 Lynn Canal","144","303","0","27","0"
"03-310 Melvin Park","186","334","2","29","0"
"03-315 Mendenhall Glacier","341","551","1","41","0"
"03-320 Thunder Mountain","332","459","0","61","0"
"03-325 Gustavus","50","133","0","6","0"
"03-330 Haines No. 1","236","387","3","42","1"
"03-335 Haines No. 2","49","60","1","5","0"
"03-340 Klukwan","5","38","0","2","0"
"03-345 Skagway","66","275","0","9","0"
"04-100 Douglas","75","473","4","19","0"
"04-105 Juneau Airport Area","105","155","5","27","1"
"04-110 Juneau No. 1","106","399","5","17","0"
"04-115 Juneau No. 2","55","499","3","9","0"
"04-120 Juneau No. 3","52","231","2","12","2"
"04-125 Lemon Creek","117","328","5","36","2"
"04-130 Glacier Valley Area","142","239","2","32","1"
"04-135 North Douglas","78","391","1","20","0"
"05-800 Chiniak","15","22","0","1","0"
"05-810 Flats","193","191","8","35","1"
"05-815 Kodiak Island South","7","7","0","3","0"
"05-820 Kodiak No. 1","209","258","7","36","0"
