"1","Begich","Begich","Begich","Begich","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Overvote","Palin","Peltola","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","",""
"01-600 Ketchikan No. 1","29","0","59","19","47","68","0","6","140","109","0","12","6","4","0"
"01-610 Ketchikan No. 2","73","0","85","34","78","76","0","11","182","144","0","28","14","13","1"
"01-620 Ketchikan No. 3","74","0","109","27","38","69","0","7","121","71","0","7","14","4","1"
"01-640 North Tongass No. 1","42","0","72","20","44","70","0","6","54","56","0","10","2","2","0"
"01-650 North Tongass No. 2","91","0","151","30","74","134","0","6","122","108","0","13","12","1","0"
"01-660 Saxman","13","0","2","5","13","7","0","0","45","20","0","3","3","3","0"
"01-670 South Tongass","63","0","133","29","48","104","0","7","148","95","0","6","7","6","3"
"01-675 Coffman Cove","6","0","12","0","27","18","0","3","12","6","0","2","0","1","0"
"01-680 Metlakatla","47","0","24","15","25","22","0","2","149","95","0","13","11","4","0"
"01-690 Wrangell","60","0","101","22","116","140","0","12","119","95","0","8","7","3","2"
"02-700 Angoon","11","0","2","0","3","3","0","0","70","28","0","9","4","2","0"
"02-705 Craig","29","0","40","9","49","53","0","3","83","48","0","14","3","2","0"
"02-720 Hoonah","20","0","23","5","28","29","0","6","102","28","0","11","1","0","0"
"02-725 Hydaburg","1","0","0","1","3","1","0","2","40","16","0","4","1","0","0"
"02-730 Kake","11","0","5","0","11","5","0","3","67","12","0","7","1","2","0"
"02-735 Kasaan","3","0","0","0","8","4","0","0","7","3","0","1","1","1","0"
"02-740 Klawock","20","0","18","6","53","51","0","5","61","52","2","11","2","0","0"
"02-750 Pelican-Elfin Cove","3","0","4","1","9","1","0","0","10","7","0","2","0","1","0"
"02-755 Petersburg-Kupreanof","58","0","100","21","144","141","0","12","217","139","0","21","5","3","0"
"02-760 Port Alexander","0","0","1","0","1","1","0","0","8","3","0","1","0","0","0"
"02-765 Sitka No. 1","42","0","91","38","107","127","1","21","370","225","0","43","5","5","1"
"02-770 Sitka No. 2","48","0","79","23","104","99","0","15","432","220","1","41","8","2","0"
"02-775 Tenakee Springs","3","0","0","0","2","4","0","0","25","8","0","1","0","1","0"
"02-780 Thorne Bay","7","0","24","4","40","47","0","6","13","16","0","3","0","0","1"
"02-785 Yakutat","7","0","18","1","11","11","0","2","63","58","0","6","2","1","0"
"03-300 Auke Bay","30","0","71","18","22","63","0","4","165","158","0","12","1","0","0"
"03-305 Lynn Canal","25","0","66","16","20","57","1","0","154","122","0","11","0","2","0"
"03-310 Melvin Park","25","0","63","28","46","68","1","8","151","136","0","19","2","4","0"
"03-315 Mendenhall Glacier","39","0","121","38","65","145","0","10","250","236","0","27","1","2","0"
"03-320 Thunder Mountain","58","0","126","18","80","114","0","12","246","180","0","15","0","3","0"
"03-325 Gustavus","6","0","9","3","19","20","0","2","91","34","0","5","0","0","0"
"03-330 Haines No. 1","38","0","63","17","56","101","0","16","226","132","0","12","3","4","1"
"03-335 Haines No. 2","4","0","14","5","14","20","0","1","41","13","0","1","1","1","0"
"03-340 Klukwan","2","0","1","2","1","1","0","2","20","14","0","2","0","0","0"
"03-345 Skagway","9","0","30","8","15","16","0","5","152","106","1","8","0","0","0"
"04-100 Douglas","18","0","33","16","19","20","0","3","258","184","0","15","4","1","0"
"04-105 Juneau Airport Area","22","0","46","15","25","30","1","3","84","53","0","3","5","5","1"
"04-110 Juneau No. 1","17","0","40","16","33","31","0","2","204","159","1","19","5","0","0"
"04-115 Juneau No. 2","9","0","25","6","13","13","0","4","293","173","0","27","3","0","0"
"04-120 Juneau No. 3","12","0","25","12","12","14","0","1","121","90","0","8","2","0","2"
"04-125 Lemon Creek","34","0","35","22","31","47","0","4","145","147","0","14","5","2","2"
"04-130 Glacier Valley Area","29","0","58","18","24","55","0","5","102","104","1","14","2","3","1"
"04-135 North Douglas","19","0","32","11","13","27","0","6","205","162","0","13","1","1","0"
"05-800 Chiniak","1","0","1","2","9","4","0","1","16","4","0","0","0","0","0"
"05-810 Flats","30","0","62","4","50","74","0","7","101","75","0","11","8","5","1"
"05-815 Kodiak Island South","3","0","1","2","2","3","0","1","3","2","0","0","0","0","0"
"05-820 Kodiak No. 1","32","0","48","9","63","82","0","16","131","93","0","25","7","4","0"
"05-825 Kodiak No. 2","37","1","64","11","65","74","1","20","118","69","0","15","14","5","1"
"05-830 Mission Road","68","0","186","34","143","224","0","29","244","175","0","44","10","4","0"
"05-835 Old Harbor","1","0","1","0","0","2","0","0","13","8","0","1","1","0","0"
"05-840 Ouzinkie","3","0","2","0","5","0","0","0","29","7","0","3","0","0","0"
"05-845 Port Lions","5","0","7","1","15","4","0","1","8","9","0","0","2","1","0"
"05-860 Cordova","23","0","40","11","38","75","0","16","158","120","0","27","3","4","0"
"05-865 Seward-Lowell Point","34","0","63","13","48","93","0","3","159","120","0","12","10","3","1"
"05-870 Tatitlek","1","0","0","0","0","0","0","0","8","6","0","1","1","0","0"
"06-200 Anchor Point","70","1","237","20","147","202","1","13","113","71","0","19","1","2","0"
"06-210 Diamond Ridge","37","0","101","11","47","49","0","1","140","88","0","7","3","2","0"
"06-220 Fox River","20","0","89","4","29","39","0","2","47","40","0","13","1","2","0"
"06-230 Homer No. 1","39","0","138","11","77","84","0","9","211","135","0","22","5","4","1"
"06-240 Homer No. 2","36","0","144","13","58","93","0","11","183","101","0","13","1","5","0"
"06-250 Kachemak-Fritz Creek","49","0","158","18","44","79","0","9","274","133","0","20","4","2","0"
"06-260 Kasilof","59","0","243","21","188","315","2","18","183","107","0","19","6","10","2"
"06-270 Ninilchik","35","0","112","9","101","129","2","21","83","59","0","19","5","3","2"
"06-280 Seldovia-Kachemak Bay","5","0","25","1","22","25","0","1","59","29","0","3","0","0","0"
"07-005 Central","47","1","158","9","134","223","1","25","93","82","0","26","1","8","1"
"07-010 K Beach","75","1","275","20","148","262","0","16","130","98","0","15","4","4","1"
"07-015 Kenai No. 1","50","0","173","20","116","222","0","19","139","103","0","27","1","2","1"
"07-020 Kenai No. 2","30","0","97","12","72","130","0","6","76","59","0","18","1","0","0"
"07-025 Kenai No. 3","28","0","98","10","54","105","0","11","60","50","0","11","0","1","0"
"07-030 Soldotna","51","0","180","29","125","232","0","24","155","115","0","26","4","4","3"
"08-035 Bear Creek","50","0","101","18","65","112","0","5","139","121","0","10","10","5","0"
"08-040 Cooper Landing","13","0","19","5","9","22","0","0","36","33","0","3","1","0","0"
"08-045 Funny River No. 1","43","0","76","5","63","99","0","5","55","35","0","6","6","2","1"
"08-050 Funny River No. 2","29","0","87","13","49","102","0","5","48","36","0","6","6","4","0"
"08-055 Hope","1","0","7","0","7","4","0","0","21","22","0","1","0","1","0"
"08-060 Mackey Lake","56","0","168","10","92","164","0","9","87","64","0","11","6","3","0"
"08-065 Moose Pass","7","0","15","3","15","24","0","1","44","23","0","5","0","1","0"
"08-070 Nikiski","96","0","213","19","123","223","0","11","72","56","0","13","17","5","2"
"08-075 Salamatof","81","0","238","17","110","268","0","10","64","74","0","17","14","6","1"
"08-080 Sterling No. 1","55","0","184","19","116","215","0","10","72","75","0","14","9","1","1"
"08-085 Sterling No. 2","78","0","206","19","147","248","0","12","83","66","0","10","6","3","0"
"09-105 Girdwood","18","0","54","17","16","32","0","5","310","235","0","19","5","3","0"
"09-110 Indian","8","0","20","0","9","14","0","1","42","22","0","4","3","0","0"
"09-115 South Anchorage No. 1","66","1","248","29","55","186","0","8","241","227","0","30","9","3","0"
"09-120 South Anchorage No. 2","69","0","380","44","52","175","0","8","223","212","0","19","6","4","1"
"09-125 South Anchorage No. 3","66","0","264","40","53","164","0","9","237","214","0","18","9","1","0"
"09-130 South Anchorage No. 4","67","0","293","55","31","164","0","11","250","234","0","23","4","4","0"
"09-135 South Anchorage No. 5","33","0","112","12","26","68","0","2","109","110","0","7","3","1","0"
"09-140 Stuckagain Heights","5","0","38","7","7","9","0","0","39","36","0","9","2","0","0"
"09-145 Whittier","9","0","9","6","16","13","0","2","17","14","0","4","2","2","0"
"10-150 Dimond","15","0","91","26","64","98","0","20","161","128","1","25","4","3","1"
"10-155 Oceanview No. 1","56","0","161","31","70","152","0","21","214","189","0","28","4","0","1"
"10-160 Oceanview No. 2","25","0","155","29","48","101","1","4","185","136","0","10","6","1","2"
"10-165 Oceanview No. 3","40","0","162","34","83","150","1","10","212","176","0","31","3","3","2"
"10-170 Oceanview No. 4","22","0","191","37","46","133","0","10","191","148","0","21","2","0","0"
"10-175 Oceanview No. 5","27","0","121","23","57","84","0","10","163","114","0","16","5","0","0"
"11-205 Hillside No. 1","21","0","71","12","48","90","0","7","111","115","0","20","1","4","0"
"11-210 Hillside No. 2","44","0","197","44","68","172","0","11","223","235","0","32","1","4","2"
"11-215 Hillside No. 3","28","0","159","24","38","102","0","9","118","114","0","21","0","1","1"
"11-220 Hillside No. 4","24","0","150","18","48","142","0","14","122","121","0","17","1","2","0"
"11-225 Hillside No. 5","33","0","151","27","42","106","0","5","178","132","0","15","2","2","1"
"11-230 Hillside No. 6","35","0","235","28","39","112","0","6","170","217","0","13","0","1","0"
"11-235 Hillside No. 7","31","0","132","16","38","92","0","2","137","130","0","15","0","0","0"
"12-250 Southeast Anchorage No. 1","50","0","105","25","45","120","0","13","187","151","0","30","7","1","1"
"12-255 Southeast Anchorage No. 2","34","0","106","15","32","73","0","6","122","90","0","13","1","2","0"
"12-260 Southeast Anchorage No. 3","32","0","115","25","41","89","0","16","168","144","0","33","7","5","0"
"12-265 Southeast Anchorage No. 4","39","0","129","15","39","115","0","8","168","169","0","26","2","3","2"
"12-270 Southeast Anchorage No. 5","50","0","129","37","66","138","1","13","208","210","0","27","6","4","0"
"12-275 Southeast Anchorage No. 6","53","0","153","25","34","85","0","6","201","243","0","21","1","1","1"
"13-305 South Midtown No. 1","6","0","43","3","10","29","0","2","42","39","0","12","1","1","0"
"13-310 South Midtown No. 2","56","0","170","33","63","158","0","18","227","171","1","29","5","6","1"
"13-315 South Midtown No. 3","56","0","162","41","67","163","0","13","238","211","0","19","7","6","2"
"13-320 South Midtown No. 4","44","0","123","19","73","117","0","12","179","177","1","32","11","2","1"
"13-325 South Midtown No. 5","46","0","123","18","46","110","1","13","232","195","2","35","16","2","0"
"14-350 North Midtown No. 1","14","0","27","11","25","26","1","2","102","71","0","12","2","0","0"
"14-355 North Midtown No. 2","16","0","41","12","26","38","0","8","118","89","0","14","0","2","1"
"14-360 North Midtown No. 3","20","0","28","10","27","38","0","14","77","58","1","16","1","2","0"
"14-365 North Midtown No. 4","15","0","27","7","40","38","1","5","112","108","0","29","1","0","0"
"14-370 North Midtown No. 5","15","1","87","14","69","106","0","20","214","152","0","39","9","0","2"
"14-375 North Midtown No. 6","18","0","70","12","27","50","0","10","144","114","0","9","4","2","0"
"14-380 North Midtown No. 7","51","0","120","28","36","65","1","7","317","233","0","41","0","0","1"
"15-405 Southwest Anchorage No. 1","36","0","149","19","27","79","0","10","139","113","0","23","0","0","1"
"15-410 Southwest Anchorage No. 2","32","0","157","24","49","120","0","11","144","166","0","21","0","2","0"
"15-415 Southwest Anchorage No. 3","39","0","172","32","57","155","1","24","200","195","0","31","2","2","1"
"15-420 Southwest Anchorage No. 4","18","0","84","19","52","116","0","18","149","167","0","25","4","3","0"
"15-425 Southwest Anchorage No. 5","33","0","154","27","39","99","0","10","197","177","1","31","0","2","0"
"15-430 Southwest Anchorage No. 6","46","0","259","50","54","162","0","22","255","260","1","31","1","4","0"
"16-450 West Anchorage No. 1","19","0","86","24","17","32","0","1","254","189","0","32","1","1","0"
"16-455 West Anchorage No. 2","32","0","87","26","33","71","0","6","199","177","0","46","5","5","0"
"16-460 West Anchorage No. 3","31","0","128","40","53","120","1","11","302","253","0","25","4","2","1"
"16-465 West Anchorage No. 4","32","0","74","20","36","67","0","3","113","111","0","22","4","0","3"
"16-470 West Anchorage No. 5","61","0","159","35","51","116","0","9","220","177","0","24","7","4","1"
"16-475 West Anchorage No. 6","44","0","145","25","26","104","1","9","170","188","0","14","2","2","1"
"16-480 West Anchorage No. 7","27","0","90","19","29","50","0","7","149","142","0","20","4","0","0"
"17-505 Downtown Anchorage No. 1","17","0","55","15","14","24","0","2","116","102","0","11","11","5","0"
"17-510 Downtown Anchorage No. 2","20","0","64","9","18","30","0","3","222","139","1","24","3","4","1"
"17-515 Downtown Anchorage No. 3","11","0","56","17","11","28","0","4","116","101","0","15","2","2","0"
"17-520 Downtown Anchorage No. 4","25","0","66","18","22","62","0","3","228","148","1","27","9","4","2"
"17-525 Downtown Anchorage No. 5","18","1","57","10","15","40","0","1","137","113","0","23","5","2","1"
"17-530 Downtown Anchorage No. 6","14","0","22","5","25","21","0","3","121","62","0","17","6","1","0"
"17-535 Downtown Anchorage No. 7","13","1","50","10","23","36","0","9","142","81","0","16","10","3","2"
"18-550 Government Hill","11","0","45","7","24","31","0","2","124","78","0","16","4","1","0"
"18-555 JBER","19","0","97","19","35","106","0","11","93","82","0","20","1","0","0"
