"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","",""
"3","","","Overvote","Palin","Peltola","","","Bye","Overvote","Peltola","","Bye","Overvote","Palin","","","Overvote","Palin","Peltola","","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","","Bye","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Bye","Overvote","","","Bye","Overvote","Palin","","Begich","Overvote","Palin","","","Begich","Bye","Overvote","",""
"House District 1","601","45","0","91","50","1","577","204","0","68","94","73","1","36","50","20","0","29","22","0","6","9","0","4","10","5","0","5","738","636","222","0","62","15","48","0","10","1","25","26","19","0","1371","396","372","0","75","208","392","0","50","1","33","48","25","0","102","12"
"House District 10","247","29","0","54","33","0","817","272","0","72","97","70","0","38","10","8","0","17","11","0","4","20","0","2","6","9","0","3","509","695","195","1","88","38","29","0","16","3","30","33","23","0","1563","542","409","0","80","331","513","2","78","0","36","50","27","0","33","10"
"House District 11","303","29","0","67","33","2","1153","295","0","112","106","76","1","46","17","13","0","23","8","0","6","8","0","3","10","7","1","1","431","815","244","0","90","16","34","0","10","0","19","35","12","0","1623","688","532","1","150","364","573","0","74","2","52","55","33","1","10","6"
"House District 12","331","28","0","52","38","0","681","224","0","54","67","52","0","48","19","7","0","27","9","0","1","6","0","3","6","15","0","2","336","546","166","2","63","19","40","0","5","1","18","37","13","1","1478","515","554","0","73","376","591","0","87","0","48","53","39","0","36","7"
"House District 13","263","26","0","57","30","0","561","170","0","65","56","42","0","38","23","16","0","30","9","0","4","11","0","6","8","7","0","2","368","495","184","1","63","12","36","0","10","3","14","24","11","0","1241","368","407","1","65","294","511","1","60","3","37","44","41","0","63","9"
"House District 14","221","24","0","38","14","2","367","149","0","51","60","43","0","29","14","0","0","19","12","0","3","7","0","3","12","19","0","6","360","354","148","0","59","14","31","2","19","1","17","37","21","0","1744","490","406","1","83","367","587","2","105","3","52","74","42","1","33","9"
"House District 15","286","25","0","71","31","0","971","273","1","86","97","63","0","63","21","6","0","18","17","0","12","14","0","3","8","11","0","5","399","676","231","0","83","16","41","0","8","1","37","53","15","0","1613","606","516","0","138","332","589","3","90","3","45","79","36","0","14","3"
"House District 16","332","32","0","61","35","0","667","248","0","87","100","99","0","39","18","5","0","24","10","0","2","10","1","1","12","20","0","1","324","533","163","2","61","13","39","0","8","1","11","34","12","0","2151","730","645","1","104","404","706","0","93","1","58","61","61","0","40","8"
