"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","",""
"3","","","Overvote","Palin","Peltola","","","Bye","Overvote","Peltola","","Bye","Overvote","Palin","","","Overvote","Palin","Peltola","","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","","Bye","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Bye","Overvote","","","Bye","Overvote","Palin","","Begich","Overvote","Palin","","","Begich","Bye","Overvote","",""
"01-600 Ketchikan No. 1","24","4","0","8","4","0","31","10","0","9","5","3","0","5","4","1","0","1","2","0","0","0","0","0","1","1","0","0","47","38","18","0","7","0","5","0","1","0","2","2","1","0","114","26","33","0","4","25","45","0","8","0","1","3","0","0","6","0"
"01-610 Ketchikan No. 2","64","5","0","13","3","0","49","14","0","6","9","15","0","5","13","4","0","3","2","0","0","2","0","0","1","1","0","1","77","45","21","0","7","1","1","0","0","0","5","2","4","0","152","37","47","0","6","29","53","0","7","0","7","12","1","0","14","1"
"01-620 Ketchikan No. 3","68","4","0","9","4","0","70","24","0","6","10","8","0","4","4","2","0","0","1","0","0","0","0","0","2","1","0","1","37","48","10","0","7","1","4","0","1","0","2","3","1","0","107","27","14","0","5","12","24","0","1","0","2","3","0","0","14","1"
"01-640 North Tongass No. 1","38","3","0","6","6","0","48","13","0","4","5","4","0","3","2","1","0","1","2","0","0","0","0","1","0","0","0","0","41","55","10","0","2","3","3","0","1","0","0","1","3","0","44","30","11","0","2","10","13","0","1","0","5","2","2","0","2","0"
"01-650 North Tongass No. 2","83","4","0","7","2","0","97","36","0","6","13","7","0","6","1","4","0","5","2","0","0","2","0","0","1","0","0","0","72","94","28","0","5","2","5","0","0","0","1","2","3","0","110","46","27","0","5","11","30","0","2","0","4","3","4","0","12","0"
"01-660 Saxman","13","0","0","0","3","0","1","0","0","1","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","12","3","2","0","2","1","0","0","0","0","0","0","0","0","43","4","8","0","1","2","7","0","1","0","0","0","2","0","3","0"
"01-670 South Tongass","60","2","0","4","7","0","86","27","0","15","9","8","0","4","6","1","0","1","1","0","1","1","0","2","0","0","0","0","47","71","21","0","5","0","6","0","1","0","3","1","0","0","132","35","28","0","2","16","30","0","2","0","1","2","1","0","7","3"
"01-675 Coffman Cove","6","0","0","1","0","0","8","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","26","9","4","0","2","0","2","0","0","0","3","0","0","0","10","1","2","0","0","2","3","0","0","0","0","2","0","0","0","0"
