"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola",""
"3","","","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Bye","Bye","Bye","Palin","Palin","Palin","Peltola","Peltola","Peltola","","","Overvote","Palin","Palin","Palin","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Palin","Palin","Palin","Peltola","Peltola","Peltola","","","","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Write-in","Write-in","","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","","","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Bye","Bye","Bye","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Bye","Bye","Bye","Palin","Palin","Palin",""
"4","","","","","Overvote","Peltola","Write-in","","Palin","Write-in","","Palin","Peltola","","","","Overvote","Peltola","Write-in","","","Bye","Overvote","Write-in","","Bye","Peltola","","","Overvote","Palin","Write-in","","","Bye","Overvote","Write-in","","Bye","Palin","","","Palin","Peltola","","Bye","Peltola","","Bye","Palin","","","","","Peltola","Write-in","","Palin","Write-in","","Palin","Peltola","","","","Peltola","Write-in","","","Begich","Write-in","","Begich","Peltola","","","Palin","Write-in","","Begich","Write-in","","Begich","Palin","","","Palin","Peltola","","Begich","Peltola","","Begich","Palin","","","","","Overvote","Peltola","Write-in","","","Bye","Write-in","","Bye","Overvote","Peltola","","","Peltola","Write-in","","","Begich","Overvote","Write-in","","Begich","Peltola","","","","Bye","Write-in","","Begich","Write-in","","","Bye","","","Bye","Peltola","","Begich","Peltola","","","Begich","Bye","","","","Overvote","Palin","Write-in","","","Bye","Overvote","Write-in","","Bye","Palin","","","Overvote","Palin","Write-in","","","Begich","Overvote","Write-in","","Begich","Overvote","Palin","","","","Bye","Overvote","Write-in","","Begich","Overvote","Write-in","","","Begich","Bye","","","Bye","Overvote","Palin","","Begich","Palin","","","Begich","Bye","","","","Palin","Peltola","","","Bye","Peltola","","Bye","Palin","","","Palin","Peltola","","Begich","Peltola","","Begich","Overvote","Palin","","","Bye","Peltola","","Begich","Peltola","","Begich","Bye","","","Bye","Palin","","Begich","Palin","","Begich","Bye",""
"House District 1","590","40","0","47","0","37","1","10","38","1","1","3","1","1","575","111","0","88","3","0","33","34","0","0","2","1","1","94","22","0","51","0","1","16","20","0","0","0","0","0","7","0","1","0","0","1","0","0","0","0","45","19","0","17","10","1","7","13","1","0","0","0","0","6","5","4","0","0","2","2","0","0","0","0","10","2","2","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","735","632","119","1","98","4","0","30","30","0","4","0","0","2","15","23","21","2","0","1","9","0","0","0","2","0","1","25","7","19","0","2","17","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1364","392","125","0","239","7","0","27","47","0","0","3","0","1","207","119","0","258","12","0","8","40","0","0","1","2","0","1","1","33","17","30","0","0","7","18","0","0","0","0","0","0","7","0","1","0","0","0","1","0","0","0","1","0","22","4","4","2","0","0","0","0","0","0","0","0","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","80"
"House District 10","247","27","0","31","0","20","3","13","20","0","1","0","0","0","810","170","0","89","8","0","23","48","0","0","6","3","1","97","26","0","40","3","0","13","25","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","8","8","0","11","3","2","3","6","0","0","0","1","0","3","12","8","0","0","1","1","0","0","0","0","6","3","5","1","1","2","0","0","0","0","1","0","1","1","1","0","0","0","0","0","10","487","679","110","0","74","9","1","29","57","0","13","2","0","1","36","9","17","2","0","8","6","0","0","1","0","0","3","29","9","23","0","12","8","2","0","0","1","11","3","0","0","0","1","1","0","1","1","0","1537","537","142","0","248","11","0","19","58","0","0","2","3","0","318","169","0","314","14","2","10","62","0","1","6","5","0","3","0","35","11","38","0","0","5","22","0","0","0","1","0","0","25","3","5","0","3","7","11","2","0","0","1","0","3","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","11","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","30"
"House District 11","301","27","0","43","0","20","3","11","21","1","2","0","0","2","1141","191","0","89","11","0","46","64","0","0","10","4","1","103","22","0","52","2","1","22","22","0","0","3","0","2","2","0","1","0","2","0","1","0","0","0","16","13","0","15","7","1","3","5","0","0","0","0","0","6","6","2","0","0","1","1","0","0","0","1","10","2","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","426","807","121","0","107","3","0","31","56","2","7","13","0","1","15","13","19","2","0","3","7","0","0","1","0","0","0","19","12","23","0","1","11","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","1600","676","199","1","314","12","1","52","91","0","1","3","3","0","351","195","0","329","14","0","9","60","0","1","6","18","0","3","2","50","20","32","0","1","10","22","0","1","1","0","0","0","23","9","3","0","6","7","17","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9"
"House District 12","314","27","0","29","0","21","2","15","19","1","0","0","0","0","668","124","0","88","10","0","17","33","0","0","12","1","1","67","14","1","36","0","0","16","31","0","0","0","0","1","11","1","0","2","1","1","1","0","0","0","18","7","0","12","15","0","2","6","1","0","0","0","0","1","2","3","1","0","1","2","0","0","0","0","5","4","8","1","0","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","7","334","536","63","0","91","10","2","18","44","1","7","2","0","0","19","13","24","1","0","1","4","0","0","0","1","0","1","18","11","25","0","0","13","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1451","504","200","0","324","16","0","23","49","0","0","6","4","1","363","199","1","354","14","0","16","67","0","0","10","8","0","0","0","48","13","36","0","1","8","31","0","0","0","0","1","0","24","5","6","0","0","3","14","3","0","0","2","0","7","6","0","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","1","0","3","0","4","0","0","1","1","0","0","0","29"
"House District 13","255","24","0","28","0","26","1","5","21","3","1","0","0","0","557","83","0","70","8","0","18","43","0","1","4","7","1","56","12","0","29","1","0","15","22","0","1","0","0","0","1","0","0","0","0","2","2","0","0","0","20","15","0","14","13","0","4","5","0","0","0","0","0","4","7","4","0","0","1","4","0","0","0","1","7","2","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9","365","483","100","1","74","4","1","21","41","0","9","2","0","1","12","22","14","0","0","4","6","0","0","0","0","0","3","14","6","17","0","0","11","0","0","0","0","3","1","3","0","0","0","0","0","0","1","0","1223","359","134","0","255","11","1","25","39","0","1","6","0","0","287","152","1","320","12","1","10","47","0","0","4","14","0","2","3","36","8","36","0","0","9","30","0","0","0","0","0","0","16","3","7","0","0","3","11","1","0","1","0","1","16","7","1","2","1","0","0","0","0","0","0","0","3","1","3","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","1","47"
"House District 14","221","23","0","21","0","15","0","4","10","0","1","0","0","2","365","95","0","46","7","0","17","34","0","0","2","1","0","57","16","0","23","3","0","7","20","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","12","0","0","11","8","0","2","10","0","0","0","0","0","3","6","1","0","0","0","3","0","0","0","0","12","4","15","0","1","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","349","349","73","0","67","5","0","16","41","1","4","2","0","0","11","14","14","2","2","8","8","1","0","1","0","0","1","17","14","23","0","3","17","1","0","0","0","9","1","1","1","1","1","1","0","0","0","0","1707","479","134","0","245","12","1","28","53","0","0","5","6","0","348","170","1","373","16","2","25","74","0","0","13","14","0","3","3","50","20","53","0","1","9","29","0","4","1","0","0","0","37","6","9","0","1","6","12","3","0","2","0","0","4","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","29"
"House District 15","284","25","0","39","0","27","2","9","20","0","0","3","0","0","955","177","0","79","12","1","35","50","0","0","14","4","1","96","31","0","32","0","0","28","35","0","0","1","0","0","2","0","0","0","1","1","0","0","0","0","20","6","0","12","6","0","5","12","0","0","0","0","0","11","13","1","0","0","0","3","0","1","0","0","8","2","9","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","396","665","122","0","96","9","0","18","64","1","11","4","0","0","16","18","20","2","0","1","7","0","0","0","0","0","1","37","17","36","0","2","12","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1583","602","185","0","315","12","0","51","83","0","1","2","4","0","318","173","0","368","20","3","18","66","0","1","7","12","0","1","3","43","21","58","0","0","4","29","0","0","0","0","0","2","30","2","0","0","3","7","16","4","0","1","0","1","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12"
