"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola",""
"3","","","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Bye","Bye","Bye","Palin","Palin","Palin","Peltola","Peltola","Peltola","","","Overvote","Palin","Palin","Palin","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Palin","Palin","Palin","Peltola","Peltola","Peltola","","","","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Write-in","Write-in","","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","","","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Bye","Bye","Bye","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Bye","Bye","Bye","Palin","Palin","Palin",""
"4","","","","","Overvote","Peltola","Write-in","","Palin","Write-in","","Palin","Peltola","","","","Overvote","Peltola","Write-in","","","Bye","Overvote","Write-in","","Bye","Peltola","","","Overvote","Palin","Write-in","","","Bye","Overvote","Write-in","","Bye","Palin","","","Palin","Peltola","","Bye","Peltola","","Bye","Palin","","","","","Peltola","Write-in","","Palin","Write-in","","Palin","Peltola","","","","Peltola","Write-in","","","Begich","Write-in","","Begich","Peltola","","","Palin","Write-in","","Begich","Write-in","","Begich","Palin","","","Palin","Peltola","","Begich","Peltola","","Begich","Palin","","","","","Overvote","Peltola","Write-in","","","Bye","Write-in","","Bye","Overvote","Peltola","","","Peltola","Write-in","","","Begich","Overvote","Write-in","","Begich","Peltola","","","","Bye","Write-in","","Begich","Write-in","","","Bye","","","Bye","Peltola","","Begich","Peltola","","","Begich","Bye","","","","Overvote","Palin","Write-in","","","Bye","Overvote","Write-in","","Bye","Palin","","","Overvote","Palin","Write-in","","","Begich","Overvote","Write-in","","Begich","Overvote","Palin","","","","Bye","Overvote","Write-in","","Begich","Overvote","Write-in","","","Begich","Bye","","","Bye","Overvote","Palin","","Begich","Palin","","","Begich","Bye","","","","Palin","Peltola","","","Bye","Peltola","","Bye","Palin","","","Palin","Peltola","","Begich","Peltola","","Begich","Overvote","Palin","","","Bye","Peltola","","Begich","Peltola","","Begich","Bye","","","Bye","Palin","","Begich","Palin","","Begich","Bye",""
"01-600 Ketchikan No. 1","24","4","0","6","0","2","0","1","3","0","0","0","0","0","31","6","0","4","0","0","2","7","0","0","0","0","0","5","0","0","3","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","38","3","0","15","0","0","4","3","0","0","0","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","26","15","0","15","2","0","0","4","0","0","0","0","0","25","11","0","34","0","0","1","7","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"01-610 Ketchikan No. 2","64","5","0","6","0","7","0","1","2","0","0","0","0","0","48","6","0","7","1","0","3","3","0","0","1","0","0","9","6","0","9","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","4","0","1","2","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","77","45","15","0","5","1","0","4","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152","37","12","0","34","1","0","2","4","0","0","0","0","0","29","15","0","35","1","0","2","4","0","0","0","1","0","1","0","7","3","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"01-620 Ketchikan No. 3","68","4","0","5","0","3","0","1","3","0","0","0","0","0","70","15","0","9","0","0","2","4","0","0","0","0","0","10","4","0","4","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","37","47","7","0","3","0","0","4","3","0","1","0","0","0","1","4","0","0","0","0","1","0","0","0","0","0","0","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","26","2","0","12","0","0","0","5","0","0","1","0","0","12","4","0","20","0","0","0","1","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"01-640 North Tongass No. 1","38","3","0","3","0","2","1","0","6","0","0","0","0","0","48","5","0","8","0","0","4","0","0","0","0","0","0","5","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","55","8","0","2","0","0","1","1","0","0","0","0","0","3","2","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","29","3","0","8","0","0","1","1","0","0","0","0","0","10","4","0","8","1","0","1","0","0","0","0","0","0","0","0","5","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2"
"01-650 North Tongass No. 2","83","4","0","5","0","1","0","0","2","0","0","0","0","0","97","25","0","11","0","0","5","1","0","0","0","0","0","13","2","0","5","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","3","2","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","94","16","0","12","0","0","2","3","0","0","0","0","0","2","1","3","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","109","46","9","0","16","2","0","4","1","0","0","0","0","0","11","16","0","14","0","0","0","2","0","0","0","0","0","0","0","4","2","1","0","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"01-660 Saxman","13","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","3","0","0","2","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","4","3","0","5","0","0","0","1","0","0","0","0","0","2","1","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"01-670 South Tongass","60","2","0","2","0","2","0","3","4","0","0","0","0","0","86","9","0","16","1","0","8","7","0","0","0","1","0","9","0","0","8","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","47","71","13","0","8","0","0","4","1","0","0","0","0","0","0","3","3","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","132","35","11","0","16","1","0","0","2","0","0","0","0","0","16","12","0","17","1","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
