"1","Overvote","Begich","Palin","Exhausted","Blank"
"01-600 Ketchikan No. 1","0","231","102","54","14"
"01-610 Ketchikan No. 2","0","308","132","53","11"
"01-620 Ketchikan No. 3","0","255","118","28","2"
"01-640 North Tongass No. 1","0","152","112","21","8"
"01-650 North Tongass No. 2","2","311","218","44","16"
"01-660 Saxman","0","39","23","7","6"
"01-670 South Tongass","0","263","156","33","4"
"01-675 Coffman Cove","0","31","39","5","1"
"01-680 Metlakatla","1","76","29","31","5"
"01-690 Wrangell","0","214","252","43","7"
"02-700 Angoon","1","57","13","11","1"
"02-705 Craig","0","112","78","32","2"
"02-720 Hoonah","0","76","66","23","2"
"02-725 Hydaburg","1","20","8","9","3"
"02-730 Kake","0","58","23","8","1"
"02-735 Kasaan","0","4","9","4","1"
"02-740 Klawock","0","64","106","27","1"
"02-750 Pelican-Elfin Cove","0","13","9","1","0"
"02-755 Petersburg-Kupreanof","1","354","268","90","12"
"02-760 Port Alexander","0","10","2","5","0"
"02-765 Sitka No. 1","0","405","255","148","8"
"02-770 Sitka No. 2","1","488","220","185","17"
"02-775 Tenakee Springs","1","25","8","20","0"
"02-780 Thorne Bay","0","25","88","5","2"
"02-785 Yakutat","0","82","31","22","2"
"03-300 Auke Bay","1","370","132","97","8"
"03-305 Lynn Canal","0","330","111","138","3"
"03-310 Melvin Park","0","323","99","87","3"
"03-315 Mendenhall Glacier","0","475","261","130","7"
"03-320 Thunder Mountain","0","448","201","108","6"
"03-325 Gustavus","0","77","44","54","0"
"03-330 Haines No. 1","0","305","152","149","11"
"03-335 Haines No. 2","0","50","27","26","6"
"03-340 Klukwan","0","21","3","13","4"
"03-345 Skagway","0","195","46","94","15"
"04-100 Douglas","0","357","73","151","7"
"04-105 Juneau Airport Area","0","148","81","40","5"
"04-110 Juneau No. 1","2","350","89","125","7"
"04-115 Juneau No. 2","2","389","87","248","10"
"04-120 Juneau No. 3","0","221","36","68","4"
"04-125 Lemon Creek","1","209","92","64","7"
"04-130 Glacier Valley Area","1","219","105","51","6"
"04-135 North Douglas","1","308","78","157","4"
"05-800 Chiniak","0","13","13","8","0"
"05-810 Flats","0","126","95","45","8"
"05-815 Kodiak Island South","0","10","5","0","1"
"05-820 Kodiak No. 1","1","189","131","55","11"
"05-825 Kodiak No. 2","1","151","154","38","10"
"05-830 Mission Road","2","417","337","92","9"
"05-835 Old Harbor","1","14","4","1","0"
"05-840 Ouzinkie","1","29","5","6","0"
"05-845 Port Lions","0","19","19","3","2"
"05-860 Cordova","0","232","144","77","14"
"05-865 Seward-Lowell Point","1","263","164","83","9"
"05-870 Tatitlek","0","6","1","3","1"
"06-200 Anchor Point","0","348","362","60","19"
"06-210 Diamond Ridge","0","307","113","72","7"
"06-220 Fox River","0","114","81","23","4"
"06-230 Homer No. 1","1","444","219","123","16"
"06-240 Homer No. 2","1","361","193","99","13"
"06-250 Kachemak-Fritz Creek","0","457","205","120","19"
"06-260 Kasilof","0","446","558","79","20"
"06-270 Ninilchik","0","230","291","32","28"
"06-280 Seldovia-Kachemak Bay","0","81","58","26","1"
"07-005 Central","0","261","392","39","12"
"07-015 Kenai No. 1","0","305","320","44","10"
"07-020 Kenai No. 2","0","178","185","33","11"
"07-025 Kenai No. 3","0","200","177","26","7"
"07-030 Soldotna","0","406","441","57","20"
"07 010 K Beach","0","424","424","41","5"
"08-035 Bear Creek","0","237","212","57","6"
"08-040 Cooper Landing","0","90","39","20","8"
"08-045 Funny River No. 1","0","146","221","28","12"
"08-050 Funny River No. 2","0","141","153","22","7"
"08-055 Hope","0","48","5","11","1"
"08-060 Mackey Lake","2","304","350","39","13"
"08-065 Moose Pass","0","53","48","27","4"
"08-070 Nikiski","0","270","397","28","19"
"08-075 Salamatof","0","308","408","26","21"
"08-080 Sterling No. 1","0","290","413","27","6"
"08-085 Sterling No. 2","0","289","491","30","12"
"09-105 Girdwood","1","423","69","144","7"
"09-110 Indian","0","90","28","13","1"
"09-115 South Anchorage No. 1","1","606","284","103","20"
"09-120 South Anchorage No. 2","0","770","299","124","16"
"09-125 South Anchorage No. 3","2","663","260","130","6"
"09-130 South Anchorage No. 4","3","735","266","117","11"
"09-135 South Anchorage No. 5","1","299","115","60","4"
