"1","Overvote","Begich","Exhausted","Peltola","Blank"
"01-600 Ketchikan No. 1","0","176","32","179","14"
"01-610 Ketchikan No. 2","0","242","52","199","11"
"01-620 Ketchikan No. 3","0","232","59","110","2"
"01-640 North Tongass No. 1","0","163","46","76","8"
"01-650 North Tongass No. 2","2","317","87","169","16"
"01-660 Saxman","0","40","5","24","6"
"01-670 South Tongass","0","239","76","137","4"
"01-675 Coffman Cove","0","42","19","14","1"
"01-680 Metlakatla","1","41","9","86","5"
"01-690 Wrangell","1","267","112","129","7"
"02-700 Angoon","1","24","2","55","1"
"02-705 Craig","0","94","31","97","2"
"02-720 Hoonah","0","70","30","65","2"
"02-725 Hydaburg","1","7","2","28","3"
"02-730 Kake","0","35","5","49","1"
"02-735 Kasaan","0","8","3","6","1"
"02-740 Klawock","0","59","67","71","1"
"02-750 Pelican-Elfin Cove","0","13","2","8","0"
"02-755 Petersburg-Kupreanof","1","323","120","269","12"
"02-760 Port Alexander","1","4","0","12","0"
"02-765 Sitka No. 1","1","273","95","439","8"
"02-770 Sitka No. 2","1","263","89","541","17"
"02-775 Tenakee Springs","1","8","4","41","0"
"02-780 Thorne Bay","0","48","50","20","2"
"02-785 Yakutat","0","45","11","79","2"
"03-300 Auke Bay","1","244","42","313","8"
"03-305 Lynn Canal","0","190","29","360","3"
"03-310 Melvin Park","0","200","30","279","3"
"03-315 Mendenhall Glacier","0","362","78","426","7"
"03-320 Thunder Mountain","0","332","45","380","6"
"03-325 Gustavus","0","45","9","121","0"
"03-330 Haines No. 1","0","220","49","337","11"
"03-335 Haines No. 2","0","41","11","51","6"
"03-340 Klukwan","0","10","0","27","4"
"03-345 Skagway","0","84","13","238","15"
"04-100 Douglas","0","140","16","425","7"
"04-105 Juneau Airport Area","0","115","24","130","5"
"04-110 Juneau No. 1","1","167","24","374","7"
"04-115 Juneau No. 2","1","75","13","637","10"
"04-120 Juneau No. 3","0","87","10","228","4"
"04-125 Lemon Creek","1","135","35","195","7"
"04-130 Glacier Valley Area","1","161","27","187","6"
"04-135 North Douglas","1","119","15","409","4"
"05-800 Chiniak","0","10","5","19","0"
"05-810 Flats","0","114","31","121","8"
"05-815 Kodiak Island South","0","10","1","4","1"
"05-820 Kodiak No. 1","1","157","40","178","11"
"05-825 Kodiak No. 2","0","159","49","136","10"
"05-830 Mission Road","2","423","123","300","9"
"05-835 Old Harbor","1","12","1","6","0"
"05-840 Ouzinkie","0","19","4","18","0"
"05-845 Port Lions","0","23","10","8","2"
"05-860 Cordova","1","138","47","267","14"
"05-865 Seward-Lowell Point","0","196","45","270","9"
"05-870 Tatitlek","0","5","1","4","1"
"06-200 Anchor Point","0","450","128","192","19"
"06-210 Diamond Ridge","0","200","41","251","7"
"06-220 Fox River","0","106","32","80","4"
"06-230 Homer No. 1","2","301","97","387","16"
"06-240 Homer No. 2","1","282","73","298","13"
"06-250 Kachemak-Fritz Creek","0","327","62","393","19"
"06-260 Kasilof","3","583","226","271","20"
"06-270 Ninilchik","1","312","109","131","28"
"06-280 Seldovia-Kachemak Bay","0","62","16","87","1"
"07-005 Central","1","366","195","130","12"
"07-015 Kenai No. 1","0","359","136","174","10"
"07-020 Kenai No. 2","0","204","86","106","11"
"07-025 Kenai No. 3","0","227","90","86","7"
"07-030 Soldotna","0","498","195","211","20"
"07 010 K Beach","1","556","178","154","5"
"08-035 Bear Creek","0","224","77","205","6"
"08-040 Cooper Landing","0","74","7","68","8"
"08-045 Funny River No. 1","1","186","121","87","12"
"08-050 Funny River No. 2","0","185","63","68","7"
"08-055 Hope","0","22","1","41","1"
"08-060 Mackey Lake","3","389","153","150","13"
"08-065 Moose Pass","0","47","20","61","4"
"08-070 Nikiski","0","402","178","115","19"
"08-075 Salamatof","1","423","186","132","21"
"08-080 Sterling No. 1","1","397","206","126","6"
"08-085 Sterling No. 2","0","478","194","138","12"
"09-105 Girdwood","1","154","11","471","7"
"09-110 Indian","0","55","9","67","1"
"09-115 South Anchorage No. 1","1","501","78","414","20"
"09-120 South Anchorage No. 2","0","667","73","453","16"
"09-125 South Anchorage No. 3","1","553","70","431","6"
"09-130 South Anchorage No. 4","2","618","62","439","11"
"09-135 South Anchorage No. 5","1","232","41","201","4"
"09-140 Stuckagain Heights","0","76","6","107","0"
"09-145 Whittier","0","37","7","17","6"
"10-150 Dimond","0","207","36","172","3"
"10-155 Oceanview No. 1","1","399","96","306","10"
"10-160 Oceanview No. 2","1","342","46","254","4"
"10-165 Oceanview No. 3","0","357","71","294","10"
"10-170 Oceanview No. 4","0","425","51","305","7"
"10-175 Oceanview No. 5","0","270","36","216","7"
"11-205 Hillside No. 1","0","149","37","147","4"
"11-210 Hillside No. 2","0","440","85","365","4"
"11-215 Hillside No. 3","2","303","51","200","9"
"11-220 Hillside No. 4","0","327","67","186","3"
"11-225 Hillside No. 5","0","346","52","259","2"
"11-230 Hillside No. 6","1","455","42","345","4"
"11-235 Hillside No. 7","0","318","38","294","8"
"12-250 Southeast Anchorage No. 1","3","249","48","249","9"
"12-255 Southeast Anchorage No. 2","0","201","35","150","9"
"12-260 Southeast Anchorage No. 3","1","264","44","240","8"
"12-265 Southeast Anchorage No. 4","1","279","42","266","2"
"12-270 Southeast Anchorage No. 5","1","326","58","348","25"
"12-275 Southeast Anchorage No. 6","0","339","37","418","8"
"13-305 South Midtown No. 1","0","66","20","48","3"
"13-310 South Midtown No. 2","0","366","62","290","11"
"13-315 South Midtown No. 3","5","385","83","383","11"
"13-320 South Midtown No. 4","1","274","61","272","7"
"13-325 South Midtown No. 5","0","304","56","347","21"
"14-350 North Midtown No. 1","1","73","21","166","3"
"14-355 North Midtown No. 2","0","114","22","161","2"
"14-360 North Midtown No. 3","0","95","13","100","2"
"14-365 North Midtown No. 4","1","88","25","183","10"
"14-370 North Midtown No. 5","1","212","43","308","6"
"14-375 North Midtown No. 6","0","189","23","214","2"
"14-380 North Midtown No. 7","1","348","40","605","11"
"15-405 Southwest Anchorage No. 1","0","279","41","219","5"
"15-410 Southwest Anchorage No. 2","0","324","42","274","10"
"15-415 Southwest Anchorage No. 3","0","426","74","305","8"
"15-420 Southwest Anchorage No. 4","0","246","42","233","5"
"15-425 Southwest Anchorage No. 5","1","312","42","315","8"
"15-430 Southwest Anchorage No. 6","0","595","86","415","2"
"16-450 West Anchorage No. 1","1","254","20","505","7"
"16-455 West Anchorage No. 2","0","251","37","369","2"
"16-460 West Anchorage No. 3","0","326","52","454","9"
"16-465 West Anchorage No. 4","0","185","31","175","3"
"16-470 West Anchorage No. 5","0","404","59","337","15"
"16-475 West Anchorage No. 6","0","316","49","284","16"
"16-480 West Anchorage No. 7","0","215","32","209","3"
"17-505 Downtown Anchorage No. 1","0","155","17","282","4"
"17-510 Downtown Anchorage No. 2","0","151","21","420","10"
"17-515 Downtown Anchorage No. 3","0","123","10","265","2"
"17-520 Downtown Anchorage No. 4","3","166","28","344","5"
"17-525 Downtown Anchorage No. 5","1","108","19","236","7"
"17-530 Downtown Anchorage No. 6","0","62","21","114","1"
"17-535 Downtown Anchorage No. 7","0","113","23","177","5"
"18-550 Government Hill","0","109","18","180","4"
"18-555 JBER","1","155","26","91","4"
"18-560 North Muldoon","1","96","14","111","3"
"18-565 Ship Creek","0","23","6","47","0"
"19-605 Airport Heights No. 1","0","196","37","485","7"
"19-610 Airport Heights No. 2","0","188","34","264","16"
"19-615 Mountainview No. 1","0","73","11","94","0"
"19-620 Mountainview No. 2","0","70","14","81","2"
"19-625 South Mountainview","0","129","24","130","5"
"20-650 University No. 1","1","54","7","79","4"
"20-655 University No. 2","2","214","34","233","5"
"20-660 University No. 3","2","261","40","389","8"
