"1","Overvote","Exhausted","Palin","Peltola","Blank"
"House District 1","9","491","1958","1894","90"
"House District 10","3","320","2282","2661","63"
"House District 11","8","404","2657","3148","51"
"House District 12","10","216","1839","2694","79"
"House District 13","8","193","1634","2172","69"
"House District 14","11","213","1358","3013","53"
"House District 15","8","357","2382","3031","62"
"House District 16","4","323","2011","3847","75"
"House District 17","7","201","1090","3475","58"
"House District 18","5","61","518","727","16"
"House District 19","4","110","778","1675","39"
"House District 2","8","283","1877","2739","96"
"House District 20","9","162","1332","2331","36"
"House District 21","10","272","2091","2969","66"
"House District 22","8","139","1076","1240","36"
"House District 23","0","385","2983","2570","82"
"House District 24","8","428","3267","2203","83"
"House District 25","11","444","3529","2126","109"
"House District 26","4","329","3409","1175","98"
"House District 27","7","298","3131","1151","71"
"House District 28","5","342","3383","1397","60"
"House District 29","8","340","3484","1855","139"
"House District 3","5","337","1946","4250","89"
"House District 30","17","354","3626","1942","116"
"House District 31","6","227","1602","1752","56"
"House District 32","3","103","1233","777","52"
"House District 33","9","229","2837","1006","90"
"House District 34","8","318","2738","2470","98"
"House District 35","3","227","2056","3373","86"
"House District 36","21","330","2755","2462","199"
"House District 37","22","165","778","1157","95"
"House District 38","24","67","363","1490","68"
"House District 39","22","121","520","1507","123"
"House District 4","11","256","1120","4408","72"
"House District 40","9","79","462","863","149"
"House District 5","6","248","1665","2123","90"
"House District 6","3","393","3548","3562","161"
"House District 7","6","468","3285","1643","97"
"House District 8","5","484","4241","1822","140"
"House District 9","11","526","3177","4536","98"
"House District 99","0","0","3","29","1"
"Total","346","11243","86024","91265","3411"
