"1","Exhausted","Palin","Peltola","Blank"
"01-600 Ketchikan No. 1","36","133","218","14"
"01-610 Ketchikan No. 2","49","189","255","11"
"01-620 Ketchikan No. 3","81","173","147","2"
"01-640 North Tongass No. 1","44","143","98","8"
"01-650 North Tongass No. 2","67","296","210","18"
"01-660 Saxman","11","25","33","6"
"01-670 South Tongass","55","210","187","4"
"01-675 Coffman Cove","7","51","17","1"
"01-680 Metlakatla","6","34","96","6"
"01-690 Wrangell","44","297","168","7"
"02-700 Angoon","7","9","65","2"
"02-705 Craig","21","100","101","2"
"02-720 Hoonah","21","68","76","2"
"02-725 Hydaburg","2","7","28","4"
"02-730 Kake","3","23","63","1"
"02-735 Kasaan","0","10","7","1"
"02-740 Klawock","14","110","73","1"
"02-750 Pelican-Elfin Cove","2","11","10","0"
"02-755 Petersburg-Kupreanof","55","344","314","12"
"02-760 Port Alexander","0","5","12","0"
"02-765 Sitka No. 1","44","281","483","8"
"02-770 Sitka No. 2","33","252","608","18"
"02-775 Tenakee Springs","1","9","43","1"
"02-780 Thorne Bay","3","95","20","2"
"02-785 Yakutat","9","42","84","2"
"03-300 Auke Bay","37","194","368","9"
"03-305 Lynn Canal","24","159","396","3"
"03-310 Melvin Park","42","151","316","3"
"03-315 Mendenhall Glacier","44","330","492","7"
"03-320 Thunder Mountain","40","280","437","6"
"03-325 Gustavus","0","47","128","0"
"03-330 Haines No. 1","33","204","369","11"
"03-335 Haines No. 2","6","43","54","6"
"03-340 Klukwan","1","4","32","4"
"03-345 Skagway","18","63","254","15"
"04-100 Douglas","30","87","464","7"
"04-105 Juneau Airport Area","21","99","149","5"
"04-110 Juneau No. 1","32","120","413","8"
"04-115 Juneau No. 2","12","53","660","11"
"04-120 Juneau No. 3","16","52","257","4"
"04-125 Lemon Creek","21","126","218","8"
"04-130 Glacier Valley Area","18","142","215","7"
"04-135 North Douglas","18","99","426","5"
"05-800 Chiniak","0","12","22","0"
"05-810 Flats","12","125","129","8"
"05-815 Kodiak Island South","2","7","6","1"
"05-820 Kodiak No. 1","22","154","199","12"
"05-825 Kodiak No. 2","17","179","148","10"
"05-830 Mission Road","62","431","353","11"
"05-835 Old Harbor","3","3","13","1"
"05-840 Ouzinkie","5","9","27","0"
"05-845 Port Lions","5","23","13","2"
"05-860 Cordova","16","156","281","14"
"05-865 Seward-Lowell Point","31","181","299","9"
"05-870 Tatitlek","2","1","7","1"
"06-200 Anchor Point","35","513","222","19"
"06-210 Diamond Ridge","35","179","278","7"
"06-220 Fox River","10","112","96","4"
"06-230 Homer No. 1","51","319","416","17"
"06-240 Homer No. 2","24","294","335","14"
"06-250 Kachemak-Fritz Creek","39","302","441","19"
"06-260 Kasilof","65","700","318","20"
"06-270 Ninilchik","32","355","166","28"
"06-280 Seldovia-Kachemak Bay","13","64","88","1"
"07-005 Central","41","488","163","12"
"07-015 Kenai No. 1","56","408","205","10"
"07-020 Kenai No. 2","31","235","130","11"
"07-025 Kenai No. 3","40","245","118","7"
"07-030 Soldotna","62","565","277","20"
"07 010 K Beach","103","587","199","5"
"08-035 Bear Creek","20","257","229","6"
"08-040 Cooper Landing","16","54","79","8"
"08-045 Funny River No. 1","28","259","108","12"
"08-050 Funny River No. 2","29","206","81","7"
"08-055 Hope","3","13","48","1"
"08-060 Mackey Lake","51","476","166","15"
"08-065 Moose Pass","8","56","64","4"
"08-070 Nikiski","55","522","118","19"
"08-075 Salamatof","66","537","139","21"
"08-080 Sterling No. 1","56","528","146","6"
"08-085 Sterling No. 2","59","596","155","12"
"09-105 Girdwood","18","96","522","8"
"09-110 Indian","8","40","83","1"
"09-115 South Anchorage No. 1","55","446","492","21"
"09-120 South Anchorage No. 2","85","553","555","16"
"09-125 South Anchorage No. 3","85","461","508","7"
"09-130 South Anchorage No. 4","97","475","547","13"
"09-135 South Anchorage No. 5","32","205","237","5"
"09-140 Stuckagain Heights","8","61","120","0"
"09-145 Whittier","4","32","25","6"
"10-150 Dimond","14","206","195","3"
"10-155 Oceanview No. 1","48","370","383","11"
"10-160 Oceanview No. 2","48","262","332","5"
"10-165 Oceanview No. 3","35","339","348","10"
"10-170 Oceanview No. 4","62","336","383","7"
"10-175 Oceanview No. 5","38","231","253","7"
"11-205 Hillside No. 1","8","154","171","4"
"11-210 Hillside No. 2","59","403","428","4"
"11-215 Hillside No. 3","45","265","245","10"
"11-220 Hillside No. 4","34","322","224","3"
"11-225 Hillside No. 5","47","297","313","2"
"11-230 Hillside No. 6","75","354","413","5"
"11-235 Hillside No. 7","37","255","358","8"
"12-250 Southeast Anchorage No. 1","19","244","283","12"
"12-255 Southeast Anchorage No. 2","21","181","184","9"
"12-260 Southeast Anchorage No. 3","23","245","280","9"
"12-265 Southeast Anchorage No. 4","23","245","320","2"
"12-270 Southeast Anchorage No. 5","36","294","403","25"
