"1","Blank","Peltola","Peltola","Peltola","Peltola","Palin","Palin","Palin","Palin","Begich","Begich","Begich","Begich","Overvote"
"2","","Palin","Overvote","Begich","","Peltola","Overvote","Begich","","Peltola","Palin","Overvote","",""
"House District 1","90","70","0","921","449","67","3","719","626","454","543","2","491","7"
"House District 10","63","125","1","1318","700","65","3","854","459","517","901","0","320","3"
"House District 11","51","159","1","1699","721","85","5","955","483","568","1129","1","404","7"
"House District 12","79","136","1","1457","660","66","3","724","332","440","714","0","216","10"
"House District 13","69","141","2","1159","522","66","2","640","347","348","579","0","193","8"
"House District 14","53","206","2","1577","861","96","2","538","277","367","445","1","213","10"
"House District 15","62","141","1","1613","723","70","0","891","410","553","1011","3","357","5"
"House District 16","75","238","2","2052","993","71","1","724","355","562","860","2","323","2"
"House District 17","58","268","2","1774","1074","69","3","408","230","357","380","2","201","5"
"House District 18","16","50","0","345","238","30","0","240","94","94","154","0","61","5"
"House District 19","39","103","1","871","508","53","0","310","161","192","254","1","110","3"
"House District 2","96","97","1","1417","859","112","3","728","679","365","355","2","283","6"
"House District 20","36","131","0","1250","605","107","4","574","249","345","398","1","162","8"
"House District 21","66","142","0","1612","749","64","1","811","400","466","815","3","272","7"
"House District 22","36","64","1","601","325","49","0","439","202","249","386","1","139","7"
"House District 23","82","83","0","1406","580","127","8","1215","562","501","1071","0","385","0"
"House District 24","83","98","1","1156","450","106","5","1271","592","498","1293","2","428","6"
"House District 25","109","94","0","1120","434","127","3","1358","861","478","1180","3","444","8"
"House District 26","98","41","0","601","253","131","5","1337","960","280","976","0","329","4"
"House District 27","71","49","1","538","235","106","3","1283","936","328","803","1","298","6"
"House District 28","60","47","0","683","265","125","2","1384","905","402","967","1","342","4"
"House District 29","139","83","2","919","407","137","7","1349","917","444","1074","2","340","6"
"House District 3","89","187","1","2206","1352","61","1","773","412","504","699","1","337","4"
"House District 30","116","75","1","1048","438","146","2","1447","1159","380","872","2","354","15"
"House District 31","56","89","1","864","476","77","0","701","376","322","448","0","227","6"
"House District 32","52","40","0","364","194","78","0","541","323","179","291","0","103","3"
"House District 33","90","51","2","481","222","104","2","1320","744","250","667","0","229","9"
"House District 34","98","113","2","1264","693","101","3","1218","661","398","755","0","318","8"
"House District 35","86","221","2","1740","988","115","2","890","473","422","576","0","227","3"
"House District 36","199","110","4","1273","643","100","5","1097","804","432","749","4","330","17"
"House District 37","95","72","1","584","258","60","4","298","205","242","211","1","165","21"
"House District 38","68","154","8","895","287","84","3","136","51","146","89","1","67","23"
"House District 39","123","88","3","818","245","58","0","228","94","353","140","3","121","19"
"House District 4","72","264","3","2262","1505","49","2","421","237","374","411","0","256","11"
"House District 40","149","77","2","392","172","45","1","179","103","220","134","3","79","6"
"House District 5","90","76","3","1042","637","134","2","711","471","365","347","0","248","6"
"House District 6","161","122","1","1927","1010","119","5","1383","987","502","1054","0","393","3"
"House District 7","97","72","0","748","406","111","3","1243","1102","417","826","3","468","3"
"House District 8","140","62","0","898","446","207","7","1601","1434","416","992","2","484","3"
"House District 9","98","204","2","2497","1097","74","1","1104","495","736","1503","0","526","11"
"House District 99","1","2","0","15","12","0","0","1","1","0","1","0","0","0"
"Total","3411","4645","55","47407","23692","3652","106","34044","21169","15466","27053","48","11243","298"
