"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","","","Begich","Begich","Begich","Begich","Overvote","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Write-in","Write-in","Write-in","Write-in","","Begich","Begich","Begich","Begich","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola",""
"3","","","","Overvote","Peltola","Write-in","","Overvote","Palin","Write-in","","Palin","Peltola","","","","Overvote","Peltola","Write-in","","","Begich","Overvote","Write-in","","Begich","Overvote","Peltola","","","Overvote","Palin","Write-in","","","Begich","Overvote","Write-in","","Begich","Overvote","Palin","","","Overvote","Palin","Peltola","","Begich","Overvote","Peltola","","Begich","Overvote","Palin",""
"01-600 Ketchikan No. 1","35","0","21","0","16","0","17","1","25","1","1","0","2","0","32","31","0","23","3","0","0","7","0","0","0","0","0","0","50","53","1","40","6","0","2","3","0","1","3","11","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","14"
"01-610 Ketchikan No. 2","45","1","35","0","25","3","23","0","32","3","3","1","3","0","51","38","0","26","4","0","0","5","0","0","1","0","0","0","43","66","0","48","9","0","0","7","0","0","10","10","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","10"
"01-620 Ketchikan No. 3","79","0","42","0","23","2","24","0","12","2","0","0","1","0","59","30","0","13","1","0","1","1","0","0","0","0","0","0","27","43","0","15","3","0","3","9","0","0","1","6","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","2"
"01-640 North Tongass No. 1","42","0","23","0","12","0","15","0","13","2","1","0","1","0","44","25","0","24","0","0","0","8","0","1","1","3","0","0","19","24","0","13","2","0","1","4","0","0","2","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","8"
"01-650 North Tongass No. 2","63","0","62","0","20","1","17","0","28","5","3","0","1","2","86","77","0","35","3","0","1","9","0","0","0","1","0","0","35","56","0","37","5","0","0","3","0","0","9","11","0","2","2","1","0","0","0","1","0","0","0","0","1","0","0","14"
"01-660 Saxman","11","0","2","0","3","0","3","0","5","2","0","0","0","0","5","4","0","10","0","0","0","1","0","0","0","0","0","0","7","5","0","6","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5"
"01-670 South Tongass","55","0","40","0","17","2","20","0","29","2","0","1","1","0","76","46","0","22","0","0","1","5","0","0","0","0","0","0","30","50","0","32","6","0","2","4","0","0","3","4","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","2"
"01-675 Coffman Cove","7","0","10","0","2","0","1","0","2","0","0","0","0","0","18","14","0","5","1","0","0","0","0","0","1","0","0","0","4","6","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
