"1","Chesbro","Kelley","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","188","141","16","154","0"
"01-610 Ketchikan No. 2","234","191","25","289","0"
"01-620 Ketchikan No. 3","118","172","8","241","3"
"01-640 North Tongass No. 1","78","130","6","164","0"
"01-650 North Tongass No. 2","146","274","15","306","1"
"01-660 Saxman","29","21","5","59","0"
"01-670 South Tongass","136","234","18","259","2"
"01-675 Coffman Cove","12","31","5","38","1"
"01-680 Metlakatla","122","100","15","170","0"
"01-690 Wrangell","157","237","15","275","1"
"02-700 Angoon","35","22","0","74","1"
"02-705 Craig","85","103","6","139","0"
"02-720 Hoonah","46","61","1","145","0"
"02-725 Hydaburg","22","10","2","35","0"
"02-730 Kake","32","32","3","57","0"
"02-735 Kasaan","7","7","1","13","0"
"02-740 Klawock","51","115","3","112","0"
"02-750 Pelican-Elfin Cove","10","11","0","17","0"
"02-755 Petersburg-Kupreanof","228","257","8","368","0"
"02-760 Port Alexander","5","4","0","6","0"
"02-765 Sitka No. 1","363","280","14","416","3"
"02-770 Sitka No. 2","390","207","9","466","0"
"02-775 Tenakee Springs","21","4","0","19","0"
"02-780 Thorne Bay","27","75","2","57","0"
"02-785 Yakutat","67","41","3","69","0"
"03-300 Auke Bay","227","119","5","193","0"
"03-305 Lynn Canal","207","88","2","177","0"
"03-310 Melvin Park","218","128","4","198","3"
"03-315 Mendenhall Glacier","333","252","1","347","1"
"03-320 Thunder Mountain","274","181","6","388","3"
"03-325 Gustavus","91","29","0","69","0"
"03-330 Haines No. 1","259","143","5","262","0"
"03-335 Haines No. 2","46","22","1","46","0"
"03-340 Klukwan","24","5","0","16","0"
"03-345 Skagway","186","56","4","104","0"
"04-100 Douglas","320","66","14","170","1"
"04-105 Juneau Airport Area","94","85","5","108","1"
"04-110 Juneau No. 1","279","85","13","150","0"
"04-115 Juneau No. 2","399","48","6","113","0"
"04-120 Juneau No. 3","162","49","4","83","1"
"04-125 Lemon Creek","189","120","20","157","2"
"04-130 Glacier Valley Area","157","126","10","123","0"
"04-135 North Douglas","262","78","10","140","0"
"05-800 Chiniak","11","6","0","21","0"
"05-810 Flats","140","125","11","151","1"
"05-815 Kodiak Island South","1","7","0","9","0"
"05-820 Kodiak No. 1","148","157","16","188","1"
"05-825 Kodiak No. 2","121","137","16","220","1"
"05-830 Mission Road","275","396","20","469","1"
"05-835 Old Harbor","10","6","0","11","0"
"05-840 Ouzinkie","16","5","0","28","0"
"05-845 Port Lions","11","9","2","31","0"
"05-860 Cordova","213","122","1","178","1"
"05-865 Seward-Lowell Point","206","146","13","193","1"
"05-870 Tatitlek","8","0","0","9","0"
"06-200 Anchor Point","152","377","6","358","4"
"06-210 Diamond Ridge","180","139","1","166","0"
"06-220 Fox River","65","101","1","119","0"
"06-230 Homer No. 1","226","203","9","298","0"
"06-240 Homer No. 2","186","233","5","232","2"
"06-250 Kachemak-Fritz Creek","282","193","8","307","0"
"06-260 Kasilof","206","430","7","526","4"
"06-270 Ninilchik","100","209","3","267","1"
"06-280 Seldovia-Kachemak Bay","60","43","3","64","0"
"07-005 Central","136","280","3","389","1"
"07-010 K Beach","149","348","5","546","1"
"07-015 Kenai No. 1","189","305","4","374","1"
"07-020 Kenai No. 2","106","145","3","246","1"
"07-025 Kenai No. 3","83","124","1","220","0"
"07-030 Soldotna","204","263","9","471","1"
"08-035 Bear Creek","199","172","11","253","1"
"08-040 Cooper Landing","52","30","2","57","0"
"08-045 Funny River No. 1","70","136","6","183","1"
"08-050 Funny River No. 2","62","138","4","180","1"
"08-055 Hope","37","9","0","18","0"
"08-060 Mackey Lake","104","230","6","330","0"
"08-065 Moose Pass","48","32","2","56","0"
"08-070 Nikiski","120","314","11","400","5"
"08-075 Salamatof","108","413","6","371","2"
"08-080 Sterling No. 1","112","275","8","376","0"
"08-085 Sterling No. 2","98","323","9","447","1"
"09-105 Girdwood","446","80","3","184","1"
"09-110 Indian","51","24","4","44","0"
"09-115 South Anchorage No. 1","351","338","15","397","2"
"09-120 South Anchorage No. 2","325","341","10","517","0"
"09-125 South Anchorage No. 3","352","281","20","421","1"
"09-130 South Anchorage No. 4","387","319","5","422","3"
"09-135 South Anchorage No. 5","164","131","7","181","0"
"09-140 Stuckagain Heights","68","27","1","55","1"
"09-145 Whittier","20","25","1","48","0"
"10-150 Dimond","213","193","8","222","1"
"10-155 Oceanview No. 1","280","274","5","366","2"
"10-160 Oceanview No. 2","208","194","1","298","2"
"10-165 Oceanview No. 3","271","262","7","364","3"
"10-170 Oceanview No. 4","257","240","5","299","0"
"10-175 Oceanview No. 5","206","162","7","244","1"
"11-205 Hillside No. 1","173","135","0","192","0"
"11-210 Hillside No. 2","350","271","2","407","3"
"11-215 Hillside No. 3","178","187","0","249","1"
"11-220 Hillside No. 4","171","186","1","301","0"
"11-225 Hillside No. 5","214","159","4","317","0"
"11-230 Hillside No. 6","306","227","1","322","0"
"11-235 Hillside No. 7","211","137","0","243","2"
"12-250 Southeast Anchorage No. 1","277","205","9","244","0"
"12-255 Southeast Anchorage No. 2","161","153","8","172","0"
"12-260 Southeast Anchorage No. 3","241","174","16","244","0"
"12-265 Southeast Anchorage No. 4","262","179","12","257","5"
"12-270 Southeast Anchorage No. 5","313","253","10","310","3"
"12-275 Southeast Anchorage No. 6","328","202","10","282","2"
"13-305 South Midtown No. 1","64","46","5","73","0"
"13-310 South Midtown No. 2","316","257","25","338","2"
"13-315 South Midtown No. 3","366","268","23","325","3"
"13-320 South Midtown No. 4","311","226","23","229","2"
"13-325 South Midtown No. 5","348","202","13","275","1"
"14-350 North Midtown No. 1","127","65","0","100","1"
"14-355 North Midtown No. 2","149","100","2","112","2"
"14-360 North Midtown No. 3","106","83","0","103","0"
"14-365 North Midtown No. 4","179","90","1","112","1"
"14-370 North Midtown No. 5","274","182","5","263","4"
"14-375 North Midtown No. 6","190","113","1","153","3"
"14-380 North Midtown No. 7","431","183","2","283","1"
"15-405 Southwest Anchorage No. 1","212","149","1","234","0"
"15-410 Southwest Anchorage No. 2","240","199","6","279","2"
"15-415 Southwest Anchorage No. 3","311","257","1","339","3"
"15-420 Southwest Anchorage No. 4","257","168","3","227","0"
"15-425 Southwest Anchorage No. 5","289","198","5","277","1"
"15-430 Southwest Anchorage No. 6","388","304","5","447","1"
"16-450 West Anchorage No. 1","355","86","16","199","0"
"16-455 West Anchorage No. 2","306","144","17","219","1"
"16-460 West Anchorage No. 3","405","243","14","307","2"
"16-465 West Anchorage No. 4","174","130","4","175","2"
"16-470 West Anchorage No. 5","293","239","17","314","1"
"16-475 West Anchorage No. 6","268","189","8","264","2"
"16-480 West Anchorage No. 7","217","140","7","173","0"
"17-505 Downtown Anchorage No. 1","189","62","7","114","0"
"17-510 Downtown Anchorage No. 2","295","61","7","172","3"
"17-515 Downtown Anchorage No. 3","186","61","4","111","1"
"17-520 Downtown Anchorage No. 4","321","122","8","162","2"
"17-525 Downtown Anchorage No. 5","214","71","12","126","0"
"17-530 Downtown Anchorage No. 6","151","59","8","78","1"
"17-535 Downtown Anchorage No. 7","203","87","9","96","1"
"18-550 Government Hill","164","77","3","99","0"
"18-555 JBER","146","212","2","122","1"
"18-560 North Muldoon","111","89","5","87","4"
"18-565 Ship Creek","42","13","0","32","0"
"19-605 Airport Heights No. 1","392","106","4","230","1"
"19-610 Airport Heights No. 2","267","136","6","204","3"
"19-615 Mountainview No. 1","134","66","2","102","0"
"19-620 Mountainview No. 2","92","72","0","81","2"
"19-625 South Mountainview","143","104","1","119","2"
"20-650 University No. 1","93","51","4","62","5"
"20-655 University No. 2","299","179","15","207","2"
"20-660 University No. 3","365","177","17","243","2"
"20-665 University No. 4","180","85","2","97","1"
"20-670 University No. 5","457","346","29","391","10"
"21-705 East Anchorage No. 1","322","155","21","249","2"
"21-710 East Anchorage No. 2","261","222","19","280","4"
"21-715 East Anchorage No. 3","355","314","16","327","6"
"21-720 East Anchorage No. 4","339","221","11","269","1"
"21-725 East Anchorage No. 5","438","291","18","400","4"
"22-750 Northeast Anchorage No. 1","236","202","10","253","3"
"22-755 Northeast Anchorage No. 2","211","224","5","208","1"
"22-760 Northeast Anchorage No. 3","283","223","4","290","1"
"22-765 Northeast Anchorage No. 4","168","149","2","155","0"
"23-805 Chugach Park No. 1","355","350","4","537","1"
"23-810 Eagle River No. 1","169","256","7","344","0"
"23-815 Eagle River No. 2","222","224","3","282","1"
"23-820 Hiland","189","217","6","286","0"
"23-825 Meadow Creek No. 1","245","266","1","354","3"
"23-830 Meadow Creek No. 2","139","159","2","216","2"
"24-850 Chugach Park No. 2","187","255","11","360","3"
"24-855 Chugiak","86","128","4","152","0"
"24-860 Eagle River No. 3","148","218","6","238","1"
"24-865 Eklutna","184","268","9","309","1"
"24-870 Fire Lake","197","293","8","336","2"
"24-875 Peters Creek No. 1","199","388","5","491","4"
"24-880 Peters Creek No. 2","131","201","9","251","1"
"25-305 Butte","256","479","41","435","7"
"25-310 Greater Palmer","123","206","11","242","1"
"25-315 Lazy Mountain","197","263","27","290","0"
"25-320 Palmer City No. 1","192","207","14","205","4"
"25-325 Palmer City No. 2","141","196","17","151","1"
"25-330 Springer Loop","193","282","10","266","0"
"25-335 Walby","147","313","23","239","2"
"26-350 Fairview No. 1","64","203","0","249","0"
"26-355 Fairview No. 2","60","158","4","143","1"
"26-360 Knik Goose Bay No. 1","152","460","5","419","4"
"26-365 Knik Goose Bay No. 2","115","289","4","273","0"
"26-370 Knik Goose Bay No. 3","53","198","3","156","3"
"26-375 Mat-Su Campus","146","234","5","258","0"
"26-380 Snowshoe","143","408","4","430","2"
"27-405 Foothills","106","266","9","258","2"
"27-410 Meadow Lakes No. 1","159","361","2","449","3"
"27-415 Meadow Lakes No. 2","119","305","2","326","3"
"27-420 Wasilla No. 1","148","264","9","295","2"
"27-425 Wasilla No. 2","167","368","3","444","3"
"28-450 Lakes No. 1","101","222","3","227","2"
"28-455 Lakes No. 2","72","177","6","183","0"
"28-460 Seldon No. 1","109","332","4","323","2"
"28-465 Seldon No. 2","215","384","13","414","2"
"28-470 Seward Meridian","79","168","4","171","2"
