"1","Chesbro","Murkowski","Blank","Exhausted","Overvote"
"House District 1","862","3858","166","1983","19"
"House District 10","883","4268","55","1936","11"
"House District 11","960","4956","19","2245","10"
"House District 12","1184","3757","107","1709","17"
"House District 13","1056","3221","123","1371","19"
"House District 14","1115","3877","30","1115","18"
"House District 15","951","4781","30","1941","6"
"House District 16","1338","4954","148","1612","16"
"House District 17","1322","4189","94","846","14"
"House District 18","495","1297","19","479","7"
"House District 19","741","2339","21","613","14"
"House District 2","1044","4551","65","1899","8"
"House District 20","1194","2972","105","1173","25"
"House District 21","1293","4116","123","1760","21"
"House District 22","742","2208","36","966","12"
"House District 23","941","4610","34","2744","7"
"House District 24","991","3751","87","3149","18"
"House District 25","1208","3639","220","3277","34"
"House District 26","814","2823","37","3515","24"
"House District 27","843","2436","40","3329","30"
"House District 28","1012","2654","78","3331","23"
"House District 29","988","3508","229","3465","30"
"House District 3","1434","5542","45","1774","9"
"House District 30","996","3463","43","3606","27"
"House District 31","945","3011","27","1331","16"
"House District 32","608","1577","45","1172","4"
"House District 33","785","2564","133","2758","16"
"House District 34","1046","4131","34","2464","18"
"House District 35","1341","4673","25","1834","5"
"House District 36","1107","3762","161","2895","27"
"House District 37","435","2542","80","582","26"
"House District 38","369","3019","62","295","18"
"House District 39","390","3086","27","292","22"
"House District 4","1723","4739","193","1041","17"
"House District 40","399","1646","106","314","11"
"House District 5","819","3662","113","1384","11"
"House District 6","1263","4787","70","3713","14"
"House District 7","809","3137","35","3444","18"
"House District 8","1000","3147","100","4518","28"
"House District 9","1189","6475","108","2500","12"
"House District 99","58","41","0","5","0"
"Total","38693","143769","3273","80380","682"
