"1","Chesbro","Murkowski","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","72","299","16","112","0"
"01-610 Ketchikan No. 2","93","443","25","177","1"
"01-620 Ketchikan No. 3","62","301","8","168","3"
"01-640 North Tongass No. 1","38","180","6","154","0"
"01-650 North Tongass No. 2","64","377","15","285","1"
"01-660 Saxman","15","75","5","19","0"
"01-670 South Tongass","51","394","18","184","2"
"01-675 Coffman Cove","9","32","5","40","1"
"01-680 Metlakatla","67","275","15","50","0"
"01-690 Wrangell","66","342","15","261","1"
"02-700 Angoon","17","101","0","13","1"
"02-705 Craig","48","167","6","112","0"
"02-720 Hoonah","26","150","1","76","0"
"02-725 Hydaburg","13","52","2","2","0"
"02-730 Kake","15","77","3","29","0"
"02-735 Kasaan","7","8","1","12","0"
"02-740 Klawock","34","146","3","98","0"
"02-750 Pelican-Elfin Cove","3","21","0","14","0"
"02-755 Petersburg-Kupreanof","92","450","8","311","0"
"02-760 Port Alexander","0","13","0","2","0"
"02-765 Sitka No. 1","152","678","14","229","3"
"02-770 Sitka No. 2","134","709","9","220","0"
"02-775 Tenakee Springs","12","29","0","3","0"
"02-780 Thorne Bay","22","61","2","76","0"
"02-785 Yakutat","26","128","3","23","0"
"03-300 Auke Bay","69","353","5","117","0"
"03-305 Lynn Canal","60","316","2","96","0"
"03-310 Melvin Park","69","334","4","143","1"
"03-315 Mendenhall Glacier","122","569","1","242","0"
"03-320 Thunder Mountain","104","502","6","239","1"
"03-325 Gustavus","35","115","0","39","0"
"03-330 Haines No. 1","103","386","5","175","0"
"03-335 Haines No. 2","19","54","1","41","0"
"03-340 Klukwan","4","40","0","1","0"
"03-345 Skagway","60","253","4","33","0"
"04-100 Douglas","112","377","14","67","1"
"04-105 Juneau Airport Area","57","135","5","96","0"
"04-110 Juneau No. 1","106","327","13","81","0"
"04-115 Juneau No. 2","138","383","6","39","0"
"04-120 Juneau No. 3","69","184","4","42","0"
"04-125 Lemon Creek","96","265","20","105","2"
"04-130 Glacier Valley Area","70","240","10","96","0"
"04-135 North Douglas","102","317","10","61","0"
"05-800 Chiniak","2","25","0","11","0"
"05-810 Flats","70","240","11","106","1"
"05-815 Kodiak Island South","0","11","0","6","0"
"05-820 Kodiak No. 1","65","318","16","110","1"
"05-825 Kodiak No. 2","63","301","16","115","0"
"05-830 Mission Road","125","682","20","333","1"
"05-835 Old Harbor","2","23","0","2","0"
"05-840 Ouzinkie","6","41","0","2","0"
"05-845 Port Lions","2","25","2","24","0"
"05-860 Cordova","61","374","1","78","1"
"05-865 Seward-Lowell Point","103","305","13","137","1"
"05-870 Tatitlek","3","14","0","0","0"
"06-200 Anchor Point","114","295","6","477","5"
"06-210 Diamond Ridge","66","246","1","173","0"
"06-220 Fox River","38","107","1","140","0"
"06-230 Homer No. 1","85","367","9","275","0"
"06-240 Homer No. 2","73","335","5","245","0"
"06-250 Kachemak-Fritz Creek","82","436","8","264","0"
"06-260 Kasilof","112","436","7","614","4"
"06-270 Ninilchik","48","208","3","320","1"
"06-280 Seldovia-Kachemak Bay","18","101","3","48","0"
"07-005 Central","77","296","3","430","3"
"07-010 K Beach","95","372","5","576","1"
"07-015 Kenai No. 1","102","384","4","381","2"
"07-020 Kenai No. 2","62","204","3","231","1"
"07-025 Kenai No. 3","46","170","1","211","0"
"07-030 Soldotna","101","406","9","430","2"
"08-035 Bear Creek","101","274","11","249","1"
"08-040 Cooper Landing","18","66","2","55","0"
"08-045 Funny River No. 1","37","131","6","221","1"
"08-050 Funny River No. 2","44","129","4","207","1"
"08-055 Hope","16","35","0","13","0"
"08-060 Mackey Lake","66","215","6","383","0"
"08-065 Moose Pass","19","65","2","52","0"
"08-070 Nikiski","85","231","11","519","4"
"08-075 Salamatof","89","311","6","492","2"
"08-080 Sterling No. 1","75","248","8","439","1"
"08-085 Sterling No. 2","77","242","9","549","1"
"09-105 Girdwood","124","509","3","77","1"
"09-110 Indian","22","65","4","32","0"
"09-115 South Anchorage No. 1","94","675","15","317","2"
"09-120 South Anchorage No. 2","97","687","10","399","0"
"09-125 South Anchorage No. 3","103","632","20","319","1"
"09-130 South Anchorage No. 4","103","705","5","321","2"
"09-135 South Anchorage No. 5","46","286","7","144","0"
"09-140 Stuckagain Heights","16","99","1","35","1"
"09-145 Whittier","6","65","1","22","0"
"10-150 Dimond","119","331","8","179","0"
"10-155 Oceanview No. 1","81","579","5","260","2"
"10-160 Oceanview No. 2","70","443","1","187","2"
"10-165 Oceanview No. 3","111","490","7","297","2"
"10-170 Oceanview No. 4","73","494","5","229","0"
"10-175 Oceanview No. 5","63","352","7","197","1"
"11-205 Hillside No. 1","82","263","0","155","0"
"11-210 Hillside No. 2","131","609","2","287","4"
"11-215 Hillside No. 3","49","377","0","189","0"
"11-220 Hillside No. 4","67","372","1","219","0"
"11-225 Hillside No. 5","62","418","4","210","0"
"11-230 Hillside No. 6","85","525","1","245","0"
"11-235 Hillside No. 7","49","337","0","205","2"
"12-250 Southeast Anchorage No. 1","149","354","9","223","0"
"12-255 Southeast Anchorage No. 2","82","268","8","136","0"
"12-260 Southeast Anchorage No. 3","96","368","16","195","0"
"12-265 Southeast Anchorage No. 4","99","381","12","218","5"
"12-270 Southeast Anchorage No. 5","150","456","10","271","2"
"12-275 Southeast Anchorage No. 6","86","514","10","212","2"
"13-305 South Midtown No. 1","29","99","5","55","0"
"13-310 South Midtown No. 2","147","505","25","258","3"
"13-315 South Midtown No. 3","159","536","23","264","3"
"13-320 South Midtown No. 4","128","419","23","220","1"
"13-325 South Midtown No. 5","171","463","13","191","1"
"14-350 North Midtown No. 1","48","181","0","63","1"
"14-355 North Midtown No. 2","68","213","2","81","1"
"14-360 North Midtown No. 3","44","183","0","65","0"
"14-365 North Midtown No. 4","92","224","1","66","0"
"14-370 North Midtown No. 5","117","419","5","183","4"
"14-375 North Midtown No. 6","70","289","1","97","3"
"14-380 North Midtown No. 7","132","595","2","170","1"
"15-405 Southwest Anchorage No. 1","55","381","1","159","0"
"15-410 Southwest Anchorage No. 2","80","422","6","217","1"
"15-415 Southwest Anchorage No. 3","114","527","1","267","2"
"15-420 Southwest Anchorage No. 4","109","371","3","172","0"
"15-425 Southwest Anchorage No. 5","94","493","5","178","0"
"15-430 Southwest Anchorage No. 6","111","694","5","334","1"
"16-450 West Anchorage No. 1","97","451","16","92","0"
"16-455 West Anchorage No. 2","109","426","17","135","0"
"16-460 West Anchorage No. 3","148","592","14","215","2"
"16-465 West Anchorage No. 4","73","280","4","125","3"
"16-470 West Anchorage No. 5","114","490","17","241","2"
"16-475 West Anchorage No. 6","96","413","8","212","2"
"16-480 West Anchorage No. 7","100","313","7","117","0"
"17-505 Downtown Anchorage No. 1","55","245","7","65","0"
"17-510 Downtown Anchorage No. 2","83","377","7","69","2"
"17-515 Downtown Anchorage No. 3","46","261","4","51","1"
"17-520 Downtown Anchorage No. 4","119","391","8","96","1"
"17-525 Downtown Anchorage No. 5","94","261","12","56","0"
"17-530 Downtown Anchorage No. 6","72","171","8","46","0"
"17-535 Downtown Anchorage No. 7","94","236","9","56","1"
"18-550 Government Hill","66","204","3","70","0"
"18-555 JBER","110","257","2","113","1"
"18-560 North Muldoon","63","157","5","69","2"
"18-565 Ship Creek","19","52","0","16","0"
"19-605 Airport Heights No. 1","129","492","4","107","1"
"19-610 Airport Heights No. 2","117","361","6","129","3"
"19-615 Mountainview No. 1","53","199","2","50","0"
"19-620 Mountainview No. 2","39","139","0","69","0"
"19-625 South Mountainview","54","235","1","77","2"
"20-650 University No. 1","53","105","4","49","4"
"20-655 University No. 2","154","348","15","183","2"
"20-660 University No. 3","162","438","17","184","3"
"20-665 University No. 4","85","209","2","69","0"
"20-670 University No. 5","215","649","29","332","8"
"21-705 East Anchorage No. 1","130","406","21","191","1"
"21-710 East Anchorage No. 2","108","401","19","254","4"
"21-715 East Anchorage No. 3","175","554","16","268","5"
"21-720 East Anchorage No. 4","148","463","11","219","0"
"21-725 East Anchorage No. 5","169","658","18","302","4"
"22-750 Northeast Anchorage No. 1","126","379","10","186","3"
"22-755 Northeast Anchorage No. 2","119","332","5","191","2"
"22-760 Northeast Anchorage No. 3","138","442","4","216","1"
"22-765 Northeast Anchorage No. 4","78","277","2","116","1"
"23-805 Chugach Park No. 1","109","730","4","404","0"
"23-810 Eagle River No. 1","70","380","7","319","0"
"23-815 Eagle River No. 2","85","388","3","255","1"
"23-820 Hiland","58","381","6","253","0"
"23-825 Meadow Creek No. 1","103","447","1","316","2"
"23-830 Meadow Creek No. 2","51","251","2","212","2"
"24-850 Chugach Park No. 2","79","379","11","345","2"
"24-855 Chugiak","37","181","4","148","0"
"24-860 Eagle River No. 3","96","262","6","246","1"
"24-865 Eklutna","82","347","9","332","1"
"24-870 Fire Lake","93","402","8","331","2"
"24-875 Peters Creek No. 1","93","450","5","535","4"
"24-880 Peters Creek No. 2","78","227","9","278","1"
"25-305 Butte","159","451","41","560","7"
"25-310 Greater Palmer","64","260","11","248","0"
"25-315 Lazy Mountain","119","303","27","328","0"
"25-320 Palmer City No. 1","115","270","14","219","4"
"25-325 Palmer City No. 2","91","200","17","197","1"
"25-330 Springer Loop","92","336","10","313","0"
"25-335 Walby","94","285","23","319","3"
"26-350 Fairview No. 1","56","159","0","301","0"
"26-355 Fairview No. 2","41","185","4","135","1"
"26-360 Knik Goose Bay No. 1","127","355","5","545","8"
"26-365 Knik Goose Bay No. 2","81","251","4","345","0"
"26-370 Knik Goose Bay No. 3","42","138","3","227","3"
"26-375 Mat-Su Campus","62","277","5","299","0"
"26-380 Snowshoe","105","365","4","511","2"
"27-405 Foothills","81","214","9","334","3"
"27-410 Meadow Lakes No. 1","133","303","2","534","2"
"27-415 Meadow Lakes No. 2","92","248","2","410","3"
"27-420 Wasilla No. 1","97","253","9","359","0"
"27-425 Wasilla No. 2","105","345","3","529","3"
"28-450 Lakes No. 1","75","212","3","264","1"
"28-455 Lakes No. 2","47","165","6","220","0"
"28-460 Seldon No. 1","71","259","4","435","1"
"28-465 Seldon No. 2","147","367","13","500","1"
"28-470 Seward Meridian","54","156","4","208","2"
"28-475 Trunk","109","272","8","363","4"
"28-480 Wasilla Lake","62","112","6","203","1"
"29-505 Farm Loop","109","383","43","468","3"
"29-510 Fishhook","142","540","31","588","2"
"29-515 Kings Lake","88","328","24","446","4"
"29-520 Lakes No. 3","47","143","13","176","0"
"29-525 Sheep Mountain","5","43","7","71","2"
"29-530 Sutton","48","181","14","225","0"
"29-535 Valdez No. 1","39","233","8","137","0"
"29-540 Valdez No. 2","26","120","6","79","1"
"29-545 Valdez No. 3","44","160","9","140","0"
"30-550 Anderson/Clear","17","49","1","55","0"
"30-555 Big Lake","124","413","1","580","4"
"30-560 Cantwell","11","47","0","29","0"
"30-565 Denali Park","19","56","0","4","0"
"30-570 East Schrock","19","27","0","50","0"
"30-575 Healy","42","177","2","112","1"
"30-580 Houston","69","211","6","277","2"
"30-585 Knik Goose Bay No. 4","102","322","5","541","4"
"30-590 Trapper Creek","17","55","2","86","1"
"30-595 Susitna","54","187","3","230","1"
"30-600 Talkeetna","63","167","5","85","0"
"30-605 Willow","114","358","4","460","5"
"31-446 Aurora","135","434","3","282","1"
"31-455 Fairbanks No. 1","141","497","7","267","0"
"31-480 Fairbanks No. 2","137","527","4","205","1"
"31-485 Fairbanks No. 3","155","365","3","202","6"
"32-355 Fairbanks No. 4","138","321","9","199","1"
"32-365 Fairbanks No. 5","97","266","9","180","0"
"32-375 Fort Wainwright","35","67","2","28","0"
"32-385 Badger No. 2","155","395","8","443","0"
"33-130 Badger No. 1","105","397","14","451","2"
"33-135 Chena Lakes","102","377","22","450","1"
"33-155 Moose Creek","16","34","3","62","1"
"33-165 Newby","134","459","30","517","0"
"33-175 North Pole","59","220","18","236","1"
"33-183 Plack","118","360","23","454","1"
"34-235 Eielson","25","109","1","47","0"
"34-238 Eielson Farm Road","5","28","0","25","0"
"34-240 Farmers Loop","138","532","3","204","2"
"34-260 Salcha","49","160","0","220","1"
"34-263 Steele Creek","88","544","5","364","5"
"34-265 Steese","132","494","8","403","1"
"34-270 Summit","107","422","3","285","0"
"34-280 Two Rivers","66","209","2","196","1"
"35-580 Airport","20","154","2","115","1"
"35-582 Chena","161","781","4","376","0"
"35-584 Ester","98","335","0","145","0"
"35-586 Geist","82","307","2","145","1"
"35-587 Lakeview","12","58","0","46","0"
"35-592 Shanly","83","209","1","92","0"
"35-595 University Hills","119","368","0","101","0"
"35-596 University West","163","747","6","295","0"
