"1","Chesbro","Tshibaka","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","188","212","16","83","0"
"01-610 Ketchikan No. 2","250","293","25","171","0"
"01-620 Ketchikan No. 3","125","271","8","135","3"
"01-640 North Tongass No. 1","83","228","6","61","0"
"01-650 North Tongass No. 2","154","417","15","155","1"
"01-660 Saxman","31","30","5","48","0"
"01-670 South Tongass","149","329","18","152","1"
"01-675 Coffman Cove","12","48","5","21","1"
"01-680 Metlakatla","135","110","15","147","0"
"01-690 Wrangell","159","394","15","116","1"
"02-700 Angoon","32","30","0","70","0"
"02-705 Craig","90","172","6","65","0"
"02-720 Hoonah","46","102","1","104","0"
"02-725 Hydaburg","22","11","2","34","0"
"02-730 Kake","30","30","3","61","0"
"02-735 Kasaan","8","16","1","3","0"
"02-740 Klawock","55","164","3","59","0"
"02-750 Pelican-Elfin Cove","10","18","0","10","0"
"02-755 Petersburg-Kupreanof","225","453","8","175","0"
"02-760 Port Alexander","7","4","0","4","0"
"02-765 Sitka No. 1","376","418","14","264","4"
"02-770 Sitka No. 2","400","366","9","297","0"
"02-775 Tenakee Springs","21","6","0","17","0"
"02-780 Thorne Bay","28","114","2","17","0"
"02-785 Yakutat","67","59","3","51","0"
"03-300 Auke Bay","223","215","5","101","0"
"03-305 Lynn Canal","200","178","2","94","0"
"03-310 Melvin Park","229","230","4","86","2"
"03-315 Mendenhall Glacier","330","427","1","175","1"
"03-320 Thunder Mountain","271","384","6","188","3"
"03-325 Gustavus","87","61","0","41","0"
"03-330 Haines No. 1","260","272","5","132","0"
"03-335 Haines No. 2","42","55","1","17","0"
"03-340 Klukwan","23","8","0","14","0"
"03-345 Skagway","179","94","4","73","0"
"04-100 Douglas","320","109","14","127","1"
"04-105 Juneau Airport Area","100","144","5","43","1"
"04-110 Juneau No. 1","288","131","13","95","0"
"04-115 Juneau No. 2","403","68","6","89","0"
"04-120 Juneau No. 3","166","75","4","54","0"
"04-125 Lemon Creek","193","182","20","91","2"
"04-130 Glacier Valley Area","155","195","10","56","0"
"04-135 North Douglas","268","119","10","93","0"
"05-800 Chiniak","11","12","0","15","0"
"05-810 Flats","137","211","11","69","0"
"05-815 Kodiak Island South","1","8","0","8","0"
"05-820 Kodiak No. 1","145","235","16","113","1"
"05-825 Kodiak No. 2","130","208","16","140","1"
"05-830 Mission Road","296","610","20","234","1"
"05-835 Old Harbor","11","6","0","10","0"
"05-840 Ouzinkie","15","7","0","27","0"
"05-845 Port Lions","8","32","2","11","0"
"05-860 Cordova","213","191","1","109","1"
"05-865 Seward-Lowell Point","215","232","13","98","1"
"05-870 Tatitlek","7","2","0","8","0"
"06-200 Anchor Point","145","660","6","84","2"
"06-210 Diamond Ridge","177","229","1","79","0"
"06-220 Fox River","64","184","1","37","0"
"06-230 Homer No. 1","231","356","9","140","0"
"06-240 Homer No. 2","190","357","5","104","2"
"06-250 Kachemak-Fritz Creek","286","357","8","139","0"
"06-260 Kasilof","203","814","7","147","2"
"06-270 Ninilchik","99","425","3","52","1"
"06-280 Seldovia-Kachemak Bay","59","74","3","34","0"
"07-005 Central","133","584","3","88","1"
"07-010 K Beach","139","782","5","123","0"
"07-015 Kenai No. 1","182","578","4","107","2"
"07-020 Kenai No. 2","90","347","3","61","0"
"07-025 Kenai No. 3","79","301","1","47","0"
"07-030 Soldotna","191","624","9","123","1"
"08-035 Bear Creek","188","361","11","76","0"
"08-040 Cooper Landing","54","64","2","21","0"
"08-045 Funny River No. 1","67","292","6","30","1"
"08-050 Funny River No. 2","60","283","4","37","1"
"08-055 Hope","34","20","0","10","0"
"08-060 Mackey Lake","96","509","6","59","0"
"08-065 Moose Pass","48","65","2","23","0"
"08-070 Nikiski","100","689","11","46","4"
"08-075 Salamatof","115","716","6","61","2"
"08-080 Sterling No. 1","106","587","8","70","0"
"08-085 Sterling No. 2","86","716","9","67","0"
"09-105 Girdwood","450","136","3","124","1"
"09-110 Indian","52","43","4","24","0"
"09-115 South Anchorage No. 1","370","569","15","148","1"
"09-120 South Anchorage No. 2","351","670","10","162","0"
"09-125 South Anchorage No. 3","364","540","20","150","1"
"09-130 South Anchorage No. 4","383","574","5","173","1"
"09-135 South Anchorage No. 5","169","243","7","64","0"
"09-140 Stuckagain Heights","71","62","1","17","1"
"09-145 Whittier","17","39","1","37","0"
"10-150 Dimond","211","322","8","95","1"
"10-155 Oceanview No. 1","298","457","5","165","2"
"10-160 Oceanview No. 2","212","345","1","143","2"
"10-165 Oceanview No. 3","285","466","7","147","2"
"10-170 Oceanview No. 4","257","416","5","123","0"
"10-175 Oceanview No. 5","205","313","7","94","1"
"11-205 Hillside No. 1","167","256","0","77","0"
"11-210 Hillside No. 2","340","537","2","152","2"
"11-215 Hillside No. 3","170","348","0","96","1"
"11-220 Hillside No. 4","174","384","1","100","0"
"11-225 Hillside No. 5","222","355","4","113","0"
"11-230 Hillside No. 6","304","453","1","98","0"
"11-235 Hillside No. 7","209","304","0","79","1"
"12-250 Southeast Anchorage No. 1","272","364","9","90","0"
"12-255 Southeast Anchorage No. 2","162","248","8","76","0"
"12-260 Southeast Anchorage No. 3","241","319","16","99","0"
"12-265 Southeast Anchorage No. 4","263","337","12","99","4"
"12-270 Southeast Anchorage No. 5","325","430","10","122","2"
"12-275 Southeast Anchorage No. 6","343","355","10","115","1"
"13-305 South Midtown No. 1","68","81","5","34","0"
"13-310 South Midtown No. 2","323","438","25","149","3"
"13-315 South Midtown No. 3","375","451","23","133","3"
"13-320 South Midtown No. 4","315","346","23","106","1"
"13-325 South Midtown No. 5","363","315","13","147","1"
"14-350 North Midtown No. 1","126","106","0","60","1"
"14-355 North Midtown No. 2","159","141","2","61","2"
"14-360 North Midtown No. 3","108","122","0","61","1"
"14-365 North Midtown No. 4","185","131","1","65","1"
"14-370 North Midtown No. 5","278","308","5","135","2"
"14-375 North Midtown No. 6","195","181","1","80","3"
"14-380 North Midtown No. 7","444","275","2","178","1"
"15-405 Southwest Anchorage No. 1","205","301","1","89","0"
"15-410 Southwest Anchorage No. 2","238","374","6","107","1"
"15-415 Southwest Anchorage No. 3","298","478","1","131","3"
"15-420 Southwest Anchorage No. 4","248","316","3","88","0"
"15-425 Southwest Anchorage No. 5","291","350","5","123","1"
"15-430 Southwest Anchorage No. 6","372","592","5","176","0"
"16-450 West Anchorage No. 1","358","172","16","110","0"
"16-455 West Anchorage No. 2","308","261","17","101","0"
"16-460 West Anchorage No. 3","406","392","14","157","2"
"16-465 West Anchorage No. 4","181","218","4","81","1"
"16-470 West Anchorage No. 5","297","422","17","127","1"
"16-475 West Anchorage No. 6","269","361","8","91","2"
"16-480 West Anchorage No. 7","218","228","7","84","0"
"17-505 Downtown Anchorage No. 1","189","112","7","64","0"
"17-510 Downtown Anchorage No. 2","290","129","7","109","3"
"17-515 Downtown Anchorage No. 3","191","108","4","59","1"
"17-520 Downtown Anchorage No. 4","322","177","8","107","1"
"17-525 Downtown Anchorage No. 5","215","128","12","68","0"
"17-530 Downtown Anchorage No. 6","147","81","8","60","1"
"17-535 Downtown Anchorage No. 7","197","127","9","62","1"
"18-550 Government Hill","165","121","3","54","0"
"18-555 JBER","148","282","2","50","1"
"18-560 North Muldoon","121","121","5","47","2"
"18-565 Ship Creek","39","29","0","19","0"
"19-605 Airport Heights No. 1","393","187","4","148","1"
"19-610 Airport Heights No. 2","256","253","6","98","3"
"19-615 Mountainview No. 1","134","105","2","63","0"
"19-620 Mountainview No. 2","90","118","0","38","1"
"19-625 South Mountainview","139","174","1","53","2"
"20-650 University No. 1","94","85","4","27","5"
"20-655 University No. 2","297","301","15","87","2"
"20-660 University No. 3","370","318","17","97","2"
"20-665 University No. 4","180","134","2","48","1"
"20-670 University No. 5","459","557","29","181","7"
"21-705 East Anchorage No. 1","325","285","21","116","2"
"21-710 East Anchorage No. 2","273","391","19","99","4"
"21-715 East Anchorage No. 3","382","450","16","164","6"
"21-720 East Anchorage No. 4","348","364","11","117","1"
"21-725 East Anchorage No. 5","445","494","18","191","3"
"22-750 Northeast Anchorage No. 1","225","332","10","134","3"
"22-755 Northeast Anchorage No. 2","223","321","5","99","1"
"22-760 Northeast Anchorage No. 3","294","366","4","137","0"
"22-765 Northeast Anchorage No. 4","168","227","2","77","0"
"23-805 Chugach Park No. 1","347","714","4","181","1"
"23-810 Eagle River No. 1","167","491","7","111","0"
"23-815 Eagle River No. 2","221","431","3","76","1"
"23-820 Hiland","185","424","6","83","0"
"23-825 Meadow Creek No. 1","234","513","1","118","3"
"23-830 Meadow Creek No. 2","131","340","2","44","1"
"24-850 Chugach Park No. 2","188","520","11","94","3"
"24-855 Chugiak","85","231","4","50","0"
"24-860 Eagle River No. 3","153","382","6","69","1"
"24-865 Eklutna","188","492","9","81","1"
"24-870 Fire Lake","198","545","8","83","2"
"24-875 Peters Creek No. 1","195","781","5","104","2"
"24-880 Peters Creek No. 2","128","403","9","52","1"
"25-305 Butte","267","796","41","108","6"
"25-310 Greater Palmer","134","378","11","59","1"
"25-315 Lazy Mountain","199","478","27","73","0"
"25-320 Palmer City No. 1","189","335","14","81","3"
"25-325 Palmer City No. 2","146","289","17","53","1"
"25-330 Springer Loop","186","481","10","74","0"
"25-335 Walby","150","498","23","51","2"
"26-350 Fairview No. 1","57","419","0","40","0"
"26-355 Fairview No. 2","62","254","4","45","1"
"26-360 Knik Goose Bay No. 1","156","793","5","81","5"
"26-365 Knik Goose Bay No. 2","102","512","4","63","0"
"26-370 Knik Goose Bay No. 3","54","328","3","25","3"
"26-375 Mat-Su Campus","149","441","5","48","0"
"26-380 Snowshoe","149","745","4","87","2"
"27-405 Foothills","86","498","9","48","0"
"27-410 Meadow Lakes No. 1","134","781","2","54","3"
"27-415 Meadow Lakes No. 2","105","598","2","49","1"
"27-420 Wasilla No. 1","124","522","9","61","2"
"27-425 Wasilla No. 2","138","760","3","81","3"
"28-450 Lakes No. 1","91","405","3","55","1"
"28-455 Lakes No. 2","68","322","6","42","0"
"28-460 Seldon No. 1","96","612","4","57","1"
"28-465 Seldon No. 2","194","730","13","89","2"
"28-470 Seward Meridian","65","320","4","35","0"
"28-475 Trunk","148","540","8","57","3"
"28-480 Wasilla Lake","66","283","6","29","0"
"29-505 Farm Loop","179","688","43","93","3"
"29-510 Fishhook","249","897","31","124","2"
"29-515 Kings Lake","152","644","24","66","4"
"29-520 Lakes No. 3","65","254","13","47","0"
"29-525 Sheep Mountain","20","89","7","11","1"
"29-530 Sutton","91","289","14","74","0"
"29-535 Valdez No. 1","132","208","8","67","2"
"29-540 Valdez No. 2","77","122","6","27","0"
"29-545 Valdez No. 3","92","197","9","55","0"
"30-550 Anderson/Clear","21","89","1","11","0"
"30-555 Big Lake","160","871","1","86","4"
"30-560 Cantwell","26","42","0","19","0"
"30-565 Denali Park","47","15","0","17","0"
"30-570 East Schrock","16","69","0","11","0"
"30-575 Healy","103","193","2","36","0"
"30-580 Houston","90","403","6","63","3"
"30-585 Knik Goose Bay No. 4","125","779","5","62","3"
"30-590 Trapper Creek","26","123","2","9","1"
"30-595 Susitna","87","327","3","57","1"
"30-600 Talkeetna","146","121","5","48","0"
"30-605 Willow","174","661","4","97","5"
"31-446 Aurora","267","443","3","142","0"
