"1","Kelley","Tshibaka","Blank","Exhausted","Overvote"
"House District 1","1320","3057","166","2329","16"
"House District 10","1143","3276","55","2664","15"
"House District 11","1210","3946","19","3007","8"
"House District 12","1252","2891","107","2509","15"
"House District 13","1221","2285","123","2141","20"
"House District 14","1273","2001","30","2832","19"
"House District 15","1260","3601","30","2807","11"
"House District 16","1449","2953","148","3502","16"
"House District 17","1318","1623","94","3411","19"
"House District 18","459","969","19","840","10"
"House District 19","778","1236","21","1680","13"
"House District 2","1243","2910","65","3343","6"
"House District 20","1048","2104","105","2185","27"
"House District 21","1519","2799","123","2850","22"
"House District 22","814","1667","36","1436","11"
"House District 23","1162","4590","34","2542","8"
"House District 24","1061","4821","87","2010","17"
"House District 25","1384","4694","220","2044","36"
"House District 26","895","5036","37","1223","22"
"House District 27","730","4807","40","1082","19"
"House District 28","890","4806","78","1306","18"
"House District 29","1187","4958","229","1814","32"
"House District 3","1466","3193","45","4088","12"
"House District 30","1043","5139","43","1886","24"
"House District 31","962","2445","27","1882","14"
"House District 32","585","1908","45","864","4"
"House District 33","1083","3956","133","1067","17"
"House District 34","1256","3885","34","2495","23"
"House District 35","1325","3254","25","3268","6"
"House District 36","1211","4140","161","2417","23"
"House District 37","929","1181","80","1447","28"
"House District 38","1366","933","62","1373","29"
"House District 39","1172","1138","27","1449","31"
"House District 4","1421","1898","193","4182","19"
"House District 40","682","797","106","880","11"
"House District 5","1114","2402","113","2350","10"
"House District 6","1344","4930","70","3489","14"
"House District 7","850","4833","35","1713","12"
"House District 8","955","6070","100","1648","20"
"House District 9","1768","4318","108","4077","13"
"House District 99","16","13","0","75","0"
"Total","45164","127463","3273","90207","690"
