"1","Kelley","Tshibaka","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","106","202","16","175","0"
"01-610 Ketchikan No. 2","163","280","25","271","0"
"01-620 Ketchikan No. 3","105","255","8","171","3"
"01-640 North Tongass No. 1","55","219","6","98","0"
"01-650 North Tongass No. 2","139","395","15","192","1"
"01-660 Saxman","25","30","5","54","0"
"01-670 South Tongass","100","317","18","213","1"
"01-675 Coffman Cove","21","42","5","18","1"
"01-680 Metlakatla","106","105","15","181","0"
"01-690 Wrangell","121","376","15","172","1"
"02-700 Angoon","19","26","0","87","0"
"02-705 Craig","68","161","6","98","0"
"02-720 Hoonah","41","99","1","112","0"
"02-725 Hydaburg","13","10","2","44","0"
"02-730 Kake","31","26","3","64","0"
"02-735 Kasaan","3","16","1","8","0"
"02-740 Klawock","62","148","3","68","0"
"02-750 Pelican-Elfin Cove","8","16","0","14","0"
"02-755 Petersburg-Kupreanof","126","434","8","293","0"
"02-760 Port Alexander","3","4","0","8","0"
"02-765 Sitka No. 1","205","396","14","458","3"
"02-770 Sitka No. 2","152","351","9","560","0"
"02-775 Tenakee Springs","5","6","0","33","0"
"02-780 Thorne Bay","32","107","2","20","0"
"02-785 Yakutat","38","62","3","77","0"
"03-300 Auke Bay","81","217","5","241","0"
"03-305 Lynn Canal","81","176","2","215","0"
"03-310 Melvin Park","110","241","4","194","2"
"03-315 Mendenhall Glacier","165","438","1","329","1"
"03-320 Thunder Mountain","119","395","6","329","3"
"03-325 Gustavus","17","62","0","110","0"
"03-330 Haines No. 1","109","270","5","285","0"
"03-335 Haines No. 2","9","55","1","50","0"
"03-340 Klukwan","14","9","0","22","0"
"03-345 Skagway","73","95","4","178","0"
"04-100 Douglas","118","113","14","325","1"
"04-105 Juneau Airport Area","48","143","5","96","1"
"04-110 Juneau No. 1","106","135","13","273","0"
"04-115 Juneau No. 2","111","72","6","377","0"
"04-120 Juneau No. 3","60","77","4","158","0"
"04-125 Lemon Creek","103","188","20","175","2"
"04-130 Glacier Valley Area","93","191","10","121","1"
"04-135 North Douglas","84","122","10","274","0"
"05-800 Chiniak","5","12","0","21","0"
"05-810 Flats","73","193","11","151","0"
"05-815 Kodiak Island South","4","6","0","7","0"
"05-820 Kodiak No. 1","90","225","16","178","1"
"05-825 Kodiak No. 2","84","197","16","197","1"
"05-830 Mission Road","202","576","20","362","1"
"05-835 Old Harbor","13","2","0","12","0"
"05-840 Ouzinkie","5","7","0","37","0"
"05-845 Port Lions","7","32","2","12","0"
"05-860 Cordova","108","185","1","220","1"
"05-865 Seward-Lowell Point","120","221","13","204","1"
"05-870 Tatitlek","3","2","0","12","0"
"06-200 Anchor Point","113","633","6","144","1"
"06-210 Diamond Ridge","78","222","1","185","0"
"06-220 Fox River","32","178","1","75","0"
"06-230 Homer No. 1","107","349","9","271","0"
"06-240 Homer No. 2","80","348","5","223","2"
