"1","Murkowski","Tshibaka","Blank","Exhausted","Overvote"
"House District 1","3542","2810","166","353","17"
"House District 10","3971","2939","55","176","12"
"House District 11","4569","3474","19","123","5"
"House District 12","3786","2606","107","261","14"
"House District 13","3350","2047","123","252","18"
"House District 14","4171","1723","30","216","15"
"House District 15","4429","3083","30","161","6"
"House District 16","4969","2621","148","315","15"
"House District 17","4690","1393","94","274","14"
"House District 18","1277","865","19","130","6"
"House District 19","2556","1001","21","137","13"
"House District 2","4515","2637","65","343","7"
"House District 20","3201","1878","105","263","22"
"House District 21","4297","2567","123","306","20"
"House District 22","2232","1514","36","173","9"
"House District 23","3991","4148","34","158","5"
"House District 24","3072","4587","87","234","16"
"House District 25","3263","4533","220","330","32"
"House District 26","1987","4969","37","201","19"
"House District 27","1775","4695","40","154","14"
"House District 28","2059","4733","78","212","16"
"House District 29","2856","4809","229","299","27"
"House District 3","5756","2711","45","286","6"
"House District 30","2783","5038","43","253","18"
"House District 31","2973","2108","27","213","9"
"House District 32","1412","1813","45","132","4"
"House District 33","1932","3892","133","283","16"
"House District 34","3735","3687","34","219","18"
"House District 35","4839","2828","25","184","2"
"House District 36","3506","3933","161","332","20"
"House District 37","2473","933","80","155","24"
"House District 38","2964","586","62","135","16"
"House District 39","3032","637","27","99","22"
"House District 4","5389","1672","193","442","17"
"House District 40","1629","614","106","119","8"
"House District 5","3470","2169","113","227","10"
"House District 6","4655","4793","70","318","11"
"House District 7","2633","4597","35","168","10"
"House District 8","2461","5984","100","231","17"
"House District 9","6053","3891","108","223","9"
"House District 99","77","10","0","17","0"
"Total","136330","117528","3273","9107","559"
