"1","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Exhausted","Overvote"
"2","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","Chesbro","Murkowski","Overvote","","",""
"House District 1","170","434","0","41","1313","1377","0","418","1800","217","750","2","166","183","17"
"House District 10","138","510","1","38","1191","1841","1","428","1898","196","807","0","55","38","11"
"House District 11","105","604","0","32","1206","2301","2","456","2227","219","991","5","19","18","5"
"House District 12","229","648","1","74","935","1906","1","296","1677","232","619","4","107","32","13"
"House District 13","166","673","1","46","830","1577","2","268","1285","170","544","2","123","86","17"
"House District 14","165","757","1","48","1099","1974","6","335","1064","144","463","4","30","51","14"
"House District 15","119","576","2","37","1186","2199","2","466","1899","217","928","2","30","42","4"
"House District 16","287","750","3","72","1212","2674","0","333","1584","226","735","4","148","28","12"
"House District 17","226","913","0","43","1092","2445","3","237","798","140","412","0","94","48","14"
"House District 18","109","281","0","33","336","502","3","155","458","72","301","1","19","21","6"
"House District 19","114","465","1","47","664","1211","2","214","590","114","248","2","21","23","12"
"House District 2","213","579","1","69","1777","1689","2","468","1769","182","615","2","65","130","6"
"House District 20","236","660","3","83","754","1567","5","215","1146","212","431","6","105","27","19"
"House District 21","211","809","2","50","1076","2135","4","273","1665","221","628","3","123","95","18"
"House District 22","134","413","0","53","675","900","2","242","927","142","389","3","36","39","9"
"House District 23","114","524","0","43","1089","1903","4","471","2700","260","1143","2","34","44","5"
"House District 24","184","393","0","66","855","1490","1","333","3099","348","1072","2","87","50","16"
"House District 25","154","641","1","59","710","1601","1","310","3101","353","1017","3","220","176","31"
"House District 26","117","301","1","44","581","824","4","277","3431","351","1137","6","37","84","18"
"House District 27","86","290","0","45","478","777","5","225","3261","422","951","16","40","68","14"
"House District 28","154","333","1","79","568","876","2","280","3273","445","928","8","78","58","15"
"House District 29","118","456","1","51","721","1363","3","313","3284","362","1108","4","229","181","26"
"House District 3","220","958","0","63","1629","2705","6","458","1708","193","744","3","45","66","6"
"House District 30","159","402","0","54","827","1204","5","345","3512","381","1082","9","43","94","18"
"House District 31","158","471","0","85","879","1254","10","359","1276","231","509","7","27","55","9"
"House District 32","103","233","1","53","408","583","1","187","1143","218","398","1","45","29","3"
"House District 33","106","300","1","49","549","759","0","324","2581","329","932","1","133","177","15"
"House District 34","145","555","2","49","1039","1720","6","415","2390","295","951","2","34","74","16"
"House District 35","144","896","0","65","1099","2432","5","407","1794","236","730","3","25","40","2"
"House District 36","236","457","2","89","1157","1546","4","342","2799","323","713","9","161","96","18"
"House District 37","92","190","1","38","1019","949","3","312","519","114","259","3","80","63","23"
"House District 38","95","138","0","60","1075","1201","13","537","255","76","193","2","62","40","16"
"House District 39","63","163","3","62","1106","1299","8","456","256","99","217","3","27","36","19"
"House District 4","397","1041","2","97","1313","2780","2","253","996","186","391","2","193","45","15"
"House District 40","92","136","0","49","643","628","2","220","287","122","153","3","106","27","8"
"House District 5","156","429","1","39","1200","1451","2","388","1313","194","621","2","113","71","9"
"House District 6","210","703","3","52","1417","2193","5","337","3605","295","835","6","70","108","8"
"House District 7","85","335","1","50","882","1087","3","326","3361","338","839","9","35","83","9"
"House District 8","136","328","1","77","738","1152","1","242","4423","458","1014","12","100","95","16"
"House District 9","138","789","0","36","1479","3281","1","503","2415","226","1211","3","108","85","9"
"House District 99","17","37","0","2","13","26","0","1","5","2","1","0","0","0","0"
"Total","6301","20571","38","2222","38820","63382","132","13425","77574","9561","28010","161","3273","2806","521"
