"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"House District 1","152","10","25","0","11","285","84","0","21","0","3","11","6","0","183","8","19","0","10","33","18","0","27","1","61","21","39","0","1202","690","452","0","67","78","150","0","90","0","118","34","149","0","1187","17","31","8","0","552","140","311","1","197","19","184","0","1","166","16"
"House District 10","128","7","24","0","5","339","105","0","39","1","9","8","12","0","38","3","3","0","4","6","5","0","23","0","28","15","21","0","1132","1065","545","2","77","53","147","0","111","1","123","37","134","0","1222","10","24","15","0","648","132","351","0","225","23","186","1","0","55","11"
"House District 11","98","6","8","0","11","431","111","1","47","0","2","5","7","0","18","1","6","0","7","15","3","0","11","0","20","5","29","0","1139","1339","690","0","118","52","151","0","66","2","170","76","132","1","1509","15","35","17","0","698","147","346","1","358","34","224","0","4","19","5"
"House District 12","212","14","17","0","22","437","145","0","41","1","4","24","17","0","32","3","8","0","7","4","11","0","13","0","11","8","14","0","863","997","624","0","93","68","181","0","70","1","79","51","83","0","1107","15","51","13","0","559","145","297","1","145","33","130","0","3","107","13"
"House District 13","149","13","36","0","8","408","176","0","43","1","8","15","7","0","86","4","10","0","8","19","9","0","20","1","23","10","24","0","779","805","581","1","56","32","125","0","36","2","75","37","100","0","860","12","22","4","1","402","121","220","0","131","22","147","0","2","123","16"
"House District 14","153","8","19","0","8","495","190","1","47","1","5","11","17","0","51","4","5","0","7","5","7","1","18","1","15","9","32","1","1048","1136","610","0","87","46","134","1","101","4","69","44","102","1","695","17","15","1","0","354","102","197","0","110","21","103","0","3","30","13"
"House District 15","111","3","11","0","10","370","145","0","43","2","3","11","10","0","42","5","7","0","3","15","6","0","17","0","14","10","13","0","1114","1212","704","3","126","57","148","0","50","2","142","103","153","1","1249","18","35","12","0","636","142","340","1","310","61","204","0","1","30","4"
"House District 16","266","19","17","0","30","539","141","1","49","3","3","16","14","1","28","2","3","0","8","5","9","0","6","0","14","7","20","0","1146","1551","811","0","104","61","199","0","69","0","93","59","105","1","1077","28","54","11","0","493","126","319","2","193","37","166","0","2","148","12"
"House District 17","213","7","35","0","14","635","204","1","33","0","6","12","8","0","48","6","5","0","3","12","7","0","12","1","17","3","11","0","1048","1515","743","2","66","32","112","0","46","3","75","35","68","1","545","29","35","10","0","236","63","156","0","103","19","123","0","0","94","13"
"House District 18","102","6","8","0","7","167","68","1","33","0","4","9","12","0","21","1","4","0","1","4","1","0","18","0","15","2","23","0","309","262","155","0","34","23","50","0","52","3","28","9","47","1","274","5","7","7","0","169","51","125","1","55","7","89","2","0","19","6"
"House District 19","110","3","21","0","18","301","94","0","40","1","5","5","6","0","23","1","9","0","13","3","4","0","7","2","14","11","15","0","628","641","395","0","92","33","79","0","33","2","45","71","57","1","410","7","26","7","0","166","63","92","0","59","19","63","0","2","21","10"
"House District 2","199","8","21","1","13","414","92","0","49","0","8","15","17","0","130","6","3","0","16","18","11","0","32","2","43","25","57","0","1690","1040","432","0","83","69","123","0","141","2","116","58","121","0","1231","9","24","9","0","495","115","249","0","151","22","136","0","2","65","4"
"House District 20","224","10","22","0","39","413","161","1","58","3","3","22","7","1","27","2","5","0","11","4","4","0","9","1","11","9","18","0","713","835","503","0","92","37","133","0","42","5","57","53","54","0","724","13","46","10","0","411","134","203","1","100","21","89","0","5","105","18"
