"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"01-600 Ketchikan No. 1","16","2","3","0","0","21","8","0","1","0","1","2","3","0","5","1","0","0","0","2","0","0","4","0","4","3","6","0","71","67","50","0","6","5","7","0","6","0","5","2","11","0","60","2","2","1","0","43","6","20","0","18","1","18","0","0","16","0"
"01-610 Ketchikan No. 2","15","0","2","0","0","37","11","0","3","0","0","1","0","0","20","0","3","0","1","4","1","0","5","0","3","2","3","0","138","81","67","0","8","9","20","0","12","0","14","3","18","0","117","2","2","0","0","37","14","20","1","20","2","18","0","0","25","0"
"01-620 Ketchikan No. 3","13","0","3","0","1","15","3","0","1","0","0","0","0","0","18","1","3","0","2","2","0","0","3","0","7","1","4","0","108","35","35","0","5","7","8","0","7","0","8","2","10","0","104","1","2","0","0","39","16","25","0","21","2","19","0","0","8","3"
"01-640 North Tongass No. 1","8","0","1","0","0","11","3","0","0","0","0","0","0","0","6","0","2","0","1","2","1","0","2","0","3","2","1","0","49","30","16","0","3","4","7","0","4","0","7","1","6","0","93","1","3","1","0","52","5","20","0","15","0","12","0","0","6","0"
"01-650 North Tongass No. 2","2","0","1","0","1","22","4","0","1","0","1","2","0","0","37","2","1","0","2","5","1","0","4","0","9","4","5","0","105","63","36","0","6","8","9","0","10","0","18","1","17","0","159","0","4","0","0","80","17","38","0","24","2","25","0","0","15","1"
"01-660 Saxman","7","1","1","0","0","3","1","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","42","2","8","0","2","2","6","0","1","0","1","2","3","0","14","1","0","1","0","2","0","1","0","2","0","1","0","0","5","0"
"01-670 South Tongass","7","1","0","0","0","14","4","0","1","0","0","0","0","0","18","2","2","0","0","3","3","0","1","0","5","2","0","0","125","67","35","0","3","6","10","0","8","0","9","1","17","0","98","1","0","0","0","63","17","44","0","27","2","33","0","1","18","1"
"01-675 Coffman Cove","2","1","1","0","1","0","1","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","2","1","2","0","14","2","3","0","1","0","0","0","2","0","0","0","0","0","22","0","0","0","0","10","2","3","0","2","0","2","0","0","5","1"
"01-680 Metlakatla","23","2","5","0","3","12","6","0","3","0","0","2","1","0","11","0","0","0","1","1","3","0","3","0","0","1","0","0","131","15","30","0","3","4","26","0","10","0","3","10","21","0","31","1","4","0","0","8","3","4","0","5","2","4","0","0","15","0"
"01-690 Wrangell","9","1","2","0","1","11","2","0","3","0","1","1","0","0","22","0","1","0","1","2","1","0","1","0","10","3","3","0","84","68","37","0","4","8","16","0","10","0","18","4","11","0","154","3","6","2","0","75","19","37","0","19","2","17","0","0","15","1"
"02-700 Angoon","10","0","0","0","0","3","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","1","0","0","66","8","6","0","1","1","2","0","4","0","1","5","5","0","7","0","0","0","0","1","1","0","0","0","0","2","0","1","0","0"
"02-705 Craig","8","1","3","0","2","17","3","0","1","0","0","0","0","0","11","1","0","0","3","0","0","0","3","0","1","0","5","0","50","23","19","0","3","4","6","0","6","0","7","1","5","0","70","0","1","0","0","30","8","15","0","12","3","5","0","0","6","0"
