"1","Bynum","Echohawk","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","257","225","13","65","1"
"01-610 Ketchikan No. 2","424","274","37","111","0"
"01-620 Ketchikan No. 3","325","136","17","82","1"
"01-640 North Tongass No. 1","272","84","11","46","0"
"01-650 North Tongass No. 2","473","159","17","91","0"
"01-660 Saxman","39","59","4","12","0"
"01-670 South Tongass","382","174","10","63","0"
"01-675 Coffman Cove","70","17","13","10","0"
"01-680 Metlakatla","95","326","12","24","0"
"01-690 Wrangell","443","173","20","41","0"
"District 1 - Absentee","1594","905","111","357","3"
"District 1 - Early Voting","8","10","1","1","0"
"District 1  - Question","201","101","17","30","0"
"Total","4583","2643","283","933","5"
