"1","Bynum","Moran","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","257","225","13","65","1"
"01-610 Ketchikan No. 2","402","307","37","100","0"
"01-620 Ketchikan No. 3","306","191","17","46","1"
"01-640 North Tongass No. 1","264","115","11","23","0"
"01-650 North Tongass No. 2","445","258","17","19","1"
"01-660 Saxman","43","35","4","32","0"
"01-670 South Tongass","376","203","10","40","0"
"01-675 Coffman Cove","68","19","13","10","0"
"01-680 Metlakatla","134","89","12","222","0"
"01-690 Wrangell","444","134","20","79","0"
"District 1 - Absentee","1505","1091","111","260","3"
"District 1 - Early Voting","8","8","1","3","0"
"District 1  - Question","200","87","17","45","0"
"Total","4452","2762","283","944","6"
