"1","Bynum","Bynum","Bynum","Echohawk","Echohawk","Echohawk","Echohawk","Moran","Moran","Moran","Blank","Overvote"
"2","","Echohawk","Moran","","Bynum","Moran","Overvote","","Bynum","Echohawk","",""
"01-600 Ketchikan No. 1","165","25","38","65","29","73","0","65","29","58","13","1"
"01-610 Ketchikan No. 2","316","31","36","100","19","84","0","111","41","71","37","0"
"01-620 Ketchikan No. 3","253","19","24","46","10","41","0","82","29","39","17","1"
"01-640 North Tongass No. 1","216","17","25","23","6","19","0","46","14","36","11","0"
"01-650 North Tongass No. 2","356","31","51","19","7","50","1","91","35","82","17","0"
"01-660 Saxman","25","5","6","32","7","12","0","12","3","8","4","0"
"01-670 South Tongass","279","33","45","40","19","52","0","63","25","63","10","0"
"01-675 Coffman Cove","64","1","2","10","1","2","0","10","3","4","13","0"
"01-680 Metlakatla","66","14","10","222","44","51","0","24","5","9","12","0"
"01-690 Wrangell","331","52","41","79","20","45","0","41","19","29","20","0"
"District 1 - Absentee","1220","98","151","260","36","310","0","357","125","299","111","3"
"District 1 - Early Voting","5","1","1","3","1","1","0","1","1","5","1","0"
"District 1  - Question","139","25","26","45","10","26","0","30","11","20","17","0"
"Total","3435","352","456","944","209","766","1","933","340","723","283","5"
