"1","Johnson","Johnson","Johnson","Kopp","Kopp","Kopp","Kopp","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Kopp","Write-in","","Johnson","Overvote","Write-in","","Johnson","Kopp","Overvote","",""
"10-150 Dimond","167","102","3","254","149","0","2","12","1","2","0","129","3"
"10-155 Oceanview No. 1","220","115","1","394","169","0","2","9","1","1","0","131","2"
"10-160 Oceanview No. 2","192","73","2","284","100","0","4","3","1","2","0","57","0"
"10-165 Oceanview No. 3","248","92","1","310","192","0","1","6","1","3","1","104","2"
"10-170 Oceanview No. 4","216","64","8","344","133","0","5","5","0","2","0","54","3"
"10-175 Oceanview No. 5","164","52","4","267","101","0","0","2","1","0","0","83","1"
"District 10 - Absentee","398","127","6","814","245","0","14","23","4","4","0","269","1"
"District 10 - Early Voting","419","132","1","632","220","1","11","12","1","2","0","125","1"
"District 10  - Question","14","1","0","19","8","0","0","2","0","0","0","19","0"
"Total","2038","758","26","3318","1317","1","39","74","10","16","1","971","13"
