"1","Coulombe","Coulombe","Coulombe","Featherly","Featherly","Featherly","Write-in","Write-in","Write-in","Blank"
"2","","Featherly","Write-in","","Coulombe","Write-in","","Coulombe","Featherly",""
"11-205 Hillside No. 1","253","67","0","182","79","1","1","1","0","47"
"11-210 Hillside No. 2","538","103","1","368","134","3","0","0","0","64"
"11-215 Hillside No. 3","317","43","1","170","66","5","1","0","2","35"
"11-220 Hillside No. 4","357","50","6","190","57","2","0","0","0","23"
"11-225 Hillside No. 5","377","28","2","264","36","0","1","0","2","41"
"11-230 Hillside No. 6","352","42","7","271","76","8","0","0","0","25"
"11-235 Hillside No. 7","270","35","4","261","56","1","0","1","0","20"
"District 11 - Absentee","863","128","11","1112","200","21","2","1","0","116"
"District 11 - Early Voting","843","95","13","609","147","12","2","0","1","62"
"District 11  - Question","23","9","0","11","9","0","1","1","0","3"
"Total","4193","600","45","3438","860","53","8","4","5","436"
