"1","Lurtsema","Schrage","Blank","Overvote"
"12-250 Southeast Anchorage No. 1","362","460","57","1"
"12-255 Southeast Anchorage No. 2","219","245","24","0"
"12-260 Southeast Anchorage No. 3","332","414","52","1"
"12-265 Southeast Anchorage No. 4","343","414","52","0"
"12-270 Southeast Anchorage No. 5","393","508","65","2"
"12-275 Southeast Anchorage No. 6","275","485","42","0"
"District 12 - Absentee","458","1318","95","0"
"District 12 - Early Voting","636","907","57","0"
"District 12  - Question","30","24","8","0"
"Total","3048","4775","452","4"
